Posición,Jinete,Nac.,Caballo,Premio,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Jose Fumero Hernandez,ESP,Cadum de Champloue,9.900€,0,69.79,0,38.93
2,Olivier Perreau,FRA,Gl Events Dolce Deceuninck,6.000€,0,70.73,0,39.52
3,Olivia Alvarez García,ESP,Gabin,4.500€,0,75.19,0,40.28
4,Yuko Itakura,JPN,Stakkatisa PS,3.000€,0,72.25,0,42.22
5,Ibrahim Hani Bisharat,JOR,Henriette,1.800€,0,73.44,0,42.54
6,Elena Appendino,ESP,Grupo Prom Hacienda,1.350€,0,66.28,4,39.32
7,Castora Ortiz Agüera,ESP,Robinson,900€,0,72.35,4,40.81
8,Luis Jesus Escobar,ESP,Cascallo B,750€,0,73.47,4,41.99
9,Julio Arias Cueva,ESP,Diago,600€,0,75.27,4,42.61
10,Beatriz Llanza,ESP,Iorio,600€,0,72.71,4,42.89
11,Carmen Mateos De Urbina,ESP,Belize du Marais,300€,0,75.11,4,43.37
12,Ines Hernández Yanguas,ESP,Devotion,300€,0,72.27,11,50.08
13,Roi Calviño Rabon,ESP,Enjoy,,0,71.92,12,41.49
14,Abdullah Alsharbatly,KSA,Valdocco des Caps,,0,71.13,RET,
14,Álvaro González De Zarate Fernandez,ESP,Najac vh Kluizebos,,0,73.73,EL,
14,Laura Roquet Puignero,ESP,Miki Puigroq,,0,75.00,RET,
17,Borja Villalon Puras,ESP,Baltazar D Z,,4,68.66,,
18,Pello Elorduy Ibarzabal,ESP,Bijoux,,4,69.27,,
19,Sira Martinez Cullell,ESP,Mano Negra van de Bucxtale,,4,70.56,,
20,Anthony Condon,IRL,Merlins Victoire,,4,70.97,,
21,Guillermo Gonzalez Alonso,ESP,Toulonique de Walyro,,4,71.03,,
22,Teresa Blazquez-Abascal,ESP,Nasa de Toxandria,,4,71.12,,
23,Niels Kersten,NED,Zeppe Blue,,4,72.54,,
24,Carolina Villanueva Suarez,ESP,Indigo Blue Biolley,,4,73.10,,
25,Luis Ortiz Agüera,ESP,Hvedholms Cashew,,4,73.13,,
26,Jackson Reed Stephenson,GBR,Obelia Vd Bisschop,,4,73.17,,
27,Alex Codina Leria,ESP,Jarno,,4,73.57,,
28,Mel Thijssen,NED,Gill,,4,73.76,,
29,Francois Xavier Boudant,FRA,Ermes du Noe,,4,74.29,,
30,Manuel Fernandez Saro,ESP,Ezilis du Mesnil,,4,76.37,,
31,Duarte Seabra,POR,Fernhill Check Your Pocket,,4,76.89,,
32,Jesus Garmendia Echevarria,ESP,Sandano 2,,8,72.09,,
33,Mans Thijssen,NED,I'M Here,,8,72.10,,
34,Alejandro Entrecanales Marsans,ESP,Baby Boy du Murger,,8,73.77,,
35,Cayetano Martinez De Irujo,ESP,Corazon K,,9,78.33,,
36,Piet Raijmakers Jr,NED,Haya,,16,72.45,,
