Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Francois Xavier Boudant,FRA,Brazyl du Mezel,17325,0,71.06
2,Karl Robins,GBR,Equine America G Camille Hbf,10500,0,72.07
3,Jesus Garmendia Echevarria,ESP,Callias,7875,0,72.36
4,Duarte Seabra,POR,Hhs Washington,5250,0,72.38
5,Pedro Veniss,BRA,Boeckmanns Lord Pezi Junior,3150,0,72.75
6,Niels Kersten,NED,Tippy Z,"2362,5",0,74.14
7,Manuel Fernandez Saro,ESP,Acoufina PS,1575,0,75.59
8,Lionel Huc,FRA,Bonjour d'Iberia,"1312,5",0,77.73
9,Guillaume Foutrier,FRA,Corneska de La Falize Z (Et),1050,0,77.98
10,Joel Valles Rosell,ESP,Kripton SC,1050,0,80.39
11,Santiago Nuñez Riva,ESP,Chakira Z,525,0,81.20
12,Andrea Calabro,ITA,Nalou Of Greenhill Z,525,0,81.42
13,Simon Crippen,GBR,Handsome,,2,86.22
14,Abdullah Alsharbatly,KSA,Vintadge de La Roque,,4,71.00
15,Olivier Perreau,FRA,Gl Events Dorai d'Aiguilly,,4,73.70
16,Jose Fumero Hernandez,ESP,Quartago de Villafranca,,4,74.95
17,Axel van Colen,FRA,Darkhorse Brimbelles,,4,75.97
18,Patrik Majher,SVK,Claude,,4,76.80
19,Max Thirouin,FRA,Utopie Villelongue,,4,78.01
20,Alex Codina Leria,ESP,My Passion Vd Donkhoeve,,4,78.56
21,Hannah Åkerblom,SWE,Chodec,,4,78.65
22,Alfons Roquet Puignero,ESP,Con Artist,,4,79.77
23,Aurelien Leroy,FRA,Vendome d'Ick,,4,79.86
24,Mans Thijssen,NED,Charlie,,4,80.18
25,Kevin Gonzalez De Zarate Fernandez,ESP,Be Mylord de Glain,,4,82.98
26,Jackson Reed Stephenson,GBR,Exception,,5,85.19
27,Ignace Philips De Vuyst,BEL,Only Special Van Dobby-Home,,8,74.45
28,Jesus Bamonde,ESP,Caporal d'Elle,,8,74.75
29,Luis Mateos Bernaldez,ESP,Chamant de Biolley,,8,78.27
30,Carolina Villanueva Suarez,ESP,Voice de Chenaie,,8,78.85
31,Aldrick Cheronnet,FRA,Atlantys By Wisbecq,,8,79.17
32,Borja Villalon Puras,ESP,Nero Van'T Prinsenveld,,8,80.89
33,Neal Fearon,IRL,Finnegan D,,8,81.28
34,Hani Kamal Raji Bisharat,JOR,Chatinue,,12,73.57
35,Alberto Marquez Galobardes,ESP,Averex PS,,12,83.17
36,Cayetano Martinez De Irujo,ESP,Dearest Diamond RS,,19,87.69
RET,Piet Raijmakers Jr,NED,Van Schijndel's Gladstone,,RET,
EL,Iván Serrano Sáez,ESP,Rain Man,,EL,
RET,Gonzalo Busca Roca,ESP,Classified,,RET,
RET,Mel Thijssen,NED,Cartolana 2,,RET,
EL,Anthony Condon,IRL,Sfs Vincomte,,EL,
