Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos Fase I,Tiempo Fase I,Puntos Fase II,Tiempo Fase II,Total
1,Jesus Garmendia Echevarria,ESP,Valut 2,3300,0,28.26,0,32.32,0
2,Anthony Condon,IRL,Creevyquinn Pearl,2000,0,26.95,0,33.47,0
3,Jackson Reed Stephenson,GBR,Muna Vd Bisschop,1500,0,28.83,0,33.60,0
4,Axel van Colen,FRA,Done'Di Amore,1000,0,26.87,0,33.66,0
5,Francois Xavier Boudant,FRA,Eloge de La Tour,600,0,27.81,0,33.85,0
6,Piet Raijmakers Jr,NED,Van Schijndel's Olaya Z,450,0,28.51,0,34.06,0
7,Iván Serrano Sáez,ESP,Rain Man,300,0,27.99,0,35.07,0
8,Olivier Perreau,FRA,Bresil de Carnaval,250,0,28.32,0,35.12,0
9,Alex Codina Leria,ESP,Cruising Star,200,0,27.29,0,35.53,0
10,Ibrahim Hani Bisharat,JOR,Happyness,200,0,29.27,0,36.21,0
11,Andrea Calabro,ITA,Thats Me Z,100,0,30.09,0,37.36,0
12,Santiago Nuñez Riva,ESP,Valentino de Hus Z,100,0,28.53,0,39.24,0
13,Leticia Riva Gil,ESP,Victoria d'Argent,,0,30.76,0,39.29,0
14,Ignace Philips De Vuyst,BEL,Jasper,,0,27.78,4,35.60,4
15,Karl Robins,GBR,Flashback VL,,0,27.99,4,36.53,4
16,Aurelien Leroy,FRA,Croqsel de Blaignac,,0,29.35,4,36.70,4
17,Carolina Villanueva Suarez,ESP,Casting de La Wantz,,0,28.16,4,36.79,4
18,Alberto Marquez Galobardes,ESP,Averex PS,,0,29.44,4,37.02,4
19,Enrique Camiruaga,ESP,Severnaya,,0,28.41,4,38.15,4
20,Borja Villalon Puras,ESP,Jay Jay ES,,4,26.79,0,38.95,4
21,Neal Fearon,IRL,No Limit 67,,4,29.06,0,39.35,4
22,Mel Thijssen,NED,Cartolana 2,,4,30.61,0,42.04,4
23,Deirdre Reilly,IRL,l'Esperance La Vie Z,,4,30.27,0,42.28,4
24,Guillaume Foutrier,FRA,Toscane Z,,4,28.78,4,35.97,8
25,Duarte Seabra,POR,Mhs Fernhill Showtime,,0,29.13,8,38.67,8
26,Cayetano Martinez De Irujo,ESP,Dito,,0,28.00,8,41.20,8
27,Manuel Fernandez Saro,ESP,Tiffany de Olid,,4,29.08,20,54.45,24
RET,Pedro Junqueira Muylaert,BRA,Townhead Liberty V,,,,,,
