Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Puntos desempate,Tiempo desempate,Total
1,Harry Allen,IRL,Calculatus,66000,0,73.30,0,45.65,0
2,Jack Whitaker,GBR,Equine America Valmy de La Lande,40000,0,76.59,0,46.37,0
3,Robert Whitaker,GBR,Vermento,30000,0,77.35,0,47.74,0
4,Abdullah Alsharbatly,KSA,Atome des Etisses,20000,0,79.22,0,48.25,0
5,Luciana Diniz,BRA,Vertigo du Desert,12000,0,75.70,0,53.31,0
6,Bertram Allen,IRL,Pacino Amiro,9000,4,72.64,0,46.83,4
7,Jesus Garmendia Echevarria,ESP,Callias,6000,0,73.43,4,47.50,4
8,Giulia Martinengo Marquet,ITA,Coynor,5000,0,78.63,4,49.51,4
9,Santiago Nuñez Riva,ESP,Chakira Z,4000,0,78.62,4,52.72,4
10,Amre Hamcho,SYR,Vagabon des Forets,4000,4,75.96,0,54.85,4
11,Roelof Bril,NED,Iberico,2000,0,78.06,7,61.88,7
12,Iván Serrano Sáez,ESP,Rain Man,2000,4,74.34,4,50.65,8
13,Stanislas de Malet,FRA,Zambo M Z,,4,76.41,4,,8
14,Yuri Mansur,BRA,Miss Blue-Saint Blue Farm,,4,76.81,4,,8
15,Deirdre Reilly,IRL,Kafka Vd Heffinck,,4,79.69,4,,8
16,Barbara Schnieper,SUI,Canice,,8,74.12,8,,16
17,Sanne Thijssen,NED,Con Quidam RB,,8,74.89,8,,16
18,Teresa Blazquez-Abascal,ESP,Nasa de Toxandria,,8,75.24,8,,16
19,Mans Thijssen,NED,Hello,,8,75.80,8,,16
20,Martín Rodríguez Vanni,URU,Champagne du Soleil,,8,77.01,8,,16
21,Kyle Timm,CAN,Candar Mail,,8,77.16,8,,16
22,Carolina Aresu Garcia Obregon,ESP,Callisto KS,,10,82.30,10,,20
23,Emeric George,FRA,Dune du RU,,12,74.65,12,,24
24,Nicolas Deseuzes,FRA,Drugster des Forets,,12,76.75,12,,24
25,Emily Turkington,IRL,Cornet,,12,78.46,12,,24
26,Skye Higgin,GBR,Djordania du Tillard,,16,75.75,16,,32
27,Jesus Bamonde,ESP,Agr Trouble Maker,,16,76.58,16,,32
RET,Jenny Rankin,IRL,Imar,,RET,,,,
RET,Leon Thijssen,NED,Faithless Mvdl,,RET,,,,
RET,James Smith,GBR,Darius des Vignes du Theil,,RET,,,,
RET,Derin Demirsoy,TUR,Koblenz Vd Middelstede,,RET,,,,
EL,Luis Mateos Bernaldez,ESP,Chamant de Biolley,,EL,,,,
RET,Mel Thijssen,NED,Imodo,,RET,,,,
EL,Mariano Martinez Bastida,ESP,Jup,,EL,,,,
