Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Puntos desempate,Tiempo desempate,Total
1,Bertram Allen,IRL,Edison de Hus,33000,0,84.18,0,45.59,0
2,Jack Whitaker,GBR,Equine America Valmy de La Lande,20000,0,86.12,0,46.46,0
3,Iván Serrano Sáez,ESP,Rain Man,15000,0,84.03,0,47.18,0
4,Harry Allen,IRL,Calculatus,10000,0,83.77,0,47.33,0
5,Mariano Martinez Bastida,ESP,Jup,6000,0,86.66,0,49.02,0
6,Stanislas de Malet,FRA,Zambo M Z,4500,0,85.62,0,50.50,0
7,Emily Turkington,IRL,Cornet,3000,0,85.32,0,52.18,0
8,Jenny Rankin,IRL,Imar,2500,0,86.15,4,49.93,4
9,Kyle Timm,CAN,Casino Calvin,2000,0,85.62,4,54.11,4
10,Philippe Rozier,FRA,Le Coultre de Muze,2000,0,85.02,5,57.07,5
11,Roelof Bril,NED,Iberico,1000,2,90.26,,,2
12,Jesus Garmendia Echevarria,ESP,Callias,1000,4,80.96,,,4
13,Barbara Schnieper,SUI,Canice,,4,82.85,,,4
14,Sanne Thijssen,NED,Con Quidam RB,,4,83.82,,,4
15,Luis Mateos Bernaldez,ESP,Chamant de Biolley,,4,84.08,,,4
16,Abdullah Alsharbatly,KSA,Skorphults Baloutendro,,4,86.02,,,4
17,Giulia Martinengo Marquet,ITA,Coynor,,4,86.30,,,4
18,Jesus Bamonde,ESP,Agr Trouble Maker,,4,86.86,,,4
19,Ana Carolina Sandoval Muñoz,ECU,My Lord's Way,,4,86.94,,,4
19,Skye Higgin,GBR,Djordania du Tillard,,4,86.94,,,4
21,Amre Hamcho,SYR,Vagabon des Forets,,4,86.95,,,4
22,Santiago Nuñez Riva,ESP,Chakira Z,,4,87.71,,,4
23,Robert Whitaker,GBR,Vermento,,4,88.79,,,4
24,Luciana Diniz,BRA,Vertigo du Desert,,6,94.03,,,6
25,Deirdre Reilly,IRL,Kafka Vd Heffinck,,7,91.12,,,7
26,James Smith,GBR,Darius des Vignes du Theil,,8,84.33,,,8
27,Martín Rodríguez Vanni,URU,Champagne du Soleil,,8,85.63,,,8
28,Emeric George,FRA,Diesel Gp du Bois Madame,,8,86.05,,,8
29,Nicolas Deseuzes,FRA,Drugster des Forets,,8,87.16,,,8
30,Yuri Mansur,BRA,Cheyenne de La Violle,,8,87.57,,,8
31,Yuko Itakura,JPN,Stakkatisa PS,,8,88.27,,,8
32,Ismael Garcia Roque,ESP,Jackson,,12,82.38,,,12
33,Leon Thijssen,NED,Faithless Mvdl,,12,85.49,,,12
34,Mans Thijssen,NED,Hello,,12,86.42,,,12
35,Derin Demirsoy,TUR,Koblenz Vd Middelstede,,15,91.20,,,15
36,Cedric Hurel,FRA,Fantasio Floreval Z,,21,101.24,,,21
37,Imma Roquet Autonell,ESP,Ilustre Del Maset,,24,86.45,,,24
RET,Carolina Aresu Garcia Obregon,ESP,Catch ME,,,,,,
RET,Mel Thijssen,NED,Imodo,,,,,,
