Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Mariano Martinez Bastida,ESP,Origi Van'T Geyzeven,9669,0,74.96,0,45.47
2,Giulia Martinengo Marquet,ITA,Captain Morgan Weering Z,5860,0,72.22,0,46.44
3,Carmen Mateos De Urbina,ESP,Belize du Marais,4395,0,69.66,0,48.73
4,Alvaro Diaz Garcia,ESP,Paco Vd Bisschop,2930,0,75.50,0,55.15
5,Diana Piera Salamero,ESP,Rondine Del Terriccio,1758,0,70.74,4,45.86
6,Jesus Garmendia Echevarria,ESP,Valut 2,1318.5,0,72.82,4,46.51
7,Pello Elorduy Ibarzabal,ESP,Champenoise de Rampan,879,0,70.02,4,46.96
8,James Smith,GBR,Tayvale Hunky Dory,732.5,0,72.36,4,47.17
9,Nicolas Deseuzes,FRA,Opium Quality,586,0,73.12,4,50.21
10,Carolina Aresu Garcia Obregon,ESP,Collin's Loisel,586,0,71.25,4,52.77
11,Iván Serrano Sáez,ESP,Chalawito PS,293,0,71.33,8,49.34
12,Kyle Timm,CAN,Atomica des Sequoias Z,293,0,68.18,18,67.33
13,Carlota Castellvi Lopez,ESP,Igor de Himbe,,0,75.44,RET,
13,Abdullah Alsharbatly,KSA,Casallino,,0,71.24,RET,
15,Alex Codina Leria,ESP,Cruising Star,,4,69.13,,
16,Derin Demirsoy,TUR,O-Kannarock,,4,70.28,,
17,Luis Ortiz Agüera,ESP,Hvedholms Cashew,,4,70.60,,
17,Sanne Thijssen,NED,Tippy Z,,4,70.60,,
19,Ismael Garcia Roque,ESP,Brazilia Dk Z,,4,72.42,,
20,Emily Turkington,IRL,Cissi,,4,74.21,,
21,Elena Appendino,ESP,Grupo Prom Hacienda,,8,67.89,,
22,Sergio Alvarez Moya,ESP,London's Bella,,8,68.45,,
23,Barbara Schnieper,SUI,Toronto Raptor,,8,69.57,,
24,Bertram Allen,IRL,Emmylou,,8,70.18,,
25,Álvaro González De Zarate Fernandez,ESP,Casa Diva PS,,8,70.24,,
26,Jesus Torres Garcia,ESP,Icarus Cjs,,8,71.14,,
27,Mans Thijssen,NED,Joviality,,8,71.77,,
28,Yuri Mansur,BRA,Clariquada T,,8,72.03,,
29,Jesus Bamonde,ESP,Agr Colombia,,8,73.67,,
30,Yuko Itakura,JPN,Croft Legacy,,8,75.19,,
31,Angela Gonzalez Muñoz,MEX,Cocette 11,,12,71.56,,
32,Alejandro Entrecanales Marsans,ESP,Baby Boy du Murger,,12,71.78,,
33,Armando Trapote,ESP,Cochiloco PS,,12,74.32,,
34,Castora Ortiz Agüera,ESP,Robinson,,16,67.07,,
35,Mel Thijssen,NED,Carembar Blue,,16,69.87,,
36,Olivia Alvarez García,ESP,Liron TK,,16,72.72,,
37,Imma Roquet Autonell,ESP,Ivettus Del Maset,,17,76.99,,
38,Beatriz Llanza,ESP,Mary Whiskys,,24,74.41,,
39,Marcos Diaz Rodriguez,ESP,Filou du Manoir,,45,100.70,,
RET,Carolina Villanueva Suarez,ESP,Voice de Chenaie,,,,,
RET,Leon Thijssen,NED,For President,,,,,
RET,Amre Hamcho,SYR,Dxb Legend,,,,,
