Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos Fase I,Tiempo Fase I,Puntos Fase II,Tiempo Fase II,Total
1,Abdullah Alsharbatly,KSA,Dancing Wolf O.L,2310,0,39.33,0,30.56,0
2,Luis Ortiz Agüera,ESP,Hvedholms Cashew,1400,0,38.65,0,33.26,0
3,Carolina Aresu Garcia Obregon,ESP,Collin's Loisel,1050,0,39.65,0,33.78,0
4,Barbara Schnieper,SUI,Gianna II,700,0,39.32,0,34.62,0
5,Ismael Garcia Roque,ESP,Brazilia Dk Z,420,0,39.63,0,34.93,0
6,Carmen Mateos De Urbina,ESP,Belize du Marais,315,0,39.52,0,36.05,0
7,Alex Codina Leria,ESP,Cruising Star,210,0,37.27,0,36.07,0
8,Sergio Alvarez Moya,ESP,London's Bella,175,0,37.66,0,36.12,0
9,Sira Martinez Cullell,ESP,Diferencio van het Lindenhof Z,140,0,39.53,0,37.56,0
10,Leticia Riva Gil,ESP,Conan de Taute,140,1,40.54,0,33.66,1
11,Jose Fumero Hernandez,ESP,Esto de Viscourt,70,1,40.16,0,37.10,1
12,Alvaro Diaz Garcia,ESP,Pompei van de Fruitkorf,70,1,40.91,0,38.40,1
13,Jesus Garmendia Echevarria,ESP,Valut 2,,0,37.49,4,31.00,4
14,Álvaro González De Zarate Fernandez,ESP,Casa Diva PS,,0,39.24,4,31.40,4
15,Elena Appendino,ESP,Iceman,,0,36.41,4,32.50,4
16,Carolina Villanueva Suarez,ESP,Voice de Chenaie,,0,37.79,4,32.71,4
17,Jesus Torres Garcia,ESP,Kannantos,,0,39.84,4,33.09,4
18,Mariano Martinez Bastida,ESP,Elixir de Hus,,0,37.44,4,33.83,4
19,Kyle Timm,CAN,Fee des Hermines,,0,39.45,4,38.10,4
20,Yuko Itakura,JPN,Croft Legacy,,0,39.01,4,39.33,4
21,Emily Turkington,IRL,Cissi,,1,40.79,4,35.90,5
22,Imma Roquet Autonell,ESP,Irivola Del Maset,,1,40.56,0,38.93,5
23,Chloe Bertolini,ITA,Ibiza,,3,42.80,2,41.37,5
24,Julio Arias Cueva,ESP,Never Alone,,0,37.28,8,32.59,8
25,Olivia Alvarez García,ESP,Liron TK,,0,39.97,8,35.26,8
26,Alejandro Entrecanales Marsans,ESP,Baby Boy du Murger,,0,39.26,8,37.09,8
27,Castora Ortiz Agüera,ESP,Robinson,,0,37.30,8,37.86,8
28,Angela Gonzalez Muñoz,MEX,Cocette 11,,0,38.56,8,38.50,8
29,Kevin Gonzalez De Zarate Fernandez,ESP,Chaccora's Stakko PS,,4,39.95,4,39.48,8
30,Mans Thijssen,NED,Joviality,,5,45.00,3,42.48,8
31,Derin Demirsoy,TUR,O-Kannarock,,1,40.14,8,34.66,9
32,Iván Serrano Sáez,ESP,Chalawito PS,,1,40.31,8,39.29,9
33,Leon Thijssen,NED,For President,,2,41.28,8,35.65,10
34,Jesus Bamonde,ESP,Agr Colombia,,4,38.80,8,37.77,12
35,Carlota Castellvi Lopez,ESP,Igor de Himbe,,4,43.29,8,39.07,12
36,Beatriz Llanza,ESP,Mary Whiskys,,4,39.33,9,40.05,13
37,Mel Thijssen,NED,Carembar Blue,,0,37.93,21,52.58,21
EL,Irene Alonso Vazquez,ESP,Los Potros Z,,EL,,,,
RET,Diana Piera Salamero,ESP,Rondine Del Terriccio,,RET,,,,
EL,Carlos Muñiz Gonzalez,ESP,Arloy de Beausejour,,EL,,,,
