Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,James Smith,GBR,Nfs Angelina,500,0,68.49
2,Kevin Gonzalez De Zarate Fernandez,ESP,Hermes de l'O,400,0,71.76
3,Jack Whitaker,GBR,Partner In Crime,300,0,74.45
4,Jesus Bamonde,ESP,Agr Tourmalet,200,0,77.27
5,Barbara Schnieper,SUI,Chicca Vom Eigen CH,140,0,78.58
6,Iván Serrano Sáez,ESP,Dom Perignon vh Molenhof Z,110,0,79.78
7,Luis Ortiz Agüera,ESP,Vivant's Penny PS,80,0,82.46
8,Carolina Aresu Garcia Obregon,ESP,Galaxie du Marais,60,0,83.06
9,Kyle Timm,CAN,Golden Boy Longane,60,0,83.57
10,Mans Thijssen,NED,Like ME,50,1,86.93
11,Álvaro González De Zarate Fernandez,ESP,Chust Do IT,50,4,68.93
12,Bertram Allen,IRL,Gary de Cerisy,50,4,79.85
13,Carlota Castellvi Lopez,ESP,Gazelle de Blagny,,4,82.15
14,Ismael Garcia Roque,ESP,Be Blue,,4,82.27
15,Imma Roquet Autonell,ESP,Elba Del Maset,,4,83.82
16,Sira Martinez Cullell,ESP,Guapa de Liam,,4,85.51
17,Nicolas Deseuzes,FRA,Garou des Forets,,7,88.37
18,Mel Thijssen,NED,Cobalt de Quelennec Z,,8,82.05
19,Sanne Thijssen,NED,Csf Whipper Snapper,,8,82.26
20,Alvaro Diaz Garcia,ESP,C-Star V/D Schelpenhoeve Z,,8,89.98
21,Sergio Alvarez Moya,ESP,Caen Vd Verbindingshoeve Z,,14,91.97
22,Saul Gutierrez Oti,ESP,Casallcari PS,,15,96.36
23,Gerardo Menendez Mieres,ESP,Coralou du Rouet PS,,23,96.92
RET,Diana Piera Salamero,ESP,Valencia du Dieu D Arras Z,,RET,
EL,Ana Carolina Sandoval Muñoz,ECU,Ricardo de W & S,,EL,
