Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos Fase I,Tiempo Fase I,Puntos Fase II,Tiempo Fase II,Total
1,James Smith,GBR,Nfs Angelina,500,0,36.03,0,31.80,0
2,Jack Whitaker,GBR,Partner In Crime,400,0,40.39,0,34.57,0
3,Bertram Allen,IRL,Gary de Cerisy,300,0,36.17,0,35.64,0
4,Ana Carolina Sandoval Muñoz,ECU,Ricardo de W & S,200,0,36.81,0,37.06,0
5,Luis Ortiz Agüera,ESP,Vivant's Penny PS,140,0,36.89,0,37.62,0
6,Sergio Alvarez Moya,ESP,Caen Vd Verbindingshoeve Z,110,0,38.21,0,38.93,0
7,Mans Thijssen,NED,Like ME,80,0,42.35,0,39.90,0
8,Kyle Timm,CAN,Golden Boy Longane,60,0,39.34,0,40.60,0
9,Ismael Garcia Roque,ESP,Be Blue,60,0,38.09,2,43.23,2
10,Barbara Schnieper,SUI,Chicca Vom Eigen CH,50,0,35.73,4,35.01,4
11,Álvaro González De Zarate Fernandez,ESP,Chust Do IT,50,0,37.06,4,35.41,4
12,Sanne Thijssen,NED,Csf Whipper Snapper,50,0,37.70,4,37.97,4
13,Carlota Castellvi Lopez,ESP,Gazelle de Blagny,,0,37.45,4,39.36,4
14,Sira Martinez Cullell,ESP,Guapa de Liam,,4,38.90,0,40.44,4
15,Gerardo Menendez Mieres,ESP,Coralou du Rouet PS,,4,37.69,0,40.87,4
16,Imma Roquet Autonell,ESP,Elba Del Maset,,5,45.03,0,42.00,5
17,Saul Gutierrez Oti,ESP,Casallcari PS,,0,40.81,6,47.55,6
18,Jesus Bamonde,ESP,Agr Tourmalet,,0,38.61,8,37.83,8
19,Iván Serrano Sáez,ESP,Dom Perignon vh Molenhof Z,,4,38.87,4,39.02,8
20,Carolina Aresu Garcia Obregon,ESP,Galaxie du Marais,,0,38.60,8,39.29,8
21,Diana Piera Salamero,ESP,Valencia du Dieu D Arras Z,,4,37.17,4,39.62,8
22,Mel Thijssen,NED,Cobalt de Quelennec Z,,4,41.64,4,40.75,8
23,Alvaro Diaz Garcia,ESP,C-Star V/D Schelpenhoeve Z,,0,39.23,9,42.92,9
24,Kevin Gonzalez De Zarate Fernandez,ESP,Hermes de l'O,,8,36.04,4,38.74,12
EL,Nicolas Deseuzes,FRA,Garou des Forets,,—,,,,
