Posición,Jinete,Nac.,Caballo,Premio,Puntos Fase I,Tiempo Fase I,Puntos Fase II,Tiempo Fase II,Total
1,Barbara Schnieper,SUI,Toronto Raptor,990,0,40.32,0,32.44,0
2,James Smith,GBR,Tayvale Hunky Dory,600,0,39.45,0,32.77,0
3,Imma Roquet Autonell,ESP,Irivola Del Maset,450,0,39.86,0,33.76,0
4,Harry Allen,IRL,Billy Bud,300,0,38.68,0,34.45,0
5,Pablo Valle Espinedo,ESP,Meriarta,180,0,39.08,0,34.47,0
6,Martín Rodríguez Vanni,URU,Quaido,135,0,42.99,0,35.25,0
7,Emily Turkington,IRL,Cissi,90,0,40.06,0,35.40,0
8,Carlota Castellvi Lopez,ESP,Igor de Himbe,75,0,40.51,0,35.88,0
9,Teresa Arias Cueva,ESP,Bicina,60,0,39.06,0,36.30,0
10,Armando Trapote,ESP,Cochiloco PS,60,0,41.71,0,36.31,0
11,Sergio Alvarez Moya,ESP,Piper Vd Heffinck,30,0,36.73,0,36.54,0
12,Juan Riva Gil,ESP,Havanabalia Grand Moustier Z D,30,0,39.71,0,36.81,0
13,Bertram Allen,IRL,Emmylou,,0,41.64,0,37.66,0
14,Alvaro Diaz Garcia,ESP,Paco Vd Bisschop,,0,41.64,0,38.67,0
15,Qinyu Pang,CHN,Mikias Vd Bisschop,,0,42.35,0,39.44,0
16,Nicolas Deseuzes,FRA,Opium Quality,,1,43.02,0,34.42,1
17,Giulia Martinengo Marquet,ITA,Captain Morgan Weering Z,,0,40.93,1,40.23,1
18,Deirdre Reilly,IRL,Othello van de Vlasbloemhoeve,,0,42.29,2,41.43,2
19,Elena Appendino,ESP,Iceman,,0,35.72,4,30.22,4
20,Leon Thijssen,NED,Dalivia Z,,0,40.06,4,32.97,4
21,Yuri Mansur,BRA,Clariquada T,,0,37.43,4,34.20,4
21,Iván Serrano Sáez,ESP,Chalawito PS,,0,39.49,4,34.20,4
23,Kevin Gonzalez De Zarate Fernandez,ESP,Houla Hop D Estive,,0,39.27,4,34.68,4
24,Ismael Garcia Roque,ESP,President CL,,0,39.62,4,34.74,4
25,Carlos Muñiz Gonzalez,ESP,Exiom Glencoe Van'T Roosakker Z,,0,40.16,4,36.33,4
26,Dominique Zbinden,SUI,Othello Vom Eigen,,0,41.66,4,36.41,4
27,Kyle Timm,CAN,Atomica des Sequoias Z,,0,40.96,4,36.74,4
28,Jesus Torres Garcia,ESP,Icarus Cjs,,4,40.24,0,37.47,4
29,Álvaro González De Zarate Fernandez,ESP,Cornets Esmeray PS,,4,41.60,0,37.96,4
30,Angela Gonzalez Muñoz,MEX,Jay Jay ES,,4,39.41,0,39.15,4
31,Pello Elorduy Ibarzabal,ESP,Champenoise de Rampan,,1,43.46,4,36.98,5
32,Mans Thijssen,NED,Knockout EB,,7,45.35,0,39.71,7
33,Saul Gutierrez Oti,ESP,Calsacanna Star PS,,4,41.18,3,42.09,7
34,Carolina Villanueva Suarez,ESP,Price de Hus Z,,0,39.15,8,34.30,8
35,Julio Arias Cueva,ESP,Fidji Beladeva,,4,41.39,4,37.07,8
36,Sira Martinez Cullell,ESP,Devise du Salbey,,4,38.35,4,38.29,8
37,Luis Ortiz Agüera,ESP,Easo J,,4,37.47,4,38.39,8
38,Mel Thijssen,NED,Jarizona van de Muggenhoek,,8,41.53,2,42.00,10
39,Leticia Riva Gil,ESP,Conan de Taute,,0,38.87,12,34.02,12
40,Sanne Thijssen,NED,Infinity Van Hof Ter Bolle,,0,39.88,12,35.01,12
41,Claudia Sovero Mckay,PER,Forsety du Lys,,0,42.01,18,41.37,18
42,Olivia Alvarez García,ESP,Cartouche,,0,39.24,18,53.04,18
43,Alejandro Alvarez Gutierrez,ESP,Little Chap S,,4,36.03,23,54.16,27
44,Chloe Bertolini,ITA,Nalu By P&S,,4,39.12,29,56.86,33
EL,Castora Ortiz Agüera,ESP,Joapke,,EL,,,,
RET,Irene Alonso Vazquez,ESP,Los Potros Z,,RET,,,,
EL,Isabella Gonzalez Xie,ESP,Garsina,,EL,,,,
