Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,James Smith,GBR,Juno Rose 23,3300,0,62.92
2,Emeric George,FRA,Diesel Gp du Bois Madame,2000,0,68.35
3,Alex Codina Leria,ESP,Jarno,1500,0,68.98
4,Martín Rodríguez Vanni,URU,Champagne du Soleil,1000,0,69.30
5,Ana Carolina Sandoval Muñoz,ECU,My Lord's Way,600,0,71.70
6,Jenny Rankin,IRL,Ibiza,450,0,71.91
7,Kevin Gonzalez De Zarate Fernandez,ESP,Iniesta P.,300,0,72.25
8,Skye Higgin,GBR,Djordania du Tillard,250,0,73.25
9,Kyle Timm,CAN,Candar Mail,200,0,73.43
10,Giulia Martinengo Marquet,ITA,Coynor,200,0,73.64
11,Deirdre Reilly,IRL,Kafka Vd Heffinck,100,0,74.33
12,Carolina Aresu Garcia Obregon,ESP,Catch ME,100,0,74.37
13,Álvaro González De Zarate Fernandez,ESP,A.N. Barney,,0,74.65
14,Yuri Mansur,BRA,Miss Blue-Saint Blue Farm,,0,74.84
15,Gerardo Menendez Mieres,ESP,Django des Baleines,,0,76.25
16,Harry Allen,IRL,Calculatus,,0,76.29
17,Jack Whitaker,GBR,Equine America Q Paravatti N,,0,81.93
18,Luciana Diniz,BRA,Vertigo du Desert,,0,82.29
19,Roelof Bril,NED,Iberico,,2,84.85
20,Stanislas de Malet,FRA,Gramyco Sitte,,4,67.93
21,Robert Whitaker,GBR,Chatondo,,4,69.08
22,Bertram Allen,IRL,Edison de Hus,,4,70.53
23,Cedric Hurel,FRA,Comme Fly With Me VA,,4,71.63
24,Santiago Nuñez Riva,ESP,Valentino de Hus Z,,4,71.93
25,Jesus Bamonde,ESP,Agr Trouble Maker,,4,73.28
26,Amre Hamcho,SYR,Lady Pilox,,4,74.95
27,Philippe Rozier,FRA,Prestigio Ls La Silla,,8,66.76
28,Leon Thijssen,NED,Google This,,8,70.75
29,Alejandro Entrecanales Marsans,ESP,Coco Star des GY,,8,73.59
30,Imma Roquet Autonell,ESP,Ilustre Del Maset,,8,81.30
31,Julio Arias Cueva,ESP,Frimeur d'Altenbach,,12,72.23
32,Sanne Thijssen,NED,Qh Babalou Santo Antonio,,21,95.56
RET,Nicolas Deseuzes,FRA,Drugster des Forets,,RET,
