Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos Fase I,Tiempo Fase I,Puntos Fase II,Tiempo Fase II,Total
1,James Smith,GBR,Juno Rose 23,1650,0,40.28,0,33.46,0
2,Nicolas Deseuzes,FRA,Feyah,1000,0,44.27,0,36.63,0
3,Álvaro González De Zarate Fernandez,ESP,Insigne S,750,0,42.22,0,36.85,0
4,Iván Serrano Sáez,ESP,Ermione du Val Jouen,500,0,42.82,0,37.07,0
5,Bertram Allen,IRL,Edison de Hus,300,0,44.67,0,37.99,0
6,Mariano Martinez Bastida,ESP,Jup,225,0,43.16,0,39.00,0
7,Roelof Bril,NED,Feeling Luckey,150,0,46.95,0,39.18,0
8,Harry Allen,IRL,Calculatus,125,0,42.04,0,39.67,0
9,Yuko Itakura,JPN,Stakkatisa PS,100,0,43.37,0,39.86,0
10,Barbara Schnieper,SUI,Canice,100,0,44.43,0,40.57,0
11,Gerardo Menendez Mieres,ESP,Django des Baleines,50,0,42.54,0,40.68,0
12,Alex Codina Leria,ESP,Jarno,50,0,41.87,0,41.04,0
13,Giulia Martinengo Marquet,ITA,Coynor,,0,43.45,0,41.11,0
14,Santiago Nuñez Riva,ESP,Chakira Z,,0,44.50,0,42.69,0
15,Philippe Rozier,FRA,Le Coultre de Muze,,0,43.79,0,43.47,0
16,Jack Whitaker,GBR,Equine America Valmy de La Lande,,0,45.42,0,43.58,0
17,Luciana Diniz,BRA,Lighthouse Girl,,0,46.17,1,45.72,1
18,Derin Demirsoy,TUR,Koblenz Vd Middelstede,,0,46.85,3,47.44,3
19,Carolina Aresu Garcia Obregon,ESP,Callisto KS,,0,43.85,4,39.24,4
20,Julio Arias Cueva,ESP,Frimeur d'Altenbach,,0,42.40,4,39.82,4
21,Stanislas de Malet,FRA,Gramyco Sitte,,0,43.55,4,41.24,4
22,Jesus Bamonde,ESP,Caporal d'Elle,,0,40.53,4,42.30,4
23,Ismael Garcia Roque,ESP,Jackson,,0,44.22,4,42.38,4
24,Jesus Garmendia Echevarria,ESP,Callias,,4,40.71,0,43.08,4
25,Sanne Thijssen,NED,Qh Babalou Santo Antonio,,4,42.24,0,44.50,4
26,Mel Thijssen,NED,Imodo,,0,46.32,4,48.07,4
27,Kyle Timm,CAN,Casino Calvin,,4,45.84,2,46.26,6
28,Robert Whitaker,GBR,Vermento,,1,47.29,5,49.42,6
29,Mans Thijssen,NED,Hello,,1,47.29,6,50.31,7
30,Cedric Hurel,FRA,Comme Fly With Me VA,,4,45.49,4,43.52,8
31,Deirdre Reilly,IRL,Cocktail de Talma,,0,45.87,8,48.68,8
32,Sergio Alvarez Moya,ESP,Puma HS,,0,45.42,8,52.99,8
33,Martín Rodríguez Vanni,URU,Lanciano SP,,8,45.43,1,45.19,9
34,Luis Mateos Bernaldez,ESP,Chamant de Biolley,,4,43.54,6,46.20,10
35,Abdullah Alsharbatly,KSA,Skorphults Baloutendro,,0,46.06,14,58.05,14
36,Amre Hamcho,SYR,Vagabon des Forets,,12,54.80,5,45.82,17
37,Kevin Gonzalez De Zarate Fernandez,ESP,Iniesta P.,,0,46.08,17,57.66,17
38,Alejandro Entrecanales Marsans,ESP,Coco Star des GY,,21,59.06,6,46.12,27
RET,Teresa Blazquez - Abascal,ESP,Nasa de Toxandria,,RET,,,,
RET,Armando Trapote,ESP,Bella PS,,RET,,,,
RET,Ana Carolina Sandoval Muñoz,ECU,Baral Soberbia,,RET,,,,
RET,Imma Roquet Autonell,ESP,Icenta Del Maset,,RET,,,,
