Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Jack Whitaker,GBR,Equine America Q Paravatti N,8646,0,67.80
2,Mariano Martinez Bastida,ESP,Quark de Preuilly Z,5240,0,68.69
3,Abdullah Alsharbatly,KSA,Skorphults Baloutendro,3930,0,68.95
4,Barbara Schnieper,SUI,Escoffier,2620,0,70.19
5,Jenny Rankin,IRL,Ibiza,1572,0,72.93
6,Emeric George,FRA,Diesel Gp du Bois Madame,1179,0,73.06
7,Iván Serrano Sáez,ESP,Ermione du Val Jouen,786,1,77.13
8,Giulia Martinengo Marquet,ITA,Scuderia 1918 Quick And Easy 3,655,4,65.13
9,Derin Demirsoy,TUR,Elzas,524,4,66.47
10,Robert Whitaker,GBR,Chatondo,524,4,69.55
11,Nicolas Deseuzes,FRA,Feyah,262,4,70.02
12,Amre Hamcho,SYR,Lady Pilox,262,4,73.17
13,Roelof Bril,NED,Feeling Luckey,,4,76.02
14,Armando Trapote,ESP,Bella PS,,4,77.00
15,Carolina Aresu Garcia Obregon,ESP,Catch ME,,4,80.68
16,Mans Thijssen,NED,Charlie,,5,77.28
17,Cedric Hurel,FRA,Comme Fly With Me VA,,5,77.99
18,James Smith,GBR,Juno Rose 23,,8,70.43
19,Imma Roquet Autonell,ESP,Ilustre Del Maset,,8,74.69
20,Alex Codina Leria,ESP,Chuck 50,,8,80.42
21,Santiago Nuñez Riva,ESP,Valentino de Hus Z,,8,80.76
22,Álvaro González De Zarate Fernandez,ESP,A.N. Barney,,14,82.32
23,Ana Carolina Sandoval Muñoz,ECU,Baral Soberbia,,21,85.84
24,Sanne Thijssen,NED,Qh Babalou Santo Antonio,,22,90.86
RET,Mel Thijssen,NED,Florida Balia NL,,RET,
RET,Leon Thijssen,NED,Google This,,RET,
