Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Desempate Puntos,Desempate Tiempo
1,Derin Demirsoy,TUR,Elzas,11946,4,76.26,0,47.93
2,Mel Thijssen,NED,Florida Balia NL,7240,0,77.67,0,47.99
3,Mariano Martinez Bastida,ESP,Quark de Preuilly Z,5430,4,74.45,0,48.07
4,Giulia Martinengo Marquet,ITA,Scuderia 1918 Quick And Easy 3,3620,0,76.05,0,48.37
5,Álvaro González De Zarate Fernandez,ESP,Insigne S,2172,4,75.86,0,48.49
6,Nicolas Deseuzes,FRA,Feyah,1629,0,75.75,0,49.45
7,Kyle Timm,CAN,Candar Mail,1086,0,77.76,0,50.67
8,Jenny Rankin,IRL,Ibiza,905,0,78.82,0,56.82
9,Abdullah Alsharbatly,KSA,Skorphults Baloutendro,724,0,75.79,4,44.93
10,Jack Whitaker,GBR,Equine America Q Paravatti N,724,4,74.69,4,48.13
11,Kevin Gonzalez De Zarate Fernandez,ESP,Conthargos Rouge,362,4,75.41,4,48.88
12,Emeric George,FRA,Dune du RU,362,0,77.66,8,50.56
13,Santiago Nuñez Riva,ESP,Valentino de Hus Z,,4,76.67,,
14,Iván Serrano Sáez,ESP,Ermione du Val Jouen,,4,77.16,,
15,Alex Codina Leria,ESP,Jarno,,4,77.21,,
16,Deirdre Reilly,IRL,Cocktail de Talma,,4,82.04,,
17,Yuri Mansur,BRA,Cheyenne de La Violle,,5,79.39,,
18,Luciana Diniz,BRA,Lighthouse Girl,,6,80.79,,
19,Cedric Hurel,FRA,Fantasio Floreval Z,,7,81.06,,
20,Roelof Bril,NED,Feeling Luckey,,7,81.11,,
21,Robert Whitaker,GBR,Chatondo,,7,81.67,,
22,Mans Thijssen,NED,Charlie,,7,81.81,,
23,Carolina Aresu Garcia Obregon,ESP,Callisto KS,,7,81.87,,
24,Harry Allen,IRL,Iron Lady van de Zuuthoeve,,8,74.58,,
25,Leon Thijssen,NED,Faithless Mvdl,,8,76.53,,
26,Sanne Thijssen,NED,Qh Babalou Santo Antonio,,8,78.05,,
27,Gerardo Menendez Mieres,ESP,Django des Baleines,,8,78.17,,
28,Armando Trapote,ESP,Bella PS,,8,78.72,,
29,Martín Rodríguez Vanni,URU,Lanciano SP,,10,80.81,,
30,Amre Hamcho,SYR,Lady Pilox,,10,80.99,,
31,Julio Arias Cueva,ESP,Peanuts Van Baublo,,11,81.14,,
32,Barbara Schnieper,SUI,Escoffier,,12,74.65,,
33,Alejandro Entrecanales Marsans,ESP,Coco Star des GY,,12,77.80,,
34,Imma Roquet Autonell,ESP,Icenta Del Maset,,16,76.22,,
RET,James Smith,GBR,Juno Rose 23,,RET,,,
RET,Jesus Bamonde,ESP,Caporal d'Elle,,RET,,,
