Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos Fase I,Tiempo Fase I,Puntos Fase II,Tiempo Fase II,Total
1,Bertram Allen,IRL,Pacino Amiro,17.358€,0,36.28,0,37.16,0
2,Jack Whitaker,GBR,Equine America Valmy de La Lande,10.520€,0,35.47,0,37.42,0
3,Giulia Martinengo Marquet,ITA,Scuderia 1918 Quick And Easy 3,7.890€,0,33.03,0,37.47,0
4,Mariano Martinez Bastida,ESP,Quark de Preuilly Z,5.260€,0,33.95,0,39.04,0
5,Emeric George,FRA,Dune du RU,3.156€,0,34.46,0,39.56,0
6,Nicolas Deseuzes,FRA,Feyah,2.367€,0,34.42,0,40.12,0
7,Jenny Rankin,IRL,Imar,1.578€,0,36.09,0,40.40,0
8,Ismael Garcia Roque,ESP,Jackson,1.315€,0,35.30,0,43.11,0
9,Teresa Blazquez-Abascal,ESP,Nasa de Toxandria,1.052€,0,32.80,0,43.32,0
10,Julio Arias Cueva,ESP,Peanuts Van Baublo,1.052€,0,35.33,1,47.34,1
11,Roelof Bril,NED,Feeling Luckey,526€,2,38.47,1,47.24,3
12,Jesus Bamonde,ESP,Caporal d'Elle,526€,0,32.75,4,39.67,4
13,Abdullah Alsharbatly,KSA,Atome des Etisses,,0,34.25,4,40.06,4
14,Barbara Schnieper,SUI,Escoffier,,0,32.92,4,41.70,4
15,Mans Thijssen,NED,Charlie,,0,36.93,4,42.22,4
16,Iván Serrano Sáez,ESP,Rain Man,,0,34.84,4,42.65,4
17,Mel Thijssen,NED,Florida Balia NL,,0,35.67,4,42.82,4
18,Derin Demirsoy,TUR,Elzas,,0,34.07,4,43.07,4
19,Kyle Timm,CAN,Casino Calvin,,0,35.17,4,43.52,4
20,Imma Roquet Autonell,ESP,Icenta Del Maset,,0,35.46,4,44.10,4
21,Armando Trapote,ESP,Bella PS,,0,34.48,4,45.07,4
22,Harry Allen,IRL,Iron Lady van de Zuuthoeve,,0,33.97,4,45.82,4
23,Emily Turkington,IRL,Cornet,,4,35.69,0,45.97,4
24,Cedric Hurel,FRA,Fantasio Floreval Z,,0,34.56,4,46.45,4
25,Luciana Diniz,BRA,Lighthouse Girl,,1,37.39,4,46.27,5
26,Yuri Mansur,BRA,Cheyenne de La Violle,,4,35.19,1,47.37,5
27,Robert Whitaker,GBR,Vermento,,0,35.45,5,47.87,5
28,Deirdre Reilly,IRL,Cocktail de Talma,,0,36.38,5,51.34,5
29,Stanislas de Malet,FRA,Zambo M Z,,4,35.27,2,48.47,6
30,Álvaro González De Zarate Fernandez,ESP,Insigne S,,8,35.20,0,45.61,8
31,Amre Hamcho,SYR,Vagabon des Forets,,0,34.12,9,47.80,9
32,Martín Rodríguez Vanni,URU,Lanciano SP,,4,36.59,6,48.20,10
33,James Smith,GBR,Darius des Vignes du Theil,,4,35.50,7,49.20,11
34,Alex Codina Leria,ESP,Chuck 50,,4,34.05,8,45.93,12
35,Leon Thijssen,NED,Faithless Mvdl,,0,34.85,14,48.74,14
36,Philippe Rozier,FRA,Le Coultre de Muze,,0,34.82,16,58.12,16
37,Kevin Gonzalez De Zarate Fernandez,ESP,Conthargos Rouge,,8,34.84,10,52.41,18
38,Carolina Aresu Garcia Obregon,ESP,Callisto KS,,5,37.31,15,53.10,20
RET,Sanne Thijssen,NED,Con Quidam RB,,,,,,
