Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Olivia Alvarez García,ESP,Cartouche,990,0,48.04
2,Amre Hamcho,SYR,Dxb Legend,600,0,48.78
3,Elena Appendino,ESP,Iceman,450,0,49.10
4,Irene Alonso Vazquez,ESP,Los Potros Z,300,0,49.46
5,Mel Thijssen,NED,Jarizona van de Muggenhoek,180,0,50.03
6,Harry Allen,IRL,Billy Bud,135,0,50.14
7,Ismael Garcia Roque,ESP,President CL,90,0,50.95
8,Angela Gonzalez Muñoz,MEX,Jay Jay ES,75,0,53.75
9,Teresa Arias Cueva,ESP,Bicina,60,0,55.22
10,Martín Rodríguez Vanni,URU,Quaido,60,0,56.48
11,Mariano Martinez Bastida,ESP,Origi Van'T Geyzeven,30,0,56.57
12,Carlos Muñiz Gonzalez,ESP,Exiom Glencoe Van'T Roosakker Z,30,0,56.70
13,Armando Trapote,ESP,Cochiloco PS,,0,57.90
14,Juan Riva Gil,ESP,Havanabalia Grand Moustier Z D,,0,57.99
15,Carmen Mateos De Urbina,ESP,Alto de Talma,,0,58.45
16,Saul Gutierrez Oti,ESP,Calsacanna Star PS,,0,62.57
17,Sergio Alvarez Moya,ESP,Piper Vd Heffinck,,0,54.87
18,Qinyu Pang,CHN,Mikias Vd Bisschop,,0,61.54
19,Kyle Timm,CAN,Atomica des Sequoias Z,,0,64.69
20,Barbara Schnieper,SUI,Gianna II,,0,54.24
21,Kevin Gonzalez De Zarate Fernandez,ESP,Houla Hop D Estive,,0,59.48
22,Julio Arias Cueva,ESP,Fidji Beladeva,,0,59.69
23,Jesus Torres Garcia,ESP,Kannantos,,4,69.86
24,Claudia Sovero Mckay,PER,Forsety du Lys,,0,56.51
25,Dominique Zbinden,SUI,Othello Vom Eigen,,22,87.11
26,Sira Martinez Cullell,ESP,Devise du Salbey,,0,47.64
27,Carolina Villanueva Suarez,ESP,Price de Hus Z,,0,48.74
28,Leon Thijssen,NED,Dalivia Z,,0,49.30
29,Leticia Riva Gil,ESP,Conan de Taute,,0,50.40
30,Mans Thijssen,NED,Knockout EB,,0,54.06
31,Iván Serrano Sáez,ESP,Porsche 911 M,,0,56.16
32,Deirdre Reilly,IRL,Othello van de Vlasbloemhoeve,,0,62.00
33,Chloe Bertolini,ITA,Nalu By P&S,,0,57.17
34,Álvaro González De Zarate Fernandez,ESP,Cornets Esmeray PS,,0,61.68
35,Imma Roquet Autonell,ESP,Ivettus Del Maset,,4,69.01
36,Luis Ortiz Agüera,ESP,Easo J,,0,48.79
37,Sanne Thijssen,NED,Infinity Van Hof Ter Bolle,,0,50.61
EL,Pablo Valle Espinedo,ESP,Meriarta,,,
EL,Isabella Gonzalez Xie,ESP,Garsina,,,
