Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Desempate Puntos,Desempate Tiempo
1,James Smith,GBR,Nfs Angelina,1125,0,70.42,0,36.52
2,Sanne Thijssen,NED,Csf Whipper Snapper,900,0,71.66,0,36.57
3,Bertram Allen,IRL,Gary de Cerisy,675,0,72.49,0,37.37
4,Carolina Aresu Garcia Obregon,ESP,Galaxie du Marais,450,0,70.35,0,38.49
5,Jesus Bamonde,ESP,Agr Tourmalet,315,0,73.89,0,39.66
6,Imma Roquet Autonell,ESP,Elba Del Maset,247.5,0,76.04,0,39.88
7,Kyle Timm,CAN,Golden Boy Longane,180,0,74.67,0,40.96
8,Barbara Schnieper,SUI,Chicca Vom Eigen CH,135,0,69.15,4,39.53
9,Saul Gutierrez Oti,ESP,Casallcari PS,135,0,77.49,4,47.46
10,Luis Ortiz Agüera,ESP,Vivant's Penny PS,112.5,4,69.72,,
11,Iván Serrano Sáez,ESP,Dom Perignon vh Molenhof Z,112.5,4,74.55,,
12,Nicolas Deseuzes,FRA,Garou des Forets,112.5,4,75.78,,
13,Alvaro Diaz Garcia,ESP,C-Star V/D Schelpenhoeve Z,,4,78.99,,
14,Jack Whitaker,GBR,Partner In Crime,,6,80.08,,
15,Kevin Gonzalez De Zarate Fernandez,ESP,Hermes de l'O,,8,73.68,,
16,Mel Thijssen,NED,Cobalt de Quelennec Z,,8,76.75,,
17,Mans Thijssen,NED,Like ME,,8,77.17,,
18,Álvaro González De Zarate Fernandez,ESP,Chust Do IT,,12,67.51,,
19,Sira Martinez Cullell,ESP,Guapa de Liam,,12,76.13,,
20,Ana Carolina Sandoval Muñoz,ECU,Ricardo de W & S,,17,91.56,,
