Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Abdullah Alsharbatly,KSA,Dancing Wolf O.L,8646,0,62.53
2,Mariano Martinez Bastida,ESP,Elixir de Hus,5240,0,63.94
3,Bertram Allen,IRL,Emmylou,3930,0,64.69
4,Álvaro González De Zarate Fernandez,ESP,Casa Diva PS,2620,0,66.12
5,Leticia Riva Gil,ESP,Cadum de Champloue,1572,0,66.36
6,Philippe Rozier,FRA,Night Light Van'T Ruytershof,1179,0,68.03
7,Castora Ortiz Agüera,ESP,Robinson,786,0,68.53
8,Yuri Mansur,BRA,Clariquada T,655,0,68.62
9,Carolina Aresu Garcia Obregon,ESP,Collin's Loisel,524,0,70.43
10,Giulia Martinengo Marquet,ITA,Captain Morgan Weering Z,524,0,71.43
11,Mans Thijssen,NED,Joviality,262,0,71.66
12,Pello Elorduy Ibarzabal,ESP,Champenoise de Rampan,262,0,72.66
13,Kyle Timm,CAN,Fee des Hermines,262,0,74.60
14,Diana Piera Salamero,ESP,Rondine Del Terriccio,,0,75.78
15,Sira Martinez Cullell,ESP,Diferencio van het Lindenhof Z,,0,77.88
16,Armando Trapote,ESP,Tornado VS,,0,79.27
17,Nicolas Deseuzes,FRA,Opium Quality,,1,80.39
18,Alvaro Diaz Garcia,ESP,Pompei van de Fruitkorf,,2,81.04
19,Beatriz Llanza,ESP,Mary Whiskys,,2,81.77
20,Santiago Nuñez Riva,ESP,Vendetta de Capellan,,2,81.98
21,Carolina Villanueva Suarez,ESP,Voice de Chenaie,,4,68.14
22,Sergio Alvarez Moya,ESP,London's Bella,,4,68.45
23,Iván Serrano Sáez,ESP,Porsche 911 M,,4,73.67
24,Barbara Schnieper,SUI,Gianna II,,4,79.03
25,Derin Demirsoy,TUR,O-Kannarock,,4,79.39
26,Ismael Garcia Roque,ESP,Brazilia Dk Z,,5,80.53
27,Chloe Bertolini,ITA,Ibiza,,7,82.97
28,Emily Turkington,IRL,Cissi,,8,75.87
29,Olivia Alvarez García,ESP,Liron TK,,8,75.94
30,Sanne Thijssen,NED,Tippy Z,,8,76.06
31,Mel Thijssen,NED,Carembar Blue,,8,77.01
32,Imma Roquet Autonell,ESP,Irivola Del Maset,,8,77.30
33,James Smith,GBR,Tayvale Hunky Dory,,8,78.67
34,Angela Gonzalez Muñoz,MEX,Cocette 11,,8,83.68
35,Carlota Castellvi Lopez,ESP,Igor de Himbe,,9,80.07
36,Alejandro Entrecanales Marsans,ESP,Banzai Semilly,,10,81.93
37,Elena Appendino,ESP,Grupo Prom Hacienda,,12,78.49
38,Jesus Bamonde,ESP,Agr Colombia,,13,80.84
39,Yuko Itakura,JPN,Croft Legacy,,13,84.41
40,Leon Thijssen,NED,For President,,15,86.81
41,Kevin Gonzalez De Zarate Fernandez,ESP,Chaccora's Stakko PS,,20,76.58
42,Marcos Diaz Rodriguez,ESP,Filou du Manoir,,20,87.21
43,Jesus Garmendia Echevarria,ESP,Valut 2,,36,99.44
EL,Jesus Torres Garcia,ESP,Kannantos,,,
RET,Julio Arias Cueva,ESP,Never Alone,,,
RET,Luis Ortiz Agüera,ESP,Hvedholms Cashew,,,
RET,Alex Codina Leria,ESP,Cruising Star,,,
RET,Carlos Muñiz Gonzalez,ESP,Arloy de Beausejour,,,
RET,Carmen Mateos De Urbina,ESP,Alto de Talma,,,
EL,Harry Allen,IRL,Billy Bud,,,
EL,Jose Fumero Hernandez,ESP,Esto de Viscourt,,,
