Posición,Atleta,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate,Total
1,Oliver Lazarus,Conbalthago PS,66000,0,84.88,0,43.32,0
2,Emanuele Camilli,Chacco's Girlstar,40000,0,85.89,0,44.05,0
3,Janne F. Meyer-Zimmermann,Iron Dames Dubai du Cedre,30000,0,82.87,0,44.96,0
4,Julien Epaillard,Fringan de Vesquerie,20000,0,83.53,4,44.99,4
5,Imma Roquet Autonell,Irivola Del Maset,12000,4,82.53,0,48.54,4
6,John Whitaker,Equine American Unick du Francport,9000,5,86.80,0,50.04,5
7,Eduardo Alvarez Aznar,Made In'T Ruytershof,6000,8,82.17,0,47.39,8
8,Bertrand Genin,Elliot de Gineau,5000,0,85.48,8,52.89,8
9,Stanislas de Malet,Zambo M Z,4000,5,86.67,4,50.48,9
10,Yuri Mansur,Incanto VDL,4000,8,83.08,4,45.60,12
11,Penelope Leprevost,Ehning Flamingo,2000,8,83.87,4,49.59,12
12,Armando Trapote,Cochiloco PS,2000,8,85.56,8,50.77,16
13,Jack Whitaker,Jack JL,,8,85.61,,,8
14,Carlos Lopez-Fanjul Tartiere,Jourdain VDL,,8,89.01,,,8
15,Abdullah Alsharbatly,Boeckmanns Lord Pezi Junior,,8,89.10,,,8
16,Jur Vrieling,Kannan JR,,9,86.45,,,9
17,Santiago Nuñez Riva,Chakira Z,,11,88.16,,,11
18,Julio Arias Cueva,Filou du Manoir,,12,85.03,,,12
19,Constant van Paesschen,Kismet,,12,85.70,,,12
20,Sira Martinez Cullell,Pipper des Vergers Z,,14,87.09,,,14
21,Pello Elorduy Ibarzabal,Flonflon,,14,87.53,,,14
22,Fernando Fourcade Lopez,Barriques,,16,85.72,,,16
23,Simon Crippen,Handsome,,16,89.62,,,16
24,Jesus Garmendia Echevarria,Caramel Blue PS,,18,91.68,,,18
25,Alex Codina Leria,Notis,,19,88.11,,,19
26,Eden Leprevost Blinlebreton,Barbie de La Roque Z,,20,85.60,,,20
27,Jules Orsolini,Charlotte 198,,20,85.62,,,20
,Alberto Marquez Galobardes,Corazon K,,RET,,,,RET
,Emanuele Gaudiano,Chalou's Love PS,,RET,,,,RET
,Teresa Blazquez - Abascal,Nasa de Toxandria,,RET,,,,RET
,Mark Mcauley,Django Ste Hermelle,,RET,,,,RET
,Anastasia Bondarieva,Calder,,RET,,,,RET
,Iván Serrano Sáez,Porsche 911 M,,RET,,,,RET
,Mans Thijssen,Joviality,,RET,,,,RET
,Rodrigo Giesteira Almeida,Karonia.L,,EL,,,,RET
,Antonio Mariñas Soto,Expresso Minotiere,,RET,,,,EL
,Sanne Thijssen,Con Quidam RB,,RET,,,,RET
,Leon Thijssen,Hello,,RET,,,,RET
,Aurelien Leroy,Vendome d'Ick,,RET,,,,RET
,Harry Allen,Lukaku Vd Bisschop,,RET,,,,RET
,Gerfried Puck,Equitron Naxcel V,,RET,,,,RET
,Robin Muhr,Galaxy HM,,RET,,,,RET
