Posición,Atleta,Caballo,Premio,Puntos,Tiempo
1,Rodrigo Giesteira Almeida,Kentucky RW,3300,0,62.60
2,Juan Riva Gil,Victoria d'Argent,2000,0,62.98
3,Jesus Garmendia Echevarria,Lenfissich,1500,0,63.38
4,Iván Serrano Sáez,Rain Man,1000,0,64.61
5,Robin Muhr,Foud' Joie de Stel,600,0,64.73
6,Carlos Lopez-Fanjul Tartiere,Chacthardo PS,450,0,67.48
7,Julio Arias Cueva,Filou du Manoir,300,0,67.77
8,Eduardo Alvarez Aznar,Gibraltar Villa Rose,250,0,68.42
9,Álvaro González de Zárate,Casa Diva PS,200,0,68.69
10,John Whitaker,Lingote de Oro,200,0,70.34
11,Aurelien Leroy,Vendome d'Ick,100,0,71.09
12,Janne F. Meyer-Zimmerman,Iron Dames Dubai du Cedre,100,0,71.52
13,Leon Thijssen,Hello,,0,73.15
14,Santiago Nuñez Riva,Chakira Z,,0,73.37
15,Alex Codina Leria,Notis,,0,73.79
16,Stanislas de Malet,Zambo M Z,,0,74.52
17,Imma Roquet Autonell,Elba del Maset,,0,74.65
18,Emanuele Camilli,Casabea Blue PS,,0,75.70
19,Anastasia Bondarieva,Fedor V H Moeshof,,0,76.55
20,Manuel Fernandez Saro,Dreamland,,0,76.57
21,Alberto Marquez Galobardes,Kelly,,0,76.76
22,Emanuele Gaudiano,Vasco 118,,4,58.95
23,Sanne Thijssen,Os Le Petit Cheval,,4,65.56
24,Sara Vingralkova,Damocles From Second Life Z,,4,67.46
25,Pello Elorduy Ibarzabal,Ermione du Val Jouen,,4,68.98
26,Jur Vrieling,Kannan JR,,4,69.74
27,Eden Leprevost Blinlebreton,Barbie de La Roque Z,,4,72.12
28,Armando Trapote,Cochiloco PS,,4,76.07
29,Mark Mcauley,Django Ste Hermelle,,4,77.45
30,Julien Epaillard,Donatello d'Auge,,8,71.57
31,Jules Orsolini,Charlotte 198,,8,76.75
32,Pedro Veniss,Duelante 3k,,9,78.95
33,Penelope Leprevost,Penelope Leprevost,,13,78.47
,Gerfried Puck,Idiaal Special H.J.,,RET,
,Sira Martínez Cullell,Pipper des Vergers Z,,RET,
