Posición,Atleta,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate,Total
1,Abdullah Alsharbatly,Quisandro,9339,0,76.80,0,36.74,0
2,Mark Mcauley,Destinee de Vains,5660,0,81.56,0,48.95,0
3,Catherine Yen-Tung Chew,Holanda VDL,4245,0,80.92,0,42.84,0
4,Iván Serrano Sáez,Corvara Blue PS,2830,0,80.20,4,39.78,4
5,Felipe Ramos Guinato,Garota de Ipanema MC,1698,0,80.35,4,40.31,4
6,Eduardo Alvarez Aznar,Harlequin des Flagues,1273.5,0,80.79,4,40.34,4
7,Mia Leal Trevino,Calvin de Beaufour,849,0,78.97,19,62.04,19
8,Jur Vrieling,Helwell du Chabus,707.5,4,74.54,,,4
9,Julio Arias Cueva,Carambola,566,4,76.04,,,4
10,Juan Riva Gil,Fernhill Balou Beau,566,4,76.48,,,4
11,Sanne Thijssen,Lolandria Z,283,4,77.57,,,4
12,Rodrigo Giesteira Almeida,Comme Le Cour,283,4,78.54,,,4
13,Aurelien Leroy,Gaia de l'Autan,283,4,79.28,,,4
14,Beatriz Llanza,Mary Whiskys,283,4,79.43,,,4
15,Ismael Garcia Roque,Be Blue,283,4,79.88,,,4
16,Anastasia Bondarieva,Capri's Hope,,4,80.50,,,4
17,Emanuele Gaudiano,Crack Balou,,4,80.52,,,4
18,Roger Chammas,Leopold Ebh,,4,80.53,,,4
19,Otti Verdu Vidal,Baccarat Fontaine,,4,80.62,,,4
20,Armando Trapote,Matilda,,4,80.91,,,4
21,Mans Thijssen,Looking For You,,4,81.09,,,4
22,Pablo Garcia-Gallardo Garcia,Hit Rock de Bornival Z,,4,81.22,,,4
23,Harry Allen,Guerlain de Kresiker,,4,81.59,,,4
24,Stanislas de Malet,Geisha de Riverland,,5,82.33,,,5
25,Pablo Valle Espinedo,New York Z,,5,82.41,,,5
26,Constant van Paesschen,Just Too Late d'Hof-Ten Bos,,5,82.78,,,5
27,Lucia Fernandez Hidalgo,Tirano,,6,87.67,,,6
28,Gerfried Puck,Equitron Ornaat V,,7,84.45,,,7
29,Álvaro González De Zárate,Coralin 8,,8,78.60,,,8
30,Annabel Francis,Nebraska Van 'T Vianahof,,8,78.89,,,8
31,Jack Whitaker,Castell 22,,8,80.06,,,8
32,Imma Roquet Autonell,Dalia Del Maset,,8,80.83,,,8
33,Luis Ortiz Agüera,King of China Hero Z,,8,81.50,,,8
34,Leon Thijssen,IL Divo SW,,8,81.59,,,8
35,Alvaro Diaz Garcia,Paco Vd Bisschop,,11,84.47,,,11
36,Carlota Castellvi Lopez,Gazelle de Blagny,,11,84.93,,,11
37,Castora Ortiz Agüera,Robinson,,12,75.42,,,12
38,Carmen Mateos De Urbina,Aristo du Loir,,12,78.99,,,12
39,Javier Gutiérrez Rilo,Merina Star,,12,79.55,,,12
40,Micaela Alvarez Gutierrez,Las Vegas Vd Padenborre,,16,78.60,,,16
41,Pello Elorduy Ibarzabal,Emir de Burgo,,16,79.18,,,16
42,Enrique Camiruaga,El Punkto,,16,80.44,,,16
43,José Diaz Vecino,Chacloubal,,16,85.24,,,16
44,Stefan Weemaes,Gospel de Grandry,,19,84.24,,,19
45,Leticia Riva Gil,Cadum de Champloue,,19,96.91,,,19
46,Pablo Santiago Artime,Chiquita d'Aiguilly,,20,80.38,,,20
47,Alberto Marquez Galobardes,Coolboy,,20,80.89,,,20
48,Manuel Fernandez Saro,Chacoon Fly PS,,31,96.97,,,31
49,Gerardo Menendez Mieres,Coralou du Rouet PS,,41,106.35,,,41
,Pedro Veniss,Cs Hortencia,,,,,,RET
,Luisa Horta Osorio,Groove du Guignoly,,,,,,RET
,Yuri Mansur,Blitz van de Molenburg Z,,,,,,RET
,Jules Orsolini,E2k Extrem de Pontigny,,,,,,RET
,Ricardo Jurado,Zamarano Z,,,,,,EL
,Sara Vingralkova,Naila V'T Merelsnest,,,,,,RET
,Maria Luisa Sanchez Arguelles,Fostine Manciaise,,,,,,RET
,Georgina Harvey Lazarus,Butterfly Ennemmel,,,,,,RET
,Alessandra Battilana,Arlando van de Kapel Z,,,,,,RET
