Posición,Atleta,Caballo,Premio,Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Castora Ortiz Agüera,Robinson,1650,0,37.38,0,37.35,0
2,Sanne Thijssen,Lolandria Z,1000,0,40.15,0,37.37,0
3,Felipe Ramos Guinato,Gandalf Mouche,750,0,39.21,0,38.35,0
4,Luis Ortiz Agüera,King Of China Hero Z,500,0,39.20,0,39.37,0
5,Aurelien Leroy,Gaia de l'Autan,300,0,39.01,0,39.43,0
6,Pablo Garcia-Gallardo Garcia,Hit Rock de Bornival Z,225,0,40.48,0,39.81,0
7,Imma Roquet Autonell,Dalia Del Maset,150,0,41.29,0,40.10,0
8,Anastasia Bondarieva,Capri's Hope,125,0,39.43,0,41.49,0
9,Rodrigo Giesteira Almeida,Comme Le Coeur,100,0,40.86,4,36.05,4
10,Mans Thijssen,Knockout EB,100,0,41.92,4,38.75,4
11,Georgina Harvey Lazarus,Butterfly Ennemmel,50,0,38.44,4,38.96,4
12,Álvaro González De Zárate,Coralin 8,50,0,39.96,4,39.43,4
13,Ismael Garcia Roque,Be Blue,,0,40.61,4,39.46,4
14,Armando Trapote,Matilda,,0,40.63,4,41.13,4
15,Ricardo Jurado,Zamarano Z,,0,38.04,4,41.49,4
16,Roger Chammas,Leopold Ebh,,0,41.64,4,42.17,4
17,Julio Arias Cueva,Carambola,,4,39.34,0,42.39,4
18,Mia Leal Trevino,Calvin de Beaufour,,4,40.06,0,42.78,4
19,Micaela Alvarez Gutierrez,Las Vegas Vd Padenborre,,4,43.25,0,46.10,4
20,Enrique Camiruaga,El Punkto,,4,41.70,0,46.85,4
21,Alberto Marquez Galobardes,Coolboy,,4,41.22,0,48.58,4
22,Abdullah Alsharbatly,Quisandro,,0,39.99,5,50.21,5
23,Maria Luisa Sanchez Arguelles,Fostine Manciaise,,4,40.85,1,50.98,5
24,Gerardo Menendez Mieres,Coralou du Rouet PS,,0,39.21,8,47.05,8
25,Luisa Horta Osorio,Feeling de La Houssiere,,4,38.69,4,48.71,8
26,Lucia Fernandez Hidalgo,Tirano,,4,45.87,4,53.29,8
27,Alessandra Battilana,Arlando van de Kapel Z,,4,42.34,7,52.01,11
28,Leon Thijssen,IL Divo SW,,0,39.87,12,45.88,12
29,Annabel Francis,Thomascourt Victor,,4,38.61,8,48.68,12
30,Constant van Paesschen,Just Too Late d'Hof-Ten-Bos,,0,42.72,12,57.16,12
31,Iván Serrano Sáez,Cornelios TS,,4,41.24,9,50.47,13
32,Jules Orsolini,E2k Extrem de Pontigny,,6,49.43,8,48.12,14
33,Stefan Weemaes,Gospel de Grandry,,4,44.65,11,52.51,15
34,Roi Calviño Rabon,Intouch Four Flags,,8,43.78,9,54.59,17
35,Eduardo Alvarez Aznar,Genaro Paulois,,0,41.52,22,67.88,22
36,Juan Riva Gil,Fernhill Balou Beau,,12,42.58,12,48.52,24
37,Carlota Castellvi Lopez,Gazelle de Blagny,,4,41.10,20,65.48,24
EL,Mafalda Costa Marques,Iniesta P.,,,—,,—,EL
EL,Gerfried Puck,Equitron Ornaat V,,,—,,—,EL
