Posición,Atleta,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate,Total
1,Jules Orsolini,Ua Pou Island,1125,0,72.30,0,37.34,0
2,Álvaro González De Zárate,Pop UP,900,0,70.18,0,37.76,0
3,Harry Allen,Ella Gold 3,675,0,72.57,0,38.94,0
4,Mans Thijssen,Nouveau Noir Evo,450,0,75.29,0,39.88,0
5,Carlota Castellvi Lopez,Jolidiams des Tocrias,315,0,75.84,0,39.96,0
6,Jesus Garmendia Echevarria,Nina Tilla,247.5,0,67.01,4,41.91,4
7,Jack Whitaker,Ojamora,180,0,77.12,4,42.21,4
8,Imma Roquet Autonell,Ebba Del Maset,135,0,76.32,4,43.71,4
9,Saul Gutierrez Oti,Stakkalot PS,135,1,78.98,,,1
10,Iván Serrano Sáez,Talisker L3b,112.5,4,72.93,,,4
11,Sanne Thijssen,Scendra Optima,112.5,4,73.30,,,4
12,Luis Ortiz Agüera,Iolarzer Duverie Coco,112.5,4,76.59,,,4
13,Castora Ortiz Agüera,Hemerald Manciais Coco,,4,76.85,,,4
14,Olivia Alvarez Garcia,Cycloon,,5,78.16,,,5
15,Stefan Weemaes,Otto,,5,78.32,,,5
16,Alessandra Battilana,Leestone Cascornet,,5,78.32,,,5
17,Pablo Garcia-Gallardo Garcia,Cas D Augustijn Z,,6,79.25,,,6
18,Santiago Nuñez Riva,Valenza de Capellan,,8,72.01,,,8
19,Rodrigo Giesteira Almeida,Special One,,8,73.48,,,8
20,Pello Elorduy Ibarzabal,Talent van het Appelsvoordehof,,8,81.51,,,8
21,Jairo Junquera Perera,Jupiter de Maeza,,9,78.60,,,9
22,Roi Calviño Rabon,Allablanka Z,,15,80.63,,,15
23,Gonzalo Menendez Menendez,Agr Divina,,16,72.36,,,16
,Mia Leal Trevino,Idefix St Georges,,RET,,,,
,Leon Thijssen,Non Fictie,,RET,,,,
,Eduardo Alvarez Aznar,Stella de Betze Z,,RET,,,,
