Posición,Atleta,Caballo,Premio (€),Puntos,Tiempo
1,Jur Vrieling,Helwell du Chabus,9306,0,67.87
2,Eduardo Alvarez Aznar,Genaro Paulois,5640,0,68.05
3,Emanuele Gaudiano,Crack Balou,4230,0,68.91
4,Mark Mcauley,Destinee de Vains,2820,0,69.95
5,Leticia Riva Gil,Cadum de Champloue,2692,0,69.98
6,Ricardo Jurado,Zamarano Z,1269,0,71.04
7,Mans Thijssen,Looking For You,846,0,71.71
8,Abdullah Alsharbatly,Quisandro,705,0,72.00
9,Alberto Marquez Galobardes,Coolboy,564,0,72.06
10,Juan Riva Gil,Fernhill Balou Beau,564,0,72.13
11,Gerfried Puck,Equitron Ornaat V,282,0,72.58
12,Luis Ortiz Agüera,King of China Hero Z,282,0,73.15
13,Manuel Fernandez Saro,Chacoon Fly Ps,282,0,76.89
14,Roger Chammas,Leopold Ebh,282,0,76.98
15,Alvaro Diaz Garcia,Paco Vd Bisschop,282,0,78.39
16,Harry Allen,Guerlain de Kreisker,,0,79.75
17,Rodrigo Giesteira Almeida,Comme Le Coeur,,4,68.66
18,Pedro Veniss,Cs Hortencia,,4,68.96
19,Felipe Ramos Guinato,Gandalf Mouche,,4,69.89
20,Otti Verdu Vidal,Baccarat Fontaine,,4,71.33
21,Aurelien Leroy,Gaia de l'Autan,,4,71.40
22,Pablo Garcia-Gallardo Garcia,Hit Rock de Bornival Z,,4,71.49
23,Castora Ortiz Agüera,Robinson,,4,72.79
24,Iván Serrano Sáez,Cornelios TS,,4,74.43
25,Javier Gutiérrez Rilo,Merina Star,,4,74.55
26,Álvaro González De Zárate,Coralin 8,,4,74.69
27,Pablo Santiago Artime,Chiquita d'Aiguilly,,4,75.09
28,Imma Roquet Autonell,Dalia Del Maset,,4,75.14
29,Jack Whitaker,Castell 22,,4,76.57
30,Mia Leal Trevino,Nintendo,,4,77.06
31,Yuri Mansur,Blitz van de Molenbrug Z,,4,77.19
32,Gerardo Menendez Mieres,Coralou du Rouet PS,,4,77.44
33,Anastasia Bondarieva,Capri's Hope,,4,77.46
34,Enrique Camiruaga,Perlenband,,4,79.44
35,Catherine Yen-Tung Chew,Holanda VDL,,6,81.54
36,Beatriz Llanza,Mary Whiskys,,6,85.84
37,John Whitaker,Hamstramgram,,7,82.44
38,Carmen Mateos De Urbina,Azure des Roches,,7,82.56
39,Sanne Thijssen,Lolandria Z,,8,71.26
40,Sara Vingralkova,Constantin 110,,8,71.63
41,Pello Elorduy Ibarzabal,Emir de Burgo,,8,73.16
42,Julio Arias Cueva,Peanuts Van Baublo,,8,73.56
43,José Diaz Vecino,Chacloubal,,8,78.92
44,Pablo Valle Espinedo,New York Z,,8,87.68
45,Alessandra Battilana,Arlando van de Kapel Z,,9,84.24
46,Ismael Garcia Roque,Be Blue,,12,68.83
47,Jules Orsolini,E2k Extrem de Pontigny,,12,69.96
48,Georgina Harvey Lazarus,Butterfly Ennemmel,,12,73.73
49,Leon Thijssen,IL Divo SW,,12,75.56
50,Constant van Paesschen,Just Too Late d'Hof-Ten-Bos,,12,76.10
51,Luisa Horta Osorio,Groove du Guignoly,,13,80.87
52,Maria Luis Sanchez Arguelles,Fostine Manciaise,,14,85.95
53,Micaela Alvarez Gutierrez,Las Vegas Vd Padenborre,,16,79.55
54,Stefan Weemaes,Gospel de Grandry,,16,83.19
55,Lucia Fernandez Hidalgo,Tirano,,18,89.59
56,Annabel Francis,Nebraska Van 'T Vianahof,,27,102.16
57,Carlota Castellvi Lopez,Gazelle de Blagny,,31,98.69
,Armando Trapote,Gin Tonic van het Gerendal Z,,RET,
