Posición,Atleta,Caballo,Premio (€),Puntos,Tiempo
1,Luis Ortiz Agüera,Alegro VK,990,65,47.17
2,Teresa Arias Cueva,Brunch Jolivet,600,65,47.73
3,Armando Trapote,Matilda,450,65,48.37
4,Iván Serrano Sáez,Cornelios TS,300,65,49.08
5,Leon Thijssen,Millie Vanilli,180,65,49.48
6,Julio Arias Cueva,Carambola,135,65,49.75
7,Jairo Junquera Perera,Hades de Maeza,90,65,49.82
8,Gerfried Puck,Ruela,75,65,49.83
9,Eduardo Alvarez Aznar,Harlequin des Flagues,60,65,52.56
10,Luisa Horta Osorio,Feeling de La Houssiere,60,65,55.05
11,Ismael Garcia Roque,Scope,30,65,56.09
12,Saul Gutierrez Oti,Casallcari PS,30,65,56.11
13,Sara Vingralkova,Naila V'T Merelsnest,,65,56.32
14,Mans Thijssen,Knockout EB,,64,51.25
15,Sanne Thissen,Confidance V,,63,60.90
16,Álvaro González De Zárate,Isadora Ste Hermelle,,61,53.90
17,Felipe Ramos Guinato,Garota de Ipanema MC,,61,64.38
18,Victoria Sprogis,Kaiser de Roulard,,59,51.20
19,Lucia Fernandez Hidalgo,Ijancy de Kerglenn,,59,55.28
20,Jesus Garmendia Echevarria,Hh Atlanta de Arezzo,,44,52.71
21,Gonzalo Menendez Menendez,Uthope de La Roque,,25,46.73
22,Gerardo Menendez Mieres,Deus de Tus,,25,46.82
23,Mia Leal Trevino,Nintendo,,25,47.76
24,Aurelien Leroy,Gloriana de Kerser,,25,47.98
25,Otti Verdu Vidal,Hope Casa Ballonga,,25,48.67
26,Annabel Francis,Thomascourt Victor,,25,50.26
27,Alberto Marquez Galobardes,Sky Is The Limit,,25,50.98
28,Micaela Alvarez Gutierrez,Cheese W Z,,25,51.45
29,Felipe Andres Sierra Trejo,Orta de Reve,,25,51.64
30,José Diaz Vecino,Fee d'Ouilly,,25,51.99
31,Kateryna Zhalkovska,Mimosa,,25,52.00
32,Imma Roquet Autonell,Icenta Del Maset,,25,52.97
33,Roi Calviño Rabon,Intouch Four Flags,,25,53.75
34,Enrique Camiruaga,El Punkto,,25,54.03
35,John Whitaker,Hamstramgram,,25,55.46
36,Pablo Garcia-Gallardo Garcia,Aganix Blue van de Eijkhof Z,,25,60.05
37,Ricardo Jurado,Tripeo JR,,19,50.86
38,Mafalda Costa Marques,Ilona B 111 Z,,19,52.72
,Pedro Vennis,Nimrod de Muze Imperio Egipcio,,EL,
