Posición,Atleta,Caballo,Premio,Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Jules Orsolini,Ua Pou Island,500,0,45.53,0,24.71,0
2,Mans Thijssen,Nouveau Noir Evo,400,0,48.36,0,26.44,0
3,Pello Elorduy Ibarzabal,Talent van het Appelsvoordehof,300,0,48.58,0,27.43,0
4,Rodrigo Giesteira Almeida,Special One,200,0,49.85,0,27.88,0
5,Gonzalo Menendez Menendez,Agr Divina,140,0,44.65,0,27.95,0
6,Jairo Junquera Perera,Jupiter de Maeza,95,0,45.67,0,28.09,0
7,Jesus Garmendia Echevarria,Nina Tilla,95,0,44.93,0,28.09,0
8,Sanne Thijssen,Scendra Optima,60,0,46.35,0,28.27,0
9,Luis Ortiz Agüera,Iolarzel Duverie Coco,60,0,48.43,0,28.40,0
10,Álvaro González De Zárate,Pop UP,50,0,44.80,0,28.50,0
11,Saul Gutierrez Oti,Stakkalot PS,50,0,46.12,0,29.70,0
12,Harry Allen,Ella Gold 3,50,0,46.65,0,30.62,0
13,Eduardo Alvarez Aznar,Stella de Betze Z,,0,50.63,0,31.07,0
14,Alvaro Diaz Garcia,Leon D' Emma Z,,0,48.28,0,32.32,0
15,Imma Roquet Autonell,Ebba Del Maset,,0,50.16,0,33.68,0
16,Ismael Garcia Roque,No Nonsense TN,,0,49.39,0,33.79,0
17,Leon Thijssen,Non Fictie,,0,45.50,0,33.98,0
18,Pablo Garcia-Gallardo Garcia,Cas D Augustijn Z,,0,49.82,4,32.31,4
19,Santiago Nuñez Riva,Valenza de Capellan,,4,43.83,0,33.29,4
20,Carlota Castellvi Lopez,Jolidiams des Tocrias,,0,48.32,4,33.44,4
21,Alessandra Battilana,Leestone Cascornet,,4,48.71,0,34.02,4
22,Castora Ortiz Agüera,Jemerald Manciais Coco,,4,46.84,4,33.05,8
23,Mia Leal Trevino,Idefix St Georges,,0,48.27,8,33.64,8
24,Stefan Weemaes,Otto,,4,49.10,4,33.73,8
25,Iván Serrano Sáez,Talisker L3b,,8,49.97,1,35.05,9
26,Roi Calviño Rabon ,Allablanka Z,,4,51.08,8,34.12,12
27,Jack Whitaker,Ojamora,,13,62.69,0,33.34,13
,Olivia Alvarez Garcia,Cycloon,,,,,,EL
