Posición,Atleta,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate,Total
1,Rodrigo Giesteira Almeida,Karonia.L,34815,0,77.31,0,43.50,0
2,Jules Orsolini,Charlotte 198,21100,0,78.77,0,51.66,0
3,Julien Epaillard,Donatello d'Auge,15825,0,78.26,4,43.28,4
4,Pello Elorduy Ibarzabal,Flonflon,10550,0,82.22,4,45.54,4
5,Jur Vrieling,Kannan JR,6330,0,82.02,4,45.67,4
6,Roger Chammas,Glondon Di San Giovanni,4747.5,0,80.49,4,47.24,4
7,Antonio Mariñas Soto,Expresso Minotiere,3165,0,78.71,8,51.37,8
8,Emanuele Gaudiano,Chalou's Love PS,2637.5,0,83.84,20,63.85,20
9,Robin Muhr,Galaxy HM,2110,4,78.11,,,4
10,Sira Martinez Cullell,Pipper des Vergers Z,2110,4,79.17,,,4
11,Álvaro González De Zárate,Casa Diva PS,1055,4,79.37,,,4
12,Eden Leprevost Blinlebreton,Barbie de La Roque Z,1055,4,79.45,,,4
13,Manuel Fernandez Saro,Dreamland,,4,80.37,,,4
14,Armando Trapote,Cochiloco PS,,4,80.84,,,4
15,Yuri Mansur,Incanto VDL,,4,80.87,,,4
16,Teresa Blazquez - Abascal,Nasa de Toxandria,,4,81.22,,,4
17,Carlos Lopez-Fanjul Tartiere,Jourdain VDL,,4,81.24,,,4
18,Mans Thijssen,Joviality,,4,81.50,,,4
19,Alberto Marquez Galobardes,Kelly,,4,81.72,,,4
20,Stanislas de Malet,Zambo M Z,,4,82.36,,,4
21,Jesus Garmendia Echevarria,Caramel Blue PS,,4,83.23,,,4
22,Alex Codina Leria,Notis,,4,87.25,,,4
23,Leon Thijssen,Hello,,8,75.62,,,8
24,Jack Whitaker,Jack JL,,8,77.58,,,8
25,Iván Serrano Sáez,Rain Man,,8,78.07,,,8
26,Janne F.Meyer-Zimmermann,Iron Dames Dubai du Cedre,,8,79.89,,,8
27,Penelope Leprevost,Baloubet de Talma,,8,80.56,,,8
28,Sanne Thijssen,Con Quidam RB,,8,81.09,,,8
29,Imma Roquet Autonell,Elba del Maset,,8,81.39,,,8
30,John Whitaker,Equine America Unick du Francport,,8,82.15,,,8
31,Mark Mcauley,Fury Nocturne,,8,82.52,,,8
32,Santiago Nuñez Riva,Chakira Z,,8,83.22,,,8
33,Abdullah Alsharbatly,Alamo,,8,83.98,,,8
34,Constant van Paesschen,Kismet,,10,89.12,,,10
35,Julio Arias Cueva,Filou du Manoir,,12,76.59,,,12
36,Oliver Lazarus,Conbalthago PS,,12,78.23,,,12
37,Bertrand Genin,Elliot de Gineau,,12,78.95,,,12
38,Eduardo Alvarez Aznar,Qevita Vd Bisschop,,12,79.30,,,12
39,Sara Vingralkova,Rock'N Roll Mxl,,12,82.76,,,12
40,Pedro Veniss,Duelante 3k,,16,79.70,,,16
,Anastasia Bondarieva,Fedor V H Moeshof,,,,,,RET
,Fernando Fourcade Lopez,Barriques,,,,,,RET
,Gerfried Puck,Equitron Naxcel V,,,,,,RET
,Aurelien Leroy,Croqsel de Blaignac,,,,,,DSQ
,Harry Allen,Calculatus,,,,,,RET
,Emanuele Camilli,Chacco's Girlstar,,,,,,EL
