Posición,Atleta,Caballo,Premio (€),Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Mark Mcauley,Fury Nocturen,18744,0,49.62,0,32.39,0
2,Eduardo Alvarez Aznar,Made In'T Ruytershof,11360,0,45.96,0,33.07,0
3,Jur Vrieling,Cornet Blue PS,8520,0,49.96,0,33.33,0
4,Pello Elorduy Ibarzabal,Champenoise de Rampan,5680,0,46.40,0,33.78,0
5,Robin Muhr,Galaxy HM,3408,0,50.09,0,33.80,0
6,Imma Roquet Autonell,Irivola del Maset,2556,0,48.21,0,33.99,0
7,Gerfried Puck,Equitron Naxcel V,1704,0,50.26,0,34.19,0
8,Sara Vingralkova,Rock'N Roll Mxl,1420,0,48.14,0,34.33,0
9,Antonio Mariñas Soto,Expresso Minotiere,1136,0,48.17,0,34.46,0
10,Penelope Leprevost,Ehning Flamingo,1136,0,45.40,0,35.03,0
11,Eden Leprevost Blinlebreton,Darkhorse Brimbelles,568,0,48.39,0,35.50,0
12,Manuel Fernandez Saro,Vivalensky,568,0,48.83,0,37.14,0
13,Roger Chammas,Glondon Di San Giovanni,,0,48.82,0,38.10,0
14,Janne F. Meyer-Zimmermann,Iron Dames Just A Dream,,0,47.89,0,38.29,0
15,Constant van Paesschen,Diaz du Thot,,0,46.60,4,31.96,4
16,Teresa Blazquez - Abascal,Nasa de Toxandria,,0,47.15,4,33.54,4
17,Aurelien Leroy,Croqsel de Blaignac,,4,48.56,0,34.15,4
18,Simon Crippen,Handsome,,0,51.53,4,34.64,4
19,Julio Arias Cueva,Explosion Vh Legita Hof Z,,4,48.45,0,35.74,4
20,Emanuele Gaudiano,Nikolaj de Music,,0,48.58,4,36.00,4
21,Alex Codina,London Blue,,0,48.25,4,37.06,4
22,Álvaro González De Zárate,Ebane du Mesnil,,0,48.70,4,37.08,4
23,Rodrigo Giesteira Almeida,U2 Westleven Z,,0,49.00,4,37.17,4
24,Iván Serrano Sáez,Porsche 911 M,,0,47.04,4,37.60,4
25,John Whitaker,Sharid,,4,50.68,0,37.82,4
26,Bertrand Genin,Elliot de Gineau,,4,46.71,0,38.86,4
27,Harry Allen,Lukaku Vd Bisschop,,4,48.15,0,39.51,4
28,Anastasia Bondarieva,Calder,,0,51.12,4,39.75,4
29,Sira Martinez Cullell,Texas,,0,49.09,4,39.77,4
30,Carlos Lopez-Fanjul Tartiere,Jourdain VDL,,0,50.41,4,40.62,4
31,Sanne Thijssen,Jopie Amazing JR,,4,50.41,0,41.60,4
32,Julien Epaillard,Fringan de Vesquerie,,0,46.40,8,32.30,8
33,Yuri Mansur,Glinka de La Treille,,0,48.27,8,33.35,8
34,Fernando Fourcade Lopez,Barriques,,4,48.76,4,34.82,8
35,Pedro Veniss,Gershwin Dromelle,,0,46.27,8,36.23,8
36,Jesus Garmendia Echevarria,Caramel Blue PS,,4,46.16,4,39.19,8
37,Qinyu Pang,Caprisco,,4,49.64,4,40.84,8
38,Santiago Nuñez Riva,Valentino de Hus Z,,0,46.89,8,41.07,8
39,Alberto Marquez Galobardes,Corazon K,,0,47.97,8,45.93,8
40,Leon Thijssen,Lambiek,,4,48.55,6,43.06,10
41,Oliver Lazarus,Miss Paris,,4,48.85,8,33.65,12
42,Mans Thijssen,Nero Z,,4,47.56,8,35.55,12
43,Pablo Santiago Artime,Tanka du Marais,,4,50.51,8,40.08,12
44,Abdullah Alsharbatly,Boeckmanns Lord Pezi Junior,,0,47.95,12,49.26,12
45,Jules Orsolini,Ibrahim,,12,47.56,4,38.66,16
,Armando Trapote,Karl P,,,,,,RET
