Posición,Atleta,Caballo,Premio,Puntos,Tiempo
1,Constan van Paesschen,Diaz du Thot,9306,0,61.02
2,Abdullah Alsharbatly,Alamo,5640,0,61.37
3,Sara Vingralkova,Damocles From Second Life Z,4230,0,62.85
4,Pedro Veniss,Gershwin Dromelle,2820,0,62.88
5,Robin Muhr,Foud' Joie de Stel,1692,0,66.76
6,Aurelien Leroy,Histoire de Kerser,1269,0,66.78
7,Pello Elorduy Ibarzabal,Ermione du Val Jouen,846,0,67.48
8,Alex Codina Leria,London Blue,705,0,68.96
9,Anastasia Bondarieva,Fedor V H Moeshof,564,0,70.01
10,Mark Mcauley,Fury Nocturne,564,4,61.08
11,Leon Thijssen,Lambiek,282,4,61.71
12,Jules Orsolini,Ibrahim,282,4,61.76
13,Oliver Lazarus,Miss Paris,,4,62.35
14,Julio Arias Cueva,Explosion vh Legita Hof Z,,4,62.85
15,Sira Martinez Cullell,Texas,,4,64.19
16,Gerfried Puck,Idiaal Special H.J.,,4,64.65
17,Rodrigo Giesteira Almeida,Kentucky RW,,4,66.24
18,Armando Trapote,Karl P,,4,66.53
19,Janne F. Meyer-Zimmermann,Iron Dames Just A Dream,,4,67.10
20,Carlos Lopez-Fanjul Tartiere,Chacthardo PS,,4,67.61
21,Jesus Garmendia Echevarria,Mycox,,4,70.63
22,Harry Allen,Calculatus,,4,73.83
23,Eduardo Alvarez Aznar,Qevita Vd Bisschop,,4,74.62
24,Manuel Fernandez Saro,Vivalensky,,8,69.99
25,Stanislas de Malet,Gramyco Sitte,,12,67.03
26,Álvaro González De Zárate,Stakkaldato PS,,12,71.31
,Sanne Thijssen,Os Le Petit Cheval,,EL,
,John Whitaker,Sharid,,RET,
,Emanuele Gaudiano,Nikolaj de Music,,RET,
,Imma Roquet Autonell,Corisha Del Maset,,RET,
,Pablo Santiago Artime,Tanka du Marais,,RET,
,Mans Thijssen,Nero Z,,RET,
