Posición,Atleta,Caballo,Premio,Puntos,Tiempo
1,Jules Orsolini,Ua Pou Island,500,0,64.72
2,Pello Elorduy Ibarzabal,Talent van het Appelsvoordehof,400,0,64.91
3,Harry Allen,Ella Gold 3,300,0,64.94
4,Santiago Nuñez Riva,Valenza de Capellan,200,0,65.62
5,Carlota Castellvi Lopez,Jolidiams des Tocrias,140,0,66.24
6,Jack Whitaker,Ojamora,110,0,69.57
7,Iván Serrano Sáez,Talisker L3b,80,0,70.09
8,Sanne Thijssen,Scendra Optima,60,0,71.02
9,Rodrigo Giesteira Almeida,Special One,60,0,71.54
10,Luis Ortiz Agüera,Iolarzel Duverie Coco,50,0,72.18
11,Alessandra Battilana,Leestone Cascornet,50,0,72.38
12,Eduardo Alvarez Aznar,Stella de Betze Z,50,0,74.02
13,Ismael Garcia Roque,No Nonsense TN,,0,76.55
14,Mans Thijssen,Nouveau Noir Evo,,0,77.21
15,Jairo Junquera Perera,Jupiter de Maeza,,4,63.01
16,Álvaro González De Zárate,Pop UP,,4,68.21
17,Leon Thijssen,Non Fictie,,4,68.49
18,Saul Gutierrez Oti,Stakkalot PS,,4,68.59
19,Mia Leal Trevino,Idefix St Georges ,,4,69.20
20,Castora Ortiz Agüera,Jemerald Manciais Coco,,4,72.10
21,Stefan Weemaes,Otto,,4,79.07
22,Alvaro Diaz Garcia,Leon D' Emma Z,,4,79.16
23,Pablo Garcia-Gallardo Garcia,Cas D Augustijn Z,,5,81.26
24,Imma Roquet Autonell,Ebba Del Maset,,6,82.15
25,Jesus Garmendia Echevarria,Nina Tilla,,8,69.68
26,Gonzalo Menendez Menendez,Agr Divina,,12,74.13
27,Roi Calviño Rabon,Allablanka Z,,12,77.83
28,Olivia Alvarez Garcia,Cycloon,,18,94.58
