Posición,Atleta,Caballo,Premio (€),Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Rodrigo Giesteira Almeida,Karonia.L,1650,0,41.68,0,32.10,0
2,Fernando Fourcade Lopez,Barriques,1000,0,43.07,0,33.32,0
3,Juan Riva Gil,Victoria d'Argent,750,0,39.61,0,34.21,0
4,Jur Vrieling,Cornet Blue PS,500,0,43.14,0,35.29,0
5,Stanislas de Malet,Hector de Laubry Z,300,0,42.62,0,25.48,0
6,Álvaro González De Zárate,Ebane du Mesnil,225,0,43.36,0,35.69,0
7,Robin Muhr,Galaxy HM,150,0,43.06,0,36.08,0
8,Eduardo Alvarez Aznar,Qevita Vd Bisschop,125,0,43.54,0,36.12,0
9,Pablo Santiago Artime,Tanka du Marais,100,0,44.50,0,36.14,0
10,Sara Vingralkova,Rock'N Roll Mxl,50,0,45.58,0,36.38,0
11,Iván Serrano Sáez,Porsche 911 M,50,0,42.15,0,36.57,0
12,Jesus Garmendia Echevarria,Mycox,50,0,40.82,0,36.94,0
13,Yuri Mansur,Glinka de La Treille,,0,40.66,0,37.29,0
14,Pello Elorduy Ibarzabal,Flonflon,,0,43.89,0,37.87,0
15,Harry Allen,Calculatus,,0,41.48,0,39.30,0
16,Alberto Marquez Galobardes,Corazon K,,0,44.85,0,40.39,0
17,Penelope Leprevost,Ehning Flamingo,,0,43.27,0,40.54,0
18,Oliver Lazarus,Conbalthago PS,,0,44.80,0,40.58,0
19,Emanuele Camilli,Chacco's Girlstar,,0,43.97,0,41.33,0
20,Alex Codina Leria,London Blue,,0,41.32,0,41.90,0
21,Imma Roquet Autonell,Irivola del Maset,,0,43.93,0,43.42,0
22,Janne F. Meyer-Zimmermann,Iron Dames Just A Dream,,0,44.60,0,43.58,0
23,Mans Thijssen,Joviality,,0,45.86,0,44.46,0
24,Julien Epaillard,Fringan de Vesquerie,,0,44.15,0,44.76,0
25,Constant van Paesschen,Kismet,,0,46.71,0,45.42,0
26,Jules Orsolini,Ibrahim,,0,45.36,4,34.33,4
27,Emanuele Gaudiano,Vasco 118,,0,44.29,4,34.34,4
28,Armando Trapote,Karl P,,0,40.43,4,35.36,4
29,Gerfried Puck,Idiaal Special H.J.,,0,42.59,4,36.25,4
30,Sanne Thijssen,Jopie Amazing JR,,0,45.64,4,38.54,4
31,Eden Leprevost Blinlebreton,Darkhorse Brimbelles,,0,44.25,4,39.59,4
32,Sira Martínez Cullell,Texas,,0,43.01,4,40.72,4
33,Roger Chammas,Glondon Di San Giovanni,,0,43.90,4,41.36,4
34,Pedro Veniss,Gershwin Dromelle,,0,41.89,4,42.71,4
35,John Whitaker,Lingote de Oro,,0,46.92,4,43.02,4
36,Leon Thijssen,Lambiek,,0,42.06,8,39.17,8
37,Santiago Nuñez Riva,Valentino de Hus Z,,0,41.11,8,40.26,8
38,Manuel Fernandez Saro,Vivalensky,,0,44.54,8,40.76,8
39,Julio Arias Cueva,Conisha des Forets,,8,41.71,0,40.80,8
40,Antonio Mariñas Soto,Expresso Minotiere,,4,44.20,4,41.97,8
41,Aurelien Leroy,Histoire de Kerser,,8,44.19,0,42.34,8
42,Qinyu Pang,Caprisco,,4,43.43,4,45.24,8
,Bertrand Genin,Elliot de Gineau,,,,,,RET
,Teresa Blazquez - Abascal,Nasa de Toxandria,,,,,,RET
,Anastasia Bondarieva,Calder,,,,,,RET
,Abdullah Alsharbatly,Alamo,,,,,,RET
