Posición,Atleta,Caballo,Premio (€),Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Gonzalo Menendez Menendez,Uthope de La Roque,990,0,37.68,0,30.31,0
2,Javier Gutiérrez Rilo,Merina Star,600,0,38.53,0,30.72,0
3,Jules Orsolini,E2k Extrem de Pontigny,450,0,40.59,0,31.49,0
4,Mans Thijssen,Knockout EB,300,0,43.92,0,32.06,0
5,Eduardo Alvarez Aznar,Genaro Paulois,180,0,41.08,0,32.16,0
6,Ismael Garcia Roque,Scope,135,0,42.05,0,34.34,0
7,Leticia Riva Gil,Cadum de Champloue,90,0,40.71,0,34.5,0
8,Alberto Marquez Galobardes,Sky Is The Limit,75,0,42.43,0,34.81,0
9,Julio Arias Cueva,Peanuts Van Baublo,60,0,40.75,0,35.55,0
10,Gerfried Puck,Equitron Ornaat V,60,0,42.06,0,35.78,0
11,Harry Allen,Guerlain de Kreisker,30,0,41.29,0,36.34,0
12,Armando Trapote,Gin Tonic van het Gerendal Z,30,0,41.27,0,36.67,0
13,Catherine Yen-Tung Chew,Holanda VDL,,0,41.76,0,36.80,0
14,Iván Serrano Sáez,Corvara Blue PS,,0,42.24,0,36.90,0
15,Imma Roquet Autonell,Icebta Del Maset,,0,39.25,0,37.17,0
16,Carmen Mateos De Urbina,Aristo du Loir,,0,39.77,0,37.49,0
17,Manuel Fernandez Saro,Chacoon Fly PS,,0,42.89,0,37.85,0
18,Sanne Thijssen,Confidance V,,0,41.71,0,39.01,0
19,Luisa Horta Osorio,Feeling de la Houssiere,,0,42.99,0,39.03,0
20,Pablo Garcia-Gallardo Garcia,Aganix Blue van de Eijkhof Z,,0,46.09,0,41.02,0
21,Felipe Ramos Guinato,Garota de Ipanema MC,,0,44.22,0,41.03,0
22,Pedro Vennis,Nimrod de Muze Imperio Egipcio,,0,42.21,0,41.35,0
23,Mark Mcauley,Destinee de Vains,,0,43.51,0,41.76,0
24,Ricardo Jurado,Tripeo JR,,0,40.5,4,32.44,4
25,Leon Thijssen,Millie Vanilli,,0,40.28,4,32.56,4
26,Otti Verdu Vidal,Hope Casa Ballonga,,0,40.23,4,32.86,4
27,Teresa Arias Cueva,Brunch Jolivet,,0,37.81,4,32.93,4
28,Stanislas de Malet,Geisha de Riverland,,0,41.81,4,33.59,4
29,Pablo Santiago Artime,Chiquita d'Aiguilly,,0,39.73,4,33.95,4
30,Annabel Francis,Thomascourt Victor,,0,39.92,4,34.28,4
31,Mia Leal Trevino,Calvin de Beaufour,,0,40.02,4,34.80,4
32,Lucia Fernandez Hidalgo,Ijancy de Kerglenn,,0,40.58,4,35.03,4
33,Mafalda Costa Marques,Ilona B 111 Z,,0,40.74,4,35.36,4
34,Micaela Alvarez Gutierrez,Cheese W Z,,0,38.97,4,35.61,4
35,Enrique Camiruaga,Perlenband,,0,40.68,4,36.53,4
36,John Whitaker,Hamstramgram,,0,43.74,4,36.74,4
37,Yuri Mansur,Blitz van de Molenbrug Z,,4,42.14,0,37.46,4
38,Roi Calviño Rabon,Intouch Four Flags,,0,41.95,4,38.85,4
39,Alvaro Diaz Garcia,Paco Vd Bisschop,,0,43.06,4,38.86,4
40,Stefan Weemaes,Merald Misteruno E,,4,43.58,0,40.11,4
41,Victoria Sprogis,Kaiser de Roulard,,4,37.4,4,34.18,8
42,Luis Ortiz Agüera,Alegro VK,,0,40.55,8,35.21,8
43,Jairo Junquera Perera,Hades de Maeza,,0,40.13,8,35.48,8
44,Saul Gutierrez Oti,Casallcari PS,,0,40.2,8,36.74,8
45,Sara Vingralkova,Constantin 110,,4,40.33,4,37.40,8
46,Aurelien Leroy,Gloriana de Kerser,,4,41.66,4,39.49,8
47,Kateryna Zhalkovska,Mimosa,,14,48.47,0,36.97,14
48,Felipe Andres Sierra Trejo,Orta de Reve,,15,57.19,4,35.48,19
EL,José Diaz Vecino,Chacloubal,,,,,,
RET,Jesus Garmendia Echevarria,Hh Atlanta de Arezzo,,,,,,
EL,Álvaro González De Zárate,Isadora Ste Hermelle,,,,,,
