Posición,Atleta,País,Caballo,Puntos,Tiempo,Premio
1,Luis Ortiz Agüera,ESP,Alegro VK,0,61.39,990
2,Stefan Weemaes,BEL,Merald Misteruno E,0,63.01,600
3,Luisa Horta Osorio,POR,Groove du Guignoly,0,63.83,450
4,Gerardo Menendez Mieres,ESP,Deus de Tus,0,63.91,300
5,Alberto Marquez Galobardes,ESP,Sky Is The Limit,0,64.5,180
6,Otti Verdu Vidal,ESP,Hope Casa Ballonga,0,64.61,135
7,Stanislas de Malet,FRA,Geisha de Riverland,0,65.03,90
8,Eduardo Alvarez Aznar,ESP,Harlequin des Flagues,0,65.81,75
9,Mia Leal Trevino,MEX,Nintendo,0,65.99,60
10,Gerfried Puck,AUT,Ruela,0,67.22,60
11,Iván Serrano Sáez,ESP,Corvara Blue PS,0,67.38,30
12,Leon Thijssen,NED,Millie Vanilli,0,67.68,30
13,Imma Roquet Autonell,ESP,Icenta Del Maset,0,69.82,
14,Mafalda Costa Marques,POR,Ilona B 111 Z,0,69.91,
15,Álvaro González De Zárate,ESP,Isadora Ste Hermelle,0,70.06,
16,Enrique Camiruaga,ESP,Perlenband,0,70.91,
17,Pello Elorduy Ibarzabal,ESP,Emir de Burgo,0,72.52,
18,Carmen Mateos De Urbina,ESP,Azure des Roches,0,73.05,
19,John Whitaker,GBR,Hamstramgram,0,73.35,
20,Manuel Fernandez Saro,ESP,Chacoon Fly PS,0,75.66,
21,Pablo Valle Espinedo,ESP,New York Z,0,77.11,
22,Pablo Garcia-Gallardo Garcia,ESP,Aganix Blue van de Eijkhof Z,1,78.19,
23,Gonzalo Menendez Menendez,ESP,Uthope de La Roque,4,57.04,
24,Javier Gutiérrez Rilo,ESP,Merina Star,4,59.31,
25,Ricardo Jurado,ESP,Tripeo JR,4,63.14,
26,Micaela Álvarez Gutiérrez,ESP,Cheese W Z,4,67.77,
27,Saul Gutierrez Oti,ESP,Casallcari PS,4,70.71,
28,Ismael Garcia Roque,ESP,Scope,4,71.62,
29,Mans Thijssen,NED,Looking For You,4,73.76,
30,Lucia Fernandez Hidalgo,ESP,Ijancy de Kerglenn,4,74.29,
31,Sanne Thijssen,NED,Confidance V,6,80.00,
32,Jesus Garmendia Echevarria,ESP,Hh Atlanta de Arezzo,8,59.41,
33,Teresa Arias Cueva,ESP,Brunch Jolivet,8,68.77,
34,Victoria Sprogis,MLT,Kaiser du Roulard,8,70.92,
35,Jairo Junquera Perera,ESP,Hades de Maeza,8,71.59,
36,Kateryna Zhalkovska,UKR,Mimosa,12,77.49,
37,Sara Vingralkova,CZE,Naila V'T Merelsnest,49,118.36,
EL,Felipe Andres Sierra Trejo,MEX,Orta de Reve,EL,,
RET,Leticia Riva Gil,ESP,Stella,RET,,
