Posición,Atleta,Caballo,Premio,Penalidad,Tiempo
1,Constant van Paesschen,Diaz du Thoto,9735,0,65.12
2,Yuri Mansur,Glinka de La Treille,5900,0,65.28
3,Julio Arias Cueva,Conisha des Forets,4425,0,67.15
4,Emanuele Gaudiano,Vasco 118,2950,4,67.54
5,Robin Muhr,Foud' Joie de Stel,1770,0,67.81
6,Jules Orsolini,Ibrahim,1327.5,4,68.42
7,Harry Allen,Calculatus,885,0,68.57
8,Jur Vrieling,Cornet Blue PS,737.5,4,69.36
9,Imma Roquet Autonell,Corisha Del Maset,590,0,69.61
10,Sanne Thijssen,Os Le Petit Cheval,590,4,69.74
11,Armando Trapote,Karl P,295,4,70.42
12,Mark Mcauley,Django Ste Hermelle,295,4,70.61
13,Leon Thijssen,Lambiek,,4,71.06
14,Eduardo Alvarez Aznar,Gibraltar Villa Rose,,0,71.56
15,Oliver Lazarus,Miss Paris,,8,71.84
16,Álvaro González De Zárate,Stakkaldato PS,,4,71.94
17,Mans Thijssen,Nero Z,,4,72.26
18,Stanislas de Malet,Gramyco Sitte,,4,72.30
19,Sira Martinez Cullell,Kohiba,,0,72.64
20,Sara Vingralkova,Damocles From Second Life Z,,4,72.90
21,Emanuele Camilli,Casabea Blue PS,,0,74.80
22,Juan Riva Gil,Victoria d'Argent,,8,76.45
23,Rodrigo Giesteira Almeida,Kentucky RW,,8,77.41
24,Aurelien Leroy,Histoire de Kerser,,12,78.90
25,Santiago Nuñez Riva,Valentino de Hus Z,,8,80.14
26,Anastasia Bondarieva,Crack A Nut Sept Z,,4,84.72
27,Alex Codina Leria,Jarno,,16,90.21
28,Jesus Garmendia Echevarria,Lenfissich,,12,104.58
,Gerfried Puck,Idiaal Special H.J.,,RET,
,Pello Elorduy Ibarzabal,Champenoise de Rampan,,RET,
