Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II
1,Silvio Weiss,Stella B,0,35.46,0,27.69
2,Raissa Sokolenko,Chevalier,0,39.56,0,27.78
3,Anna Klosowska,Eflim,0,38.94,0,28.32
4,Simon Heineke,Early Bird,0,43.25,0,28.86
5,Matthias Lucas,Octavia H 3,0,39.19,0,28.97
6,Malgorzata Koszucka,V-querida Of Vigo Z,0,40.08,0,29.01
7,Christian Rhomberg,Der Terminator Rr,0,40.15,0,29.02
8,Oleg Sokolenko,Shenanigan,0,39.40,4,27.63
9,Maria Ciszek,Casall Conti,0,38.24,4,29.41
10,Anna Klosowska,Carbon,0,40.37,4,32.07
11,Maria Ciszek,Dialog,7,50.92,0,28.09
12,Zuzanna Michalska,Ciao Bella Z,0,35.69,12,29.52
13,Marie Flick,Dsp Charlott,0,37.27,15,46.41
14,Urszula Pogodzinska,Prime Radius,4,40.56,12,31.91
15,Elina Schwarz,Luka Van De Eikhof,0,35.31,18,45.11
