Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Jaroslaw Skrzyczynski,The One Van Heiste (BWP),0,35.78,0,27.52,0
2,Simon Heineke,Sunny Boy 386 (HOLST),0,35.03,0,29.16,0
3,Bart Bles,Wizard,0,33.69,0,29.30,0
3,Malgorzata Koszucka,Tierlantijne De Haquet (BWP),0,33.30,0,29.30,0
5,Max Haunhorst,Contoki (WESTF),0,36.69,0,29.53,0
6,Michal Kazmierczak,Aepril R&d Z (ZANG),0,36.30,0,29.99,0
7,Jaroslaw Skrzyczynski,Clearthargo Ps (OS),0,35.63,0,30.15,0
8,Harm Lahde,Diva 648 (WESTF),0,35.62,0,30.27,0
9,Enno Klaphake,Campi Ek (OS),0,37.25,0,30.94,0
10,Malgorzata Ciszek - Lewicka,Quailen (HANN),0,34.85,0,31.20,0
11,Michael Viehweg,Mona Bella (AWÖ),0,34.10,0,31.31,0
12,Renee Ulvsbjerg,Kennedy (DWB),0,37.94,0,31.38,0
13,Jakub Krzyzosiak,Prada (KWPN),0,37.43,0,31.46,0
14,Nisse Lüneburg,Milly D (SWB),0,35.87,0,31.52,0
15,Nicole Holmén,Bollerup Big Bang (SWB),0,36.36,0,31.56,0
16,Kristaps Neretnieks,Flipers (LWB),0,34.83,0,31.89,0
17,Bart Bles,Dancer Ep (SF),0,34.18,0,32.15,0
18,Antoni Strzalkowski,Amazing Scarface S (PZHK (SP)),0,35.53,0,32.43,0
19,Jesse Luther,H.s. Minnesota (HOLST),0,35.56,0,32.47,0
20,Nisse Lüneburg,Mister Cheeky 3 (HOLST),0,35.21,0,33.15,0
21,Evita Vismeryte,Oliander (KWPN),0,34.34,0,33.23,0
22,Lukasz Koza,Staco Boy Rk (OS),0,36.10,0,34.03,0
23,Nicole Holmén,Bollerup Big Bucks (SWB),0,37.16,0,34.30,0
24,Evita Vismeryte,Obbe Junior Van De Tjongershoeve (KWPN),0,35.30,0,35.36,0
25,Arkadiusz Fimmel,Lagen (PZHK (SP)),0,39.41,0,36.19,0
26,Filip Skrzyczynski,Powerall Tn (KWPN),0,37.17,0,37.54,0
27,Josefina Goess-Horstmann,Pacino Luidam (ISH),0,35.80,0,38.69,0
28,Lukas Civinskas,Catchy Va (HOLST),0,34.26,4,29.95,4
29,Kristaps Neretnieks,Valentino (HOLST),0,34.50,4,30.63,4
30,Michal Kazmierczak,Komme Hawajka Z (ZANG),0,35.47,4,30.78,4
31,Patryk Skrzyczynski,Pitch Hl (KWPN),0,34.51,4,31.76,4
32,Anna Szary Ziebicka,Unique Hippica (OS),0,37.48,4,33.00,4
33,Gert Jan Bruggink,Payday Z (ZANG),4,34.21,0,33.86,4
34,Christian Rhomberg,Touareg A Z (ZANG),4,37.54,0,35.41,4
35,Natalia Drag,M-cassiopaia Nm (HOLST),4,35.30,0,35.84,4
36,Tomasz Miskiewicz,Ukanda De Regor (BWP),0,35.76,4,36.15,4
37,Krzysztof Tarasek,Blaskari Skb (DSP (BRAND)),4,36.17,0,37.79,4
38,Tomasz Miskiewicz,Nuntalou Knt (HOLST),4,38.77,0,38.75,4
39,Andre Thieme,O Ranger (KWPN),0,36.56,7,42.30,7
40,Jakub Krzyzosiak,Birdie Waldstar Z (ZANG),0,34.29,8,32.52,8
41,Holger Wulschner,Caramella 21 (HANN),4,34.40,4,33.97,8
42,Andrius Petrovas,Balou D'mour Tw (WESTF),0,35.30,12,28.81,12
