Posición,Jinete,Caballo,Puntos,Tiempo
1,Bart Bles,Dancer Ep,0,58.57
2,Kristaps Neretnieks,Valentino,0,59.22
3,Jaroslaw Skrzyczynski,The One Van Heiste,0,60.23
4,Simon Heineke,Sunny Boy 386,0,61.29
5,Kristaps Neretnieks,Flipers,0,61.61
6,Max Haunhorst,Contoki,0,61.76
7,Michal Kazmierczak,Komme Hawajka Z,0,63.35
8,Patryk Skrzyczynski,Pitch Hl,0,63.48
9,Michael Viehweg,Mona Bella,0,64.40
10,Harm Lahde,Diva 648,0,64.52
11,Enno Klaphake,Campi Ek,0,65.42
12,Bart Bles,Wizard,0,65.58
13,Renee Ulvsbjerg,Kennedy,0,66.85
14,Jesse Luther,H.s. Minnesota,0,67.83
15,Evita Vismeryte,Obbe Junior Van De Tjongershoeve,0,68.88
16,Malgorzata Koszucka,Tierlantijne De Haquet,0,70.20
17,Gert Jan Bruggink,Payday Z,0,71.19
18,Nicole Holmén,Bollerup Big Bang,0,71.38
19,Antoni Strzalkowski,Amazing Scarface S,0,71.56
20,Nisse Lüneburg,Mister Cheeky 3,0,71.57
21,Andre Thieme,O Ranger,0,71.65
22,Natalia Drag,M-cassiopaia Nm,0,72.41
23,Tomasz Miskiewicz,Ukanda De Regor,0,72.42
24,Nicole Holmén,Bollerup Big Bucks,0,72.51
25,Jakub Krzyzosiak,Prada,0,72.53
26,Lukasz Koza,Staco Boy Rk,0,73.47
27,Christian Rhomberg,Touareg A Z,0,74.74
28,Jaroslaw Skrzyczynski,Clearthargo Ps,0,75.21
29,Tomasz Miskiewicz,Nuntalou Knt,0,75.66
30,Josefina Goess-Horstmann,Pacino Luidam,0,76.12
31,Filip Skrzyczynski,Powerall Tn,0,77.56
32,Michal Kazmierczak,Aepril R&d Z,4,62.43
33,Evita Vismeryte,Oliander,4,63.07
34,Malgorzata Ciszek - Lewicka,Quailen,4,65.30
35,Jakub Krzyzosiak,Birdie Waldstar Z,4,71.35
36,Nisse Lüneburg,Milly D,4,72.38
37,Lukas Civinskas,Catchy Va,4,72.82
38,Holger Wulschner,Caramella 21,4,75.80
39,Anna Szary Ziebicka,Unique Hippica,4,77.20
40,Andrius Petrovas,Balou D'mour Tw,5,78.09
41,Arkadiusz Fimmel,Lagen,8,81.94
42,Krzysztof Tarasek,Blaskari Skb,9,78.64
