Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Mykola Pylypeiko,Carbaron,0,70.82,0,39.37
2,Lorenzo Argentano,Dakota Blue Girl,0,68.80,0,41.91
3,Josefina Goess-Horstmann,Ja Belle Stability,0,73.30,0,43.72
4,Bart Bles,Supreme Ep,0,73.87,0,43.88
5,Michael Viehweg,Cartal,0,71.71,0,44.57
6,Nicole Holmén,Carmega,0,72.30,0,45.32
7,Helena Lundbäck,Whalborg,2,75.39,0,45.85
8,Krzysztof Ludwiczak,Celtic,0,72.67,1,48.70
9,Gert Jan Bruggink,Vigalio Sho Z,0,68.72,4,39.16
10,Jesse Luther,Kiara 138,0,73.39,4,40.88
11,Antoni Strzalkowski,U 2,2,75.09,4,44.09
12,Brecht Goossens,Maserati,0,73.03,4,45.96
13,Andrius Petrovas,Inteligent Boy - N,0,70.56,RET,
14,Deirdre Reilly,Derryglen Othello,2,75.92,,
15,Tomma Thiesen,Bert 74,4,68.39,,
16,Kristaps Neretnieks,Quintair,4,69.17,,
17,Roberto Turchetto,Kuriosity De Vy Z,4,70.07,,
18,Michal Kazmierczak,Roi Van't Hoog Hemelrijk,4,70.54,,
19,Simon Heineke,Call Me Pretty,4,70.56,,
20,Burak Uluçay,Holivia H,4,70.63,,
21,Andres Vereecke,Konita Hx,4,71.17,,
22,Andre Thieme,Emmes 5,4,71.25,,
23,Daria Kobiernik,Sonet,4,71.82,,
24,Enno Klaphake,Oki Doki 15,4,72.47,,
25,Jakub Krzyzosiak,Noriane,4,73.55,,
26,Saad Alajmi,Corisha Del Maset,5,74.58,,
27,Grzegorz Nowak,Call Of Duty,5,74.90,,
28,Anna Szary Ziebicka,Landreau,5,78.57,,
29,Hannes Ahlmann,Cimarosa 4,8,69.11,,
30,Christian Rhomberg,Incredible De Marny,8,70.19,,
31,Slawomir Uchwat,Miss-marvelous B,8,71.02,,
32,Lukasz Koza,Soricco Van't Slot,8,71.26,,
33,Roberto Cristofoletti,Jackpot Hero,8,72.15,,
34,Abdurakhmon Abdullaev,Baloukato,8,72.24,,
35,Marie Flick,Da Vinci Sr Z,8,72.33,,
36,Christian Hess,Dia Quicka W,8,73.12,,
37,Joel Torstenson,Qwerty Z,8,73.49,,
38,Feruz Abdullaev,Conlouba,9,74.75,,
39,Holger Wulschner,Vega De Laubry Z,9,78.60,,
40,Aleksandra Kierznowska,Corvetta,12,71.59,,
41,Msciwoj Kiecon,Camillo,12,72.70,,
42,Nika Sundström,Mireille Mathieu,12,72.71,,
43,Max Haunhorst,Jack V't Plutoniahof,25,86.84,,
44,Linda Portychova,Vivano Blue,31,92.89,,
,Hanna Osieka,Leroy P,RET,,,
,Saule Jocyte,Panama,RET,,,
,Marek Lewicki,La Pezi,RET,,,
,Harm Lahde,Holland V.d. Valckenborg,RET,,,
