Posición,Jinete,Caballo,Puntos,Tiempo,Puntos Fase II,Tiempo Fase II
1,Zuzanna Januszewska,Rox Coriana-p,0,46.73,0,26.03
2,Marek Lewicki,La Pezi,0,46.98,0,26.15
3,Brecht Goossens,Koosje,0,49.35,0,26.94
4,Jesse Luther,Millicent 6,0,47.10,0,27.13
5,Daria Kobiernik,Chamans Pepino Ll,0,51.23,0,27.26
6,Matilde Bono,Oo Seven Vd Molendreef,0,48.95,0,27.76
7,Mykola Pylypeiko,Clever,0,48.74,0,27.83
8,Linda Portychova,Black & White P.,0,50.41,0,28.05
9,Hannes Ahlmann,Courchevel Jl,0,52.35,0,28.12
10,Msciwoj Kiecon,Shade Of Gold Nve Z,0,48.40,0,28.16
11,Enno Klaphake,Nozem,0,50.59,0,28.96
12,Karmela Wolniewicz,Hoetzenhof Coco Jamboo,0,46.93,0,29.32
13,Antoni Strzalkowski,Clapton,0,51.31,0,29.80
14,Marie Flick,Didou Blofagnu Z,0,47.15,0,29.82
15,Matthias Lucas,Air-force One,0,48.51,0,29.98
16,Judyta Perek,Cedynia,0,49.63,0,30.33
17,Msciwoj Kiecon,Camillo,0,52.65,0,31.03
18,Jakub Krzyzosiak,Noriane,0,52.73,0,31.05
19,Filip Skrzyczynski,Hard To Beat,0,52.18,0,33.41
20,Arkadiusz Fimmel,Dominate F,0,50.94,0,34.32
21,Renee Ulvsbjerg,Horhiro Kdw Z,0,53.52,0,36.31
22,Enno Klaphake,Oki Doki 15,0,52.91,3,43.00
23,Roberto Cristofoletti,Lumiere He.ro,0,52.59,4,27.05
24,Daria Kobiernik,Verbora D'athena Z,0,50.38,4,30.12
25,Saule Jocyte,Quintago Nso,4,47.48,,
26,Judyta Perek,Quintus,4,48.28,,
27,Julia Bluj,Corlantina Hippica,4,48.82,,
28,Evita Vismeryte,Universe,4,49.25,,
29,Aleksandra Kierznowska,Miss Nevada,4,49.53,,
30,Patryk Skrzyczynski,Cube,4,49.69,,
31,Jakub Krzyzosiak,Nottingham S,4,50.68,,
32,Lukas Civinskas,Crystal Heart,4,50.76,,
33,Hanna Osieka,Miss Piggy,4,51.30,,
34,Evita Vismeryte,Falcon,4,52.30,,
35,Nisse Lüneburg,I'm Agent Pwr,4,53.12,,
36,Patryk Skrzyczynski,DI Caprio Z,8,52.34,,
37,Helena Lundbäck,Erbe's Liebling,8,52.61,,
38,Kristaps Neretnieks,Carten,16,57.64,,
,Zuzanna Januszewska,Conterno,RET,,,
