Posición,Jinete,Caballo,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Renee Ulvsbjerg,Celeste Balslev,0,70.17,0,38.68
2,Nicole Holmén,H&m Bahia,0,71.03,0,39.17
3,Max Haunhorst,Cera Blue B,0,74.73,0,39.99
4,Andres Vereecke,Halima Van Het Bonte Hof Z,0,71.03,0,40.44
5,Hannes Ahlmann,Flaubert Du Busson,0,74.61,0,41.30
6,Roberto Cristofoletti,Kitel Della Tenuta Montemagno,0,74.13,4,40.48
7,Roberto Turchetto,Diabolo D'encre,0,74.41,8,40.01
8,Marie Flick,Ciro 7,0,72.36,21,58.65
9,Andre Thieme,Dsp Chakaria,0,72.08,EL,
9,Saad Alajmi,Hi There,0,74.84,RET,
11,Jaroslaw Skrzyczynski,Solaris Blue,4,71.79,,
12,Aleksandra Kierznowska,Conlumino,4,72.20,,
13,Nisse Lüneburg,Chill Out Rl,4,72.44,,
14,Brecht Goossens,Alaska Z,4,72.77,,
15,Marek Lewicki,Quadis II,4,73.59,,
16,Lorenzo Argentano,Corna Boy,4,74.48,,
17,Mykola Pylypeiko,Money Time,4,74.84,,
18,Kristaps Neretnieks,Chicarito,4,75.13,,
19,Christian Hess,Zafir 13,4,75.80,,
20,Lukasz Koza,Leopold Van Het Meesenhof Z,5,76.65,,
21,Krzysztof Ludwiczak,Uriel Du Sartiau Z,5,76.78,,
22,Linda Portychova,Lara,6,77.15,,
23,Tomma Thiesen,Django Riff,8,71.08,,
24,Michael Viehweg,Contario,8,72.99,,
25,Jesse Luther,Moon Boy,8,73.25,,
26,Andrius Petrovas,Just Cornet R.t.,8,73.34,,
27,Harm Lahde,Can Hope,8,74.33,,
28,Tomasz Miskiewicz,Kaszmir,8,74.37,,
29,Daria Kobiernik,Sonet,9,76.40,,
30,Antoni Strzalkowski,Amazing Lucy,12,74.69,,
31,Joel Torstenson,Qwerty Z,16,74.54,,
32,Gert Jan Bruggink,Fellow De Will,17,80.40,,
33,Aleksandrs Sakurovs,Fillmore Db,17,84.16,,
34,Matilde Bono,Cardozo Z,18,77.98,,
35,Peter Englbrecht,Paulinjo Blue,21,84.73,,
36,Abdurakhmon Abdullaev,Caballone,25,84.29,,
,Enno Klaphake,Chacvarlon Ps,RET,,,
,Christian Rhomberg,Durantos,RET,,,
,Msciwoj Kiecon,Idealisca,RET,,,
,Jacek Polikowski,Lector,RET,,,
,Bart Bles,Hot Stuff Ep,RET,,,
,Simon Heineke,Coco Chanel 296,RET,,,
,Matthias Lucas,Camaro Vd Leuba,RET,,,
