Posición,Jinete,Caballo,Puntos,Tiempo
1,Camille Biebuyck,Ladana vh Venushof Z,0,68.96
2,Felipe Coutinho Mendonca Nagata,Nektar de Vauxelles,0,69.77
3,Saad Ahmed S A Al Saad,Fashion des Douits,0,69.87
4,Louise Losfeld,Athina Louise Z,0,72.45
5,Dennis van den Brink,Chardonnay Sv Z,0,74.59
6,Diego Ramos Maneiro,Deauville Van'T Zorgvliet,0,75.20
7,Ibrahim Yousuf Al Mahmoud,Perle Van Dorperheide,0,75.28
8,Lauranne Spits,Sjefke Van d'Abelendreef,0,75.29
9,Charlotte Berghmans,Cornetto 60,0,75.71
10,Mohamed Mounir Mehenni,Jet Lag des M,0,75.86
11,Mauro Stas,Ti Amo Di Magico de Res Nova Z,0,76.61
12,Kristina Klebanova,Ironie des Pres Sauvages,0,77.03
13,Ivana Zálešák Hron,Cia Z,0,77.17
14,Elke Appeltans,Ialou Manciaise,0,77.22
15,Jorik Vervoort,Brilliant Touch Z,0,77.82
16,Dennis Johansson,Sibella Sts,0,78.04
17,Oona-Julia Roto,Peter Pan van de Berghoeve,0,78.24
18,Paula de Boer-Schwarz,Castanie K,0,78.57
19,Marie Eder Ferrero,Mette VDL,0,79.39
20,Manon de Corte,Muscato de Laubry,0,79.40
21,Robin Vermeir,Sisley van de Hazenhoek,0,79.54
22,Ina Kai Barila-Laliberte,Chicane V Z,0,80.25
23,Ludovica Camerlengo,Kikidola,0,80.85
24,Thibaud Ebinger,Amazing Smile Bs Z,0,82.14
25,Chanel de Roeck,Showoff af Z,0,82.64
26,Tallulah Mackenzie Smith,Coyotte Pommex Z,0,82.87
27,Aimee van Gerwen,Ami Hero Z,0,83.12
28,Jonna Ekberg,Sma Duke,0,83.18
29,Alexandra Paillot,M.Adermie RJ,0,83.81
30,Stephanie D'Andrimont,Fantaisie de Montigny,1,84.35
31,Stefanie Carroll,Take Off de Muze,2,85.35
32,Elona Rousselle,Ibiscus de Samadal,3,86.47
33,Daan Bernaerts,l'Esmeralda Van 'T Meulenhof,3,86.51
34,Christophe Boden,Omanka-A,4,74.88
35,Jonathan Hansson,Obelix Vd Berghoeve,4,75.36
36,Lucie Saliba,Something Special TK,4,76.21
37,Rik Nauta,Diva Vd Withoeve Z,4,77.55
38,Jade Laderach,Ines de Kreisker,4,77.93
39,Marthe Heudens,Riviera van het Dennehof,4,78.15
40,Thomas Leemans,Petrouska Dm Z,4,78.60
41,Marta Elander Wisten,Declic de Fond de Ville Z,4,79.84
41,Vanessa Ingrid Pecina,Surprising Dream S.H.O. Z,4,79.84
43,Bethanie Knight,Coralldi Z,5,88.76
44,Léa de Coulon,Varane de La Pomme Z,6,85.63
45,Antoine Deprez,Iggy Pop d'Utah,6,89.29
46,Victoria Vargas,Coeur d'Amour 8,6,89.58
47,Joker A. Arroyo,Evita du Soleil,8,75.92
48,Maxime Boutron,Hembleme Montdesir,8,77.32
49,Florence Schwizer-Seydoux,Mirage Vls,8,81.40
50,Juliette Berghmans,Falcao de Beaufour,8,82.49
51,Logan Fiechter,Apphire H Z,8,87.21
52,Sultan Salem Al Naemi,Energika des Neyes,8,87.41
53,Anna Sushcheva,Diva du Temple,8,87.74
54,Mariana Frauches Chaves,Enzo By Fape Z,11,90.28
55,Morten Dahl,Mylord Forever,11,90.48
56,Sarah Lynch,Cordial,11,94.47
57,Valentine Raulier,Turin Z,12,87.06
58,Niharika Singhania,Hambourg MF,13,92.10
59,Carlos Hank Gonzalez,H5 Origi,14,93.17
60,Stephanie Janssens,Clo-Clo Z,15,86.88
61,Claire Putters,Sjaakie Van d'Abelendreef,19,90.40
62,Amira Kettaneh,Izzy du Thot,20,76.83
63,Maria Privitera,Kriskras,32,103.83
,Salome Jobert,Eau de Vie Jeleena Dr Z,EL,
,Lieselot Kooremans,Eden Jeleena Dr Z,EL,
,Nadège Janssen,Jaures de La Besace,EL,
