Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Kendra Claricia Brinkop,Sniper des Lilas Blancs,0,36.98,0,28.89,0
2,Seppe Wouters,Roxanne de Regor,0,36.54,0,30.77,0
3,Camila Mazza De Benedicto,Carrasco N89 Z,0,34.77,0,30.90,0
4,Elize van de Mheen,Fides du Mas Garnier,0,36.30,0,31.47,0
5,Caroline Devos-Poels,Ermitage d'Argouges,0,36.09,0,31.80,0
6,Harrie Smolders,For Chacco TN,0,37.00,0,32.12,0
7,Alexis Lheureux,Ines de Prepinson,0,38.11,0,32.38,0
8,Janika Sprunger,Victory Music Z,0,37.37,0,33.01,0
9,Max Wachman,Grs Lady Amaro,0,34.75,0,33.23,0
10,Kasper de Boeck,Nepal S,0,37.23,0,33.51,0
11,Angelica Augustsson Zanotelli,Falko Ste Hermelle,0,37.80,0,33.83,0
12,Anthony Philippaerts,Spirit du Coeur des Collines,0,37.64,0,33.97,0
13,Mike van Olst,Bluebell Z,0,39.07,0,34.07,0
14,Jacinta Errazuriz,Calissi,0,37.31,0,34.12,0
15,Olivier Philippaerts,Cote d'Or Z,0,38.40,0,34.87,0
16,Alise Oken Crooks,Caramia,0,39.27,0,35.21,0
17,Lara Tryba,Memphis Z,0,38.68,0,35.78,0
18,Marlon Modolo Zanotelli,Eddie G Z,0,36.56,0,36.04,0
19,Jeroen de Winter,Nikita Ck Z,0,39.39,0,36.15,0
20,Lorenzo Privitera,Superman Jvh,0,38.33,0,36.29,0
21,Maikel van der Vleuten,Kentucky Tms Z,0,39.47,0,36.66,0
22,Lars Kersten,Carmen H Z,0,40.19,0,36.70,0
23,Anthony Wellens,Quiona V/H Lemmenshof,0,36.88,4,31.27,4
24,Sofia Michel,Bp First Editions,0,37.49,4,32.82,4
25,Noora Von Bülow,Interstar B,0,37.69,4,33.63,4
26,Alix Ragot,Qh Sole Mio Santo Antonio,0,38.42,4,34.88,4
27,Maria Michel,Captain Rumel,0,37.15,4,34.94,4
28,Viktor Daem,Sunday,0,41.17,4,36.31,4
29,Mathieu Guery,Horizon,0,39.48,4,36.36,4
30,Suus Kuyten,No Surrender Skh,0,37.43,4,36.37,4
31,Wilm Vermeir,Jonkheer Van'T Veldhoven,0,40.49,4,36.50,4
32,Marilyn Little,Lorenzo,4,38.65,0,38.62,4
33,Emma Sophia Spanko,Black Jack Ixe,0,41.16,4,38.78,4
34,Alberto Zorzi,Camilla Bb88,4,41.78,4,36.57,8
35,Jan Vermeiren,Riesling Van 'T Eikhof,4,40.29,4,37.01,8
36,Yves Vanderhasselt,Rhiana Van 'T Zand,0,37.50,12,33.49,12
37,Claudia Michel,Cornet's Dream,0,37.39,17,54.51,17
38,Sofia Westborg,Lorine,0,37.96,20,53.05,20
,Emily Dehoff,Viper Z,RET,,,,
,Harry Allen,Huricane de Champloue,EL,,,,
