Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Daniel Deusser,Bingo Ste Hermelle,0,72.80,0,38.25
2,Jenny Krogsaeter,Quana Van Klapscheut,0,73.38,0,38.89
3,Christian Ahlmann,Diabolo Van Bets Z,0,76.01,0,39.72
4,Tom Wachman,Obora's Laura,0,74.86,0,39.79
5,Steve Guerdat,Hadj de Bliniere,0,76.45,0,40.22
6,Maikel van der Vleuten,Kentucky Tms Z,0,72.13,0,40.55
7,Simon Delestre,Crazy Daisy 13,0,75.09,0,40.62
8,Noora Von Bülow,Primavera,0,74.06,0,40.69
9,Henrik Von Eckermann,Hylanderhof's Saruschka,0,73.67,0,41.27
10,Yves Vanderhasselt,Denzelnoor Z,0,75.34,0,41.41
11,Jeroen Appelen,King Cjs,0,73.95,0,43.57
12,Eduardo Pereira De Menezes,H5 Messentus PS,0,74.41,4,38.24
13,Emilie Conter,Ocean Quality,0,75.36,4,40.32
14,Gilles Thomas,Saladin 'S,0,74.03,4,40.53
15,Anthony Wellens,Quelle Force Van Sappenleen,0,76.03,4,40.82
16,Thibeau Spits,Rozelien Dwerse Hagen,0,76.72,4,41.67
17,Lars Kersten,Dynamite Dillon Z,0,73.64,4,42.23
18,Alexis Lheureux,Lowtaxe du Seigneur,0,75.37,4,42.69
19,Harrie Smolders,For Chacco TN,0,72.96,4,42.73
20,Martin Fuchs,Love de Vie,0,73.08,8,40.16
21,Wilm Vermeir,Adelio,0,74.33,8,42.88
22,Kamal Abdullah Bahamdan,Cascadello Boy RM,0,75.05,8,43.38
23,Jeroen de Winter,Roberlina vh Netehof,0,76.19,8,47.79
24,Francis Derwin,Lambada Shake AG,0,75.57,,
25,Mathieu Guery,Leeske,1,77.72,,
26,Andres Azcarraga,Draco Sdn,2,78.42,,
27,Alix Ragot,Qh Sole Mio Santo Antonio,4,71.77,,
28,Pieter Devos,Jarina J,4,73.09,,
29,Seppe Wouters,Honolulu des Forets,4,73.30,,
30,Janika Sprunger,Aganix's Rose Of Light,4,74.06,,
31,Richard Vogel,Quizas Van 'T Hulsbos,4,74.10,,
32,Max Wachman,Gift des Lunes,4,74.15,,
33,Niels Bruynseels,Rubel vh Ijzerenlindenhof,4,74.24,,
34,Harry Allen,Lukaku Vd Bisschop,4,74.36,,
35,Ben Maher,Charessino PS,4,74.37,,
36,Romain Dreyfus,Comme Convenu,4,74.52,,
36,Suus Kuyten,King Kong d'Avifauna,4,74.52,,
38,Lorenzo de Luca,Denver de Talma,4,74.54,,
39,Marilyn Little,Lorenzo,4,74.60,,
40,Kevin Staut,Geisha de Riverland,4,74.89,,
40,Jeanne Sadran,Congratulation Pezi KB,4,74.89,,
40,Kasper de Boeck,Entertainer 111 Z,4,74.89,,
43,Kendra Claricia Brinkop,Sniper des Lilas Blancs,4,74.90,,
44,Sergio Alvarez Moya,Quadrado,4,74.94,,
45,Petronella Andersson,Hexode Ste Hermelle,4,74.96,,
46,Gregory Wathelet,Herald d'Emeraude,4,75.07,,
47,Olivier Philippaerts,Cote d'Or Z,4,75.30,,
48,Viktor Daem,Sunday,4,75.68,,
49,Evelyne Putters,Oberon Vdh,4,75.79,,
50,Angelica Augustsson Zanotelli,Kings Rose Dree Boeken,4,75.96,,
51,Claudia Michel,Kavango Sitte,4,76.27,,
52,Odile Gierech,Rockit-K Van'T Kattenheye,4,76.31,,
53,Oleksandr Prodan,Moneymaker Van'T Meulenhof,4,80.25,,
54,Jorge Matte Capdevila,Levi Noesar,5,77.05,,
55,Max Kühner,Vivo de Muze PS,5,77.68,,
56,Kim Emmen,Kaiser Dmh,6,78.51,,
57,Abdel Saïd,Wathnan Calvaro,7,79.56,,
58,Kristen Vanderveen,Bull Run's Mary,8,72.89,,
59,Jacinta Errazuriz,Caporal d'Elle,8,74.07,,
60,Carlos Hank Guerreiro,H5 Chilipepper Z,8,74.18,,
61,Bruno Martins Costa,Hennessy du Soleil,8,74.27,,
62,Chris Sorensen,Joyacara,8,74.66,,
63,Jos Verlooy,Renshaw Van'T Meulenhof,8,75.06,,
64,Elize van de Mheen,Kes TN,8,75.33,,
65,Alberto Zorzi,Calvarole Vg Z,8,76.67,,
66,Anthony Philippaerts,Impossible K.S,9,77.43,,
67,Alise Oken Crooks,Oraline Van Prinseveld,9,77.54,,
68,Jan Vermeiren,Jarcel de Laloena,11,79.87,,
69,Neri Pieraccini,Newton Van'T Zorgvliet,12,72.99,,
70,Sofia Michel,Bp First Editions,12,73.68,,
71,Stephanie Macieira,Kantella Van 'T Merelsnest,12,73.99,,
72,Felipe Amaral,Armenteros Z,12,75.73,,
73,Sofia Westborg,Power Blue,12,80.21,,
74,Caroline Devos-Poels,Diabelle PS,13,77.16,,
75,Piergiorgio Bucci,Istanbul du Cedre,13,77.59,,
76,Lorenzo Privitera,Pimpelmees van de Lentamel,14,78.07,,
77,Maria Michel,Night van de Kwakkelhoek,20,76.99,,
,Sheikh Khalifa Al Thani,Kashmir Van d'Oude Pastory,RET,,,
,Emma Sophia Spanko,Duo du RU,EL,,,
,Camila Mazza De Benedicto,Barbarossa Dree Boeken,RET,,,
,Emily Dehoff,Con Quality,EL,,,
