Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate,Total
1,Maikel van der Vleuten,Kentucky Tms Z,0,68.22,0,60.12,0
2,Lorenzo de Luca,Denver de Talma,0,68.24,0,60.57,0
3,Odile Gierech,Addicted Z,0,68.58,0,61.07,0
4,Angelica Augustsson Zanotelli,Iron Dames Calvino II de Nyze Z,0,68.85,0,63.23,0
5,Tom Wachman,Genghis Khan,0,70.93,4,58.39,4
6,Kamal Abdullah Bahamdan,Popeye Vd Bisschop,0,69.81,4,61.05,4
7,Jenny Krogsaeter,Sweet Niki,0,68.08,4,61.33,4
8,Yves Vanderhasselt,Merald Van 'T Zorgvliet,4,68.16,4,57.64,8
9,Kendra Claricia Brinkop,Sniper des Lilas Blancs,0,70.22,8,58.54,8
10,Wilm Vermeir,Adelio,4,66.45,4,59.66,8
11,Pieter Devos,Jarina J,0,69.13,8,61.59,8
12,Harry Allen,Lukaku Vd Bisschop,4,68.86,8,61.99,12
13,Evelyne Putters,Oberon Vdh,4,68.88,,,4
14,Bruno Martins Costa,Vitus Vk Z,4,69.31,,,4
15,Alexis Lheureux,Foxtrot Hoy,4,69.32,,,4
16,Francis Derwin,Zenith Vd Donkhoeve Z,4,69.87,,,4
17,Kim Emmen,Kaiser Dmh,4,70.04,,,4
18,Mathieu Guery,Haida du Houx,4,70.94,,,4
19,Jeroen de Winter,Pegase Van'T Ruytershof,4,71.02,,,4
20,Jorge Matte Capdevila,Levi Noesar,4,71.84,,,4
21,Olivier Philippaerts,Cote d'Or Z,4,71.85,,,4
22,Neri Pieraccini,Morsyth,5,72.36,,,5
23,Alix Ragot,If de Mars,8,66.61,,,8
24,Anthony Wellens,Quiona V/H Lemmenshof,8,67.30,,,8
25,Camila Mazza De Benedicto,Carrasco N89 Z,8,67.42,,,8
26,Emma Sophia Spanko,Ivan,8,68.67,,,8
27,Oleksandr Prodan,Diamond Quality Z,8,69.51,,,8
28,Felipe Amaral,Armenteros Z,8,69.87,,,8
29,Anthony Philippaerts,Kharley V,8,70.30,,,8
30,Mike van Olst,Bluebell Z,8,70.64,,,8
31,Viktor Daem,Sunday,8,70.68,,,8
32,Sofia Westborg,Lorine,8,71.21,,,8
33,Piergiorgio Bucci,Istanbul du Cedre,8,71.25,,,8
34,Gilles Thomas,Saladin 'S,8,71.63,,,8
35,Lorenzo Privitera,Ombre Van'T Zorgvliet,8,75.04,,,8
36,Marilyn Little,Lorenzo,9,72.24,,,9
37,Jeroen Appelen,Nech Z,10,73.16,,,10
38,Seppe Wouters,Libelle Asborne Z,12,69.17,,,12
39,Jacinta Errazuriz,Calissi,12,69.86,,,12
40,Maria Michel,Captain Rumel,12,70.21,,,12
41,Jan Vermeiren,Jarcel de Laloena,12,70.47,,,12
42,Alise Oken Crooks,Caramia,13,72.52,,,13
43,Andres Azcarraga,Draco Sdn,21,84.49,,,21
44,Elize van de Mheen,Eldorado 45,24,83.25,,,24
45,Sofia Michel,Bp First Editions,28,69.62,,,28
,Claudia Michel,Kavango Sitte,EL,,,,
,Suus Kuyten,King Kong d'Avifauna,EL,,,,
,Kasper de Boeck,Nepal S,RET,,,,
,Lars Kersten,Carmen H Z,RET,,,,
,Caroline Devos-Poels,Diabelle PS,RET,,,,
,Harrie Smolders,For Chacco TN,RET,,,,
,Chris Sorensen,Emperor Claudius,RET,,,,
,Romain Dreyfus,Channah Z,RET,,,,
