Posición,Jinete,Caballo,Puntos,Tiempo
1,Georgina Ellis,Croisiere,0,55.33
2,Ryan Page,Zlatan Z,0,56.24
3,Nikki Curtis,Destination,0,57.56
4,Emma Stoker,Skylandria Z,0,58.28
5,Harriette Rushton,Anytime Z,0,58.73
6,Samantha Anne Oliver,Gluk,0,59.86
7,Kirsty Pearce,Hadrianus WB,0,60.80
8,Angela Thompson,Ca Va Fazallco,0,61.22
9,Phillip Spivey,Billy Van Gogh,0,61.58
10,Danielle Farnsworth,Kwis,0,62.24
11,Annabel Shields,Ses Denmark,0,63.35
12,Ignacio Caba Guil,IV Willem,0,64.13
13,Daniel Moseley,Billy Be Magical,0,64.78
14,Rosie Smith,Honorine AS,0,66.26
15,Poppy Dorise,Cicero's Boy HD,0,67.08
16,Maisie Riley,Hk Dominatara,0,67.20
17,Tabby Morgan-Evans,Zilveren's Swizzle Time Bda,0,67.76
18,Poppy Stronge,Kadermie van de Crumelhaeve,0,67.98
19,Leo Lorimer,Touareg T,0,68.59
20,Ella Spencer,Billy Outspoken,0,69.17
21,Trevor Breen,Mgh Prima Ballerina,0,69.26
22,Madison Heath,Ti Amore van de Doornhaag,0,69.92
23,Jodie Hall Mcateer,Hardessa,0,71.56
24,Mia Breen,Crack 41,0,71.62
25,Greg Le Gear,O Halifax Boy DL,0,71.78
26,Elizabeth Forrester,Conrad Fs Z,0,73.05
27,Jonathon Buxton,Orlesh,0,75.48
28,Georgina Ellis,Fireball,4,56.72
29,J P Daker,Rozy vh Gebergte,4,63.85
30,Leah Knowles,True Form,4,64.90
31,Alicia Falla,Lightning W,4,67.49
32,Jackson Reed Stephenson,Cicero's Star,4,68.91
33,Faye Adams,Ideal Meniljean,4,69.26
34,Alexandra Somerville-Cotton,Comvaro,4,69.30
35,Greg Le Gear,Gucci's Envoy,4,71.77
36,Jessica Birkett,Ballyquirke Paddy,4,72.83
37,Isabelle Doyle,Fss Sunlight,8,71.62
38,Iwan Carpenter,Ramiro Dollar,17,86.15
39,Rebecca Lithgow,Raimy van de Noordheuvel,27,92.31
40,Katie-Ellen Mellish,Renkum Keyman,28,70.19
,James Adams Riley,Floris,EL,
,Kitty Underwood,K,EL,
,Dee Kennedy,Narla Emerald Blue,RET,
,Sophie Howell,Saphira Ballante,EL,
,Chloe Gunning,Ron Weasley,RET,
