Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II
1,Jessica Hewlett,Ilmar Hbc,0,44.91,0,27.90
2,Keith Shore,Fabuleux de Riverland,0,47.58,0,27.91
3,Phillip Spivey,Kimba du Soleil,0,47.22,0,29.11
4,Holly Smith,Orovito,0,46.84,0,29.62
5,Christopher Smith,North Cape Z,0,47.16,0,33.71
6,Nicole Pavitt,Landorado A J,0,47.35,0,33.95
7,Lyndsay Harrison,Keiralanda Vdm,0,48.47,0,39.87
8,Cate Kerr,Ballypatrick Zambra,0,44.28,4,28.92
9,Alexandra Somerville-Cotton,Heartbreakers Escape,0,45.69,4,30.34
10,Laura Ritchie-Bland,Legacy,0,47.46,4,33.94
11,Honor Dabbs,Con Diasmina,0,46.72,4,34.26
12,Nicole Pavitt,Aster 16,0,47.32,,
13,Isabelle Mcclelland,Mcllroy 19,1,50.33,,
14,Emily Fisher,Iline,4,46.20,,
15,Emily Seal,Conradoc II Proosthof Z,4,47.79,,
16,Laura Mantel,Car-A-Lago Z,4,48.03,,
17,Sammie Jo Coffin,Cosacara Mia F,4,48.41,,
18,Millie Kold,Lcm Goldento,13,50.01,,
