Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Holly Smith,Orovito,0,64.84,0,34.62
2,Laura Ritchie-Bland,Legacy,0,67.82,0,36.71
3,Laura Mantel,Car-A-Lago Z,0,68.65,0,40.24
4,William Fletcher,Nashville,0,67.31,4,35.56
5,Cate Kerr,Ballypatrick Zambra,0,64.40,4,40.39
6,Keith Shore,Fabuleux de Riverland,4,67.67,,
7,Jessica Hewlett,Ilmar Hbc,4,67.75,,
8,Honor Dabbs,Con Diasmina,8,66.53,,
9,Emma Slater,Hullabalou's Darco,8,67.76,,
10,Phillip Spivey,Kimba du Soleil,8,69.08,,
11,Jessie Irwin,Jds Capone,9,72.84,,
12,Sammie Jo Coffin,Cosacara Mia F,13,72.85,,
13,Emily Seal,Conradoc II Proosthof Z,31,78.38,,
,Nicole Pavitt,Landorado A J,RET,,,
,Alexandra Somerville-Cotton,Heartbreakers Escape,RET,,,
