Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Sammie Jo Coffin,Cornet Of Follyfoot,0,36.71,0,25.83,0
2,Mark Edwards,Dillinger NE,0,34.49,0,26.33,0
3,Jessica Hewlett,Mosandro Van Perbeemd,0,33.69,0,26.39,0
4,Jack Stirling,Os Vino,0,33.80,0,26.80,0
5,Sammie Jo Coffin,Big Star Of Follyfoot Z,0,34.85,0,26.82,0
6,Sally Goding,Red Head,0,34.35,0,27.53,0
7,John Whitaker,Cornets Olona,0,36.69,0,28.06,0
8,Jodie Hall Mcateer,Topaz Ice Z,0,36.52,0,30.90,0
9,Jodie Hall Mcateer,Hardessa,0,36.41,0,33.00,0
10,Ignacio Caba Guil,IV Willem,0,35.93,0,35.55,0
11,Alfie Diaper,Labatt,3,44.44,0,31.85,3
12,Laura Renwick,Nfs Taluga,0,34.98,4,28.61,4
13,Ryan Page,Kai Chic,0,34.52,4,28.70,4
14,Laura Renwick,Billy Tamrac,0,34.39,4,28.72,4
15,Ben Edwards,Catino Ask,0,34.54,4,29.94,4
16,Michael Tuff,Gio P Z,0,36.50,4,32.31,4
17,Ignacio Caba Guil,C-Let's Dance van de Beemd,0,36.86,4,34.01,4
18,Rebecca Marsh,Levi III,4,37.69,0,34.31,4
19,Rebecca Mason,Festina-K Van Kattenheye Z,0,36.94,8,35.57,8
