Posición,Jinete,Caballo,Puntos,Tiempo
1,Yuri Mansur,My Lady Lavista,0,61.17
2,Constant van Paesschen,Diaz du Thot,0,61.54
3,Millie Allen,Quick Diamant HR,0,62.46
4,Gudrun Patteet,Sea Coast Chica V.V. Z,0,64.44
5,Imma Roquet Autonell,Dalia Del Maset,0,66.01
6,Finn Boerekamp,Danny Boy 111 Z,0,66.15
7,Tom Schewe,Deesse des Embruns,0,66.37
8,Barbara Schnieper,Toronto Raptor,4,66.48
9,Jack Whitaker,Skyfall OS,4,67.04
10,Olivier Perreau,In Love With You,0,67.14
11,Rodrigo Giesteira Almeida,Comme Le Coeur,0,67.75
12,Eduardo Alvarez Aznar,Giovanni St Germain,4,67.85
13,Robert Whitaker,Strike A Pose,0,68.72
14,Simone Coata,Metoon PS,4,70.23
15,Pablo Santiago Artime,Chiquita d'Aiguilly,4,70.32
16,Pieter Clemens,Gambas de l'Ocean,8,71.67
17,Federica Fernandez,Maricucha LS,8,74.23
18,Iván Serrano Sáez,Hora Ito Batilly,8,77.12
19,Sira Martinez Cullell,Izara des Dames,0,77.51
20,Scott Brash,Hello Folie,0,77.53
21,Emanuele Camilli,Casabea Blue PS,0,77.74
22,João Victor Castro Aguiar Gomes de Lima,Sagan Z,12,78.57
23,Sanne Thijssen,Os Le Petit Cheval,12,79.11
24,Christian Marini,Diloubette PS,4,79.18
25,Alberto Marquez Galobardes,For Jump des Horts,4,80.73
26,Luca Coata,Kasper Del Rilate,12,82.60
27,Pedro Veniss,Duelante 3K,4,83.46
28,Harry Charles,Fighting Phil,4,84.69
29,Riccardo Pisani,Scooby-Lou,12,90.33
,Edouard Schmitz,Dillen 111 Z,RET,
