Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Julio Arias Cueva,Lecktrik Z,0,74.08,0,40.95
2,Sanne Thijssen,Awesome Van Www.Olland.Biz,0,72.69,0,41.54
3,Simone Coata,Joliesse Del Colle,0,75.91,0,41.83
4,Millie Allen,Liyanna Ter Wijnen Z,0,73.72,0,42.04
5,Iván Serrano Sáez,Adv Avenger,0,75.06,0,42.07
6,Santiago Nuñez Riva,Valenza de Capellan,0,72.09,0,42.51
7,Alberto Marquez Galobardes,Ananda T,0,74.69,0,42.89
8,Carlos Gomez Sanchez,Uganda de Sauco,0,78.72,0,43.85
9,Ricardo Jurado,Louisa JR,0,74.94,0,44.01
10,Barbara Schnieper,Nicole V.D. Woestenheide,0,71.83,4,42.03
11,Kevin Gonzalez De Zarate Fernandez,Jivago de Brekka,0,75.22,4,45.24
12,Jairo Junquera Perera,Kepler de Maeza,0,76.31,8,42.53
13,Jack Whitaker,Melodie I,0,76.39,8,45.81
14,Luis Jesus Escobar,Nuts de Liam,4,72.75,,
15,Javier Gutiérrez Rilo,Darko de Roanne JR,4,73.98,,
16,Álvaro González De Zarate Fernandez,Jaguar de Perhet,4,74.26,,
17,Miguel Honrubia Alvariño,Penelope Jms,4,74.50,,
18,Leonardo Medal Rionda,Ecloma K.S.H.,4,74.68,,
19,Ismael Garcia Roque,Jasper de Mormoulins,4,75.77,,
20,Mafalda Costa Marques,Update Vd Berghoeve,4,77.93,,
21,Marcos Diaz Rodriguez,Dicarema PS,8,74.26,,
22,Olivier Perreau,Jolicoeur des Joanins,8,75.14,,
23,Jose Antonio Garcia Diana,Caviar,8,76.10,,
24,Roi Calviño Rabon,Balou de Lis,8,77.12,,
25,Finn Boerekamp,Cita W,8,77.55,,
26,Stefan Weemaes,Uzuri,8,77.66,,
27,Luis Fernandez Gil Fournier,Titan YM,16,78.44,,
28,Imma Roquet Autonell,Mi Alba Del Maset,17,84.80,,
,Otti Verdu Vidal,Diana Hero des Desig Z,RET,,,
