Posición,Jinete,Caballo,Puntos,Tiempo,Puntos Fase II,Tiempo Fase II,Diferencia
1,Rodrigo Giesteira Almeida,Comme Le Coeur,0,29.00,0,38.60,0.00
2,Eduardo Alvarez Aznar,Giovanni St Germain,0,29.20,0,39.83,1.23
3,Pieter Clemens,Gambas de l'Ocean,0,26.97,0,40.35,1.75
4,Pablo Santiago Artime,Chiquita d'Aiguilly,0,30.25,0,40.48,1.88
5,Iván Serrano Sáez,Corvara Blue PS,0,29.53,0,41.55,2.95
6,Simone Coata,Metoon PS,0,29.37,0,41.79,3.19
7,Olivier Perreau,Himalaya du Temple,0,28.65,0,42.06,3.46
8,João Victor Castro Aguiar Gomes de Lima,Giulia Hoy,0,29.71,0,42.47,3.87
9,Finn Boerekamp,Cirondine Z,0,30.83,0,43.02,4.42
10,Sanne Thijssen,Farah Z,0,28.71,0,43.80,5.20
11,Luciana Diniz,Full Passion Hh Z,0,30.38,0,44.23,5.63
12,Emanuele Camilli,Casabea Blue PS,0,29.19,0,44.45,5.85
13,Penelope Leprevost,Hileklaire Un Prince,0,29.11,0,44.59,5.99
14,Edouard Schmitz,Agassi Z,0,28.75,0,44.69,06.09
15,Sira Martinez Cullell,Izara des Dames,0,29.44,0,45.05,6.45
16,Lucia Fernandez Hidalgo,Byblos d'Elle,0,29.16,0,45.20,6.60
17,Luis Ortiz Agüera,Hvedholms Cashew,0,29.56,0,45.27,6.67
18,José María (jr) Larocca,Rr Brutus,0,29.63,0,45.39,6.79
19,Gudrun Patteet,Sea Coast Chica V.V. Z,0,29.77,0,45.68,07.08
20,Armando Trapote,Gin Tonic van het Gerendal Z,0,30.54,0,46.15,7.55
21,Olivier Robert,Iglesias D.V.,0,30.82,0,46.23,7.63
22,Jack Whitaker,Nimaran,0,30.31,0,46.71,8.11
23,Millie Allen,Viarca PS,0,29.17,0,47.07,8.47
24,Eve Jobs,Key West,0,30.06,0,48.48,9.88
25,Yuri Mansur,Qh Alfons Santo Antonio,0,29.91,0,48.51,9.91
26,Scott Brash,Hello Jefferson,0,31.39,0,49.51,10.91
27,Kevin Gonzalez De Zarate Fernandez,Djoural de Lizet,0,31.67,0,49.83,11.23
28,Janne Friederike Meyer-Zimmermann,Cellagon Cascais,0,30.84,0,49.99,11.39
29,Marc Dilasser,Kanelle d'Ecaussinnes,2,33.16,2,46.23,7.63
30,Pedro Veniss,Gershwin Dromelle,0,29.68,2,51.32,12.72
31,Emanuele Gaudiano,Chabrello PS,3,34.22,3,46.90,8.30
32,Luca Coata,Kasper Del Rilate,0,29.35,4,40.93,2.33
33,Abdullah Alsharbatly,Valentino,0,28.07,4,41.68,03.08
34,Alberto Marquez Galobardes,For Jump des Horts,0,28.73,4,41.71,3.11
35,Julio Arias Cueva,Sienna de Brandegem,0,27.95,4,41.85,3.25
36,David Simpson,Csf Thomascourt Zena,0,29.29,4,42.74,4.14
37,Ismael Garcia Roque,Daikon,0,29.58,4,43.46,4.86
38,Barbara Schnieper,Toronto Raptor,0,30.04,4,44.97,6.37
39,Christian Marini,Diloubette PS,0,27.46,4,46.00,7.40
40,Luis Fernandez Gil Fournier,Ibon,0,29.52,4,46.34,7.74
41,Jules Orsolini,Ibrahim,4,30.81,4,47.60,9.00
42,Dalma Malhas,Jandino,4,30.66,4,47.97,9.37
43,Harry Charles,Ballypatrick Tiberius,2,33.92,4,51.90,13.30
44,Robert Whitaker,Strike A Pose,0,31.61,5,54.69,16.09
45,Riccardo Pisani,Scooby-Lou,0,29.39,8,41.08,2.48
46,Federica Fernandez,Maricucha LS,0,28.18,8,42.18,3.58
47,Stefan Weemaes,Risque Tout,4,29.79,10,51.78,13.18
,Paola Amilibia,Quinley,RET,,,,
,Imma Roquet Autonell,Elba Del Maset,RET,,,,
