Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Iván Serrano Sáez,Adv Avenger,0,39.39,0,30.95,0
2,Kevin Gonzalez De Zarate Fernandez,Jivago de Brekka,0,38.27,0,31.20,0
3,Miguel Honrubia Alvariño,Penelope Jms,0,41.92,0,31.68,0
4,Luis Jesus Escobar,Nuts de Liam,0,39.45,0,31.69,0
5,Julio Arias Cueva,Lecktrik Z,0,42.70,0,31.98,0
6,Jairo Junquera Perera,Kepler de Maeza,0,41.14,0,32.15,0
7,Olivier Robert,Julia Galante,0,39.02,0,32.57,0
8,Olivier Perreau,Jolicoeur des Joanins,0,38.43,0,32.71,0
9,Santiago Nuñez Riva,Valenza de Capellan,0,37.15,0,32.80,0
10,Millie Allen,Liyanna Ter Wijnen Z,0,40.15,0,33.16,0
11,Janne Friederike Meyer-Zimmermann,Tresor Jw van de Moerhoeve,0,38.65,0,33.20,0
12,Alberto Marquez Galobardes,Ananda T,0,37.95,0,33.85,0
13,Ismael Garcia Roque,Jasper de Mormoulins,0,37.41,0,34.35,0
14,Ricardo Jurado,Louisa JR,0,41.73,0,34.77,0
15,Barbara Schnieper,Nicole V.D. Woestenheide,0,39.35,0,34.83,0
16,Sanne Thijssen,Awesome Van Www.Olland.Biz,0,38.79,0,34.88,0
17,Elena Appendino,Wonder Obolensky de Lis Coco,0,38.46,0,35.00,0
18,Mafalda Costa Marques,Update Vd Berghoeve,0,41.52,0,35.25,0
19,Javier Gutiérrez Rilo,Darko de Roanne JR,0,40.35,0,35.27,0
20,Carlos Gomez Sanchez,Uganda de Sauco,0,41.84,0,35.28,0
21,Finn Boerekamp,Cita W,0,40.21,0,35.93,0
22,Stefan Weemaes,Uzuri,0,46.61,0,36.55,0
23,Jack Whitaker,Melodie I,0,40.91,0,38.26,0
24,Álvaro González De Zarate Fernandez,Jaguar de Perhet,0,39.00,4,31.92,4
25,Leonardo Medal Rionda,Ecloma K.S.H.,0,42.13,4,32.96,4
26,Otti Verdu Vidal,Diana Hero des Desig Z,4,43.83,0,36.00,4
27,Jose Antonio Garcia Diana,Caviar,4,39.93,0,37.37,4
28,Simone Coata,Joliesse Del Colle,0,42.13,8,31.99,8
29,Marcos Diaz Rodriguez,Dicarema PS,8,42.50,0,36.32,8
30,Roi Calviño Rabon,Balou de Lis,8,42.90,0,37.00,8
31,Imma Roquet Autonell,Mi Alba Del Maset,4,45.85,4,39.96,8
32,Luis Fernandez Gil Fournier,Titan YM,12,41.40,4,37.75,16
,Jules Orsolini,Ohio,EL,,,,
