Posición,Jinete,Caballo,Puntos,Tiempo,Diferencia
1,Pablo Valle Espinedo,Bazooka Semilly,0,53.55,
2,Rodrigo Giesteira Almeida,Gb Diamantina,0,54.23,0.68
3,Leonardo Medal Rionda,Parker de Gozon,0,54.78,1.23
4,Christian Marini,C'Est Blue,0,55.25,1.70
5,Jaime Silvela Castañon,Makuru MQ,0,56.03,2.48
6,Simone Coata,All Star Z,0,56.49,2.94
7,Miguel Honrubia Alvariño,Delia Mouche,0,56.62,3.07
8,Santiago Nuñez Riva,Valquiria de Capellan,0,58.5,4.95
9,Iván Serrano Sáez,E Pleasure Beaufour,0,58.78,5.23
10,Felipe Andres Sierra Trejo,Los Angeles 28 D,0,59.86,6.31
11,Leticia Riva Gil,Cadum de Champloue,0,60.19,6.64
12,Miguel Alvarez -Buylla Rodriguez,Spirit van de Gaathoeve,0,61.14,7.59
13,Sloan Hopson,Hhs Tokyo,0,61.44,7.89
14,Chong-Hao Wang,Diasandro Blue,0,61.93,8.38
15,Nuno Tiago Gomes,Korado de Baudignies,0,62.53,8.98
16,Lucia Fernandez Hidalgo,Ijancy de Kerglenn,0,64.56,11.01
17,Maria Gil Diaz,Explosion vh Legita Hof Z,0,64.83,11.28
18,Dalma Malhas,Django de Neveztell,0,65.11,11.56
19,Otti Verdu Vidal,Hope Casa Ballonga,4,55.78,2.23
20,Luca Coata,Bojangles 5,4,57.13,3.58
21,Olivia Alvarez García,Everest CR,4,57.9,4.35
22,Jose Antonio Garcia Diana,Marola P&M,4,61.25,7.70
23,Javier Gutiérrez Rilo,Orient Express,4,61.41,7.86
24,Barbara Schnieper,Galisto Vom Eigen CH,4,61.49,7.94
25,Daniel Ocaña Sanchez,Dancing de l'Enclos,4,61.87,8.32
26,Javier Gonzalez Fraga,Queen Scs,4,62.13,8.58
27,Carlos Lopez-Fanjul Tartiere,Intrepide de l'Etoile,4,65.54,11.99
28,Kevin Gonzalez De Zarate Fernandez,Ivettas Del Maset,8,55.81,2.26
29,Elena Appendino,Nordesia,8,60.21,6.66
30,Luis Mateos Bernaldez,Espoir de Chenee,8,60.94,7.39
31,Saul Gutierrez Oti,Andy Star K Z,8,63.47,9.92
32,Carlota Castellvi Lopez,New Chance d'Hof-Ten-Bos,8,67.77,14.22
33,Stanislas de Malet,Istambul,8,71.19,17.64
34,Ricardo Jurado,Tripeo JR,8,75.18,21.63
35,Gonzalo Menendez Menendez,Fal'Bala d'Aury,12,56.95,3.40
36,Stefan Weemaes,Merald Misteruno E,20,91.26,37.71
EL,Sanne Thijssen,Vosje,EL,,
EL,Juan Carlos Rodriguez Fernandez,Houlahop de Septon,EL,,
EL,Luisa Horta Osorio,Ip Star de Rueire,EL,,
EL,Mia Leal Trevino,Idefix St Georges,EL,,
EL,Juan Riva Gil,Zamarano Z,EL,,
EL,Roi Calviño Rabon,Morris,EL,,
EL,Federica Fernandez,Davidoff,EL,,
