Posición,Jinete,Caballo,Puntos,Tiempo,Diferencia de tiempo con el primer clasificado
1,Álvaro González De Zarate Fernandez,Pop UP,0,39.06,0.00
2,Pieter Clemens,Leuke Vrouw,0,40.09,1.03
3,João Victor Castro Aguiar Gomes de Lima,Spice Girl-K Van Kattenheye,0,40.19,1.13
4,Jesus Garmendia Echevarria,Nina Tilla,0,40.21,1.15
5,Simone Coata,Dart Z,0,41.19,2.13
6,Julio Arias Cueva,Carlino de Beaufour,0,41.24,2.18
7,Miguel Alvarez -Buylla Rodriguez,Roxanne V,0,41.81,2.75
8,Castora Ortiz Agüera,Robinson,0,41.90,2.84
9,Armando Trapote,Matilda,0,42.78,3.72
10,Teresa Arias Cueva,Brunch Jolivet,0,43.04,3.98
11,Alexa Ferrer,Ingelo d'af,0,43.11,4.05
12,Nuno Tiago Gomes,Divya,0,43.29,4.23
13,Jairo Junquera Perera,Hades de Maeza,0,43.90,4.84
14,Barbara Schnieper,Fancy Faye,0,44.98,5.92
15,Marcos Diaz Rodriguez,Deus de Tus,0,47.66,8.60
16,Lucia Fernandez Hidalgo,Kings Queen Jt Z,0,49.09,10.03
17,Sanne Thijssen,Cupcake Z,0,52.01,12.95
18,Daniel Ocaña Sanchez,Artemis du Gevaudan,0,52.04,12.98
19,Sloan Hopson,Billy Arctic,0,53.11,14.05
20,Mia Leal Treviño,Calvin de Beaufour,4,40.84,1.78
21,Luis Mateos Bernaldez,Chamant de Biolley,4,42.93,3.87
22,Miguel Honrubia Alvariño,Equistar de l'Abbaye,4,43.86,4.80
23,Constant van Paesschen,Mr Connery B,4,45.63,6.57
24,Chong-Hao Wang,Equine America Ivanhoe Gph,4,46.09,7.03
25,Otti Verdu Vidal,Gloria Casa Ballonga,4,46.15,7.09
26,Pablo Valle Espinedo,Capucine du Marais,4,47.94,8.88
27,Federica Fernandez,Cador Rubin,4,48.59,9.53
28,Olivia Alvarez García,Gibraltar Villa Rose,4,49.72,10.66
29,Maria Gil Diaz,Chicetchoc d'Orival Z,4,50.24,11.18
30,Emanuele Gaudiano,Corlenthos PS,4,52.51,13.45
31,Rodrigo Giesteira Almeida,Calief Topfok,8,38.21,-0.85
32,Olivier Perreau,Celeana des Joanins Z,8,42.19,3.13
33,Micaela Alvarez Gutierrez,Las Vegas Vd Padenborre,8,44.15,05.09
34,Imma Roquet Autonell,Dreamer Del Maset,8,46.32,7.26
35,Elena Appendino,Guarana,8,47.61,8.55
36,Luis Ortiz Agüera,A.N. Barney,8,47.67,8.61
37,Jules Orsolini,Kentucky 130,8,47.98,8.92
38,Kevin Gonzalez De Zarate Fernandez,Le Chiffre,8,50.50,11.44
39,Christian Marini,Mesbalou PS,8,51.24,12.18
40,Robert Whitaker,Secret Touch Jw Van'T Meulenhof,8,51.58,12.52
41,Tom Schewe,Narina 1 W,12,45.85,6.79
42,Eduardo Alvarez Aznar,Qevita Vd Bisschop,12,46.94,7.88
43,Saul Gutierrez Oti,Cadarco C,12,52.21,13.15
44,Santiago Nuñez Riva,Kilahuea de Capellan,16,47.90,8.84
45,Gonzalo Menendez Menendez,Agr Divina,16,48.57,9.51
46,Carlos Gomez Sanchez,Sandaru,20,52.81,13.75
47,Roi Calviño Rabon,Intouch Four Flags,24,58.57,19.51
48,Mafalda Costa Marques,Quiterio Z,31,48.31,9.25
,Juan Riva Gil,Fernhill Balou Beau,RET,,
,Abdullah Alsharbatly,Kanturo BH,EL,,
