Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Sanne Thijssen,Cupcake Z,0,74.20,0,49.73
2,Castora Ortiz Agüera,Robinson,0,73.18,0,50.70
3,Luis Ortiz Agüera,A.N. Barney,0,74.80,0,51.49
4,João Victor Castro Aguiar Gomes de Lima,Spice Girl-K Van Kattenheye,0,73.51,0,51.83
5,Álvaro González De Zarate Fernandez,Pop UP,0,73.63,0,53.00
6,Jose Antonio Garcia Diana,Marola P&M,0,72.54,0,53.26
7,Eduardo Alvarez Aznar,Qevita Vd Bisschop,0,72.92,4,49.10
8,Yuri Mansur,Blitz van de Molenbrug Z,0,74.99,4,51.72
9,Robert Whitaker,Secret Touch Jw Van'T Meulenhof,0,76.56,4,52.19
10,Jesus Garmendia Echevarria,Nina Tilla,0,74.55,4,52.88
11,Barbara Schnieper,Fancy Faye,0,76.49,4,55.25
12,Jairo Junquera Perera,Hades de Maeza,0,75.32,4,57.32
13,Rodrigo Giesteira Almeida,Gb Diamantina,0,74.18,8,49.75
14,Pieter Clemens,Leuke Vrouw,0,74.54,RET,
15,Emanuele Gaudiano,Corlenthos PS,0,77.37,,
16,Carlos Lopez-Fanjul Tartiere,Intrepide de l'Etoile,0,77.55,,
17,Janne Friederike Meyer-Zimmermann,Sauvageonne des Pouplis,0,77.89,,
18,Miguel Honrubia Alvariño,Equistar de l'Abbaye,0,79.00,,
19,Maria Gil Diaz,Explosion vh Legita Hof Z,0,79.49,,
20,Kevin Gonzalez De Zarate Fernandez,Le Chiffre,4,74.79,,
21,Olivia Alvarez García,Gibraltar Villa Rose,4,75.16,,
22,Mafalda Costa Marques,Quiterio Z,4,75.29,,
23,Constant van Paesschen,Mr Connery B,4,75.35,,
24,Alexa Ferrer,Ingelo d'af,4,76.50,,
25,Simone Coata,Dart Z,4,77.48,,
26,José María (jr) Larocca,Chacca Khaan Z,4,78.21,,
27,Armando Trapote,Matilda,4,78.61,,
28,Pablo Valle Espinedo,Capucine du Marais,4,79.94,,
29,Carlos Gomez Sanchez,Sandaru,4,81.38,,
30,Dalma Malhas,Django de Neveztell,5,82.96,,
31,Olivier Perreau,Celeana des Joanins Z,8,72.18,,
32,Marcos Diaz Rodriguez,Deus de Tus,8,74.48,,
33,Otti Verdu Vidal,Gloria Casa Ballonga,8,74.87,,
34,Micaela Alvarez Gutierrez,Las Vegas Vd Padenborre,8,75.78,,
35,Iván Serrano Sáez,E Pleasure Beaufour,8,75.85,,
36,Christian Marini,Mesbalou PS,8,78.61,,
37,Saul Gutierrez Oti,Cadarco C,8,79.39,,
38,Tom Schewe,Narina 1 W,8,80.79,,
39,Daniel Ocaña Sanchez,Artemis du Gevaudan,8,81.19,,
40,Javier Gutiérrez Rilo,Orient Express,12,76.90,,
41,Miguel Alvarez -Buylla Rodriguez,Spirit van de Gaathoeve,12,76.93,,
42,Roi Calviño Rabon,Intouch Four Flags,13,82.76,,
43,Santiago Nuñez Riva,Kilahuea de Capellan,16,80.24,,
44,Abdullah Alsharbatly,Kanturo BH,16,85.37,,
45,Nuno Tiago Gomes,Divya,16,93.92,,
46,Leticia Riva Gil,Cadum de Champloue,21,98.64,,
47,Gonzalo Menendez Menendez,Agr Divina,24,78.42,,
48,Federica Fernandez,Cador Rubin,27,96.70,,
49,Lucia Fernandez Hidalgo,Kings Queen Jt Z,33,106.83,,
50,Stefan Weemaes,Merald Misteruno E,38,107.13,,
51,Sloan Hopson,Billy Arctic,44,117.67,,
,Luis Mateos Bernaldez,Chamant de Biolley,RET,,,
,Jules Orsolini,Kentucky 130,EL,,,
,Chong-Hao Wang,Diasandro Blue,RET,,,
,Teresa Arias Cueva,Brunch Jolivet,RET,,,
