Posición,Jinete,Caballo,Puntos,Tiempo
1,Pedro Veniss,Duelante 3K,0,61.73
2,Millie Allen,Quick Diamant HR,0,62.54
3,Gudrun Patteet,Sea Coast Chica V.V. Z,0,63.15
4,João Victor Castro Aguiar Gomes de Lima,Sagan Z,0,64.68
5,Penelope Leprevost,Hileklaire Un Prince,0,64.91
6,Alberto Marquez Galobardes,Coolboy,0,65.16
7,Sira Martinez Cullell,Texas,0,65.26
8,Abdullah Alsharbatly,Valentino,0,65.41
9,Barbara Schnieper,Canice,0,66.34
10,José María (jr) Larocca,Rr Brutus,0,66.82
11,Olivier Perreau,Leopard des Joanins Z,0,68.15
12,Riccardo Pisani,Casacco PS,0,69.19
13,Federica Fernandez,Maricucha LS,0,71.15
14,Simone Coata,Metoon PS,0,71.41
15,Eduardo Alvarez Aznar,Harlequin des Flagues,0,71.60
16,Jules Orsolini,Charlotte 198,0,73.25
17,Ismael Garcia Roque,Daikon,0,74.70
18,Rodrigo Giesteira Almeida,Chicco van de Doornhaag Z,0,77.97
19,Scott Brash,Hello Jefferson,1,78.41
20,Eve Jobs,Grand Duc du Paradiso,3,80.58
21,Jack Whitaker,Nimaran,4,63.76
22,Alexa Ferrer,Hastoria Bo Regard,4,64.29
23,Armando Trapote,Karl P,4,64.79
24,Sanne Thijssen,Os Le Petit Cheval,4,65.85
25,Olivier Robert,Espri du Figuier AA,4,66.28
26,Pieter Clemens,Gambas de l'Ocean,4,66.56
27,Tom Schewe,Deesse des Embruns,4,67.36
28,Luis Ortiz Agüera,Hvedholms Cashew,4,68.08
29,Iván Serrano Sáez,Rain Man,4,68.72
30,Marc Dilasser,Kanelle d'Ecaussinnes,4,72.35
31,Paola Amilibia,I'M A Star,4,73.68
32,Emanuele Camilli,Chacco's Air PS,4,76.59
33,Harry Charles,Fighting Phil,4,81.90
34,Yuri Mansur,My Lady Lavista,8,62.87
35,Finn Boerekamp,Danny Boy 111 Z,8,65.94
36,David Simpson,Csf Thomascourt Zena,8,69.40
37,Emanuele Gaudiano,Vasco 118,8,69.95
38,Luca Coata,Kasper Del Rilate,8,69.98
39,Pablo Santiago Artime,Chiquita d'Aiguilly,8,70.97
40,Stefan Weemaes,Gospel de Grandry,8,81.67
41,Dalma Malhas,Jandino,9,82.63
42,Edouard Schmitz,Dillen 111 Z,12,65.06
,Luis Fernandez Gil Fournier,Ordesa,EL,
,Christian Marini,Chalasanga PS,RET,
