Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II
1,Edouard Schmitz,Gamin Van'T Naastveldhof,0,36.86,0,36.52
2,Harry Charles,Bandit,0,37.62,0,37.08
3,Scott Brash,Kohiba,0,36.03,0,37.37
4,Olivier Perreau,Himalaya du Temple,0,35.29,0,37.76
5,Gudrun Patteet,Baron - Rr Z,0,36.83,0,39.07
6,Imma Roquet Autonell,Dalia Del Maset,0,39.00,0,39.28
7,Riccardo Pisani,Chacco's Lawito PS,0,37.13,0,39.67
8,Sira Martinez Cullell,Pipper des Vergers Z,0,36.97,0,39.98
9,Kevin Gonzalez De Zarate Fernandez,Cornet Crimoso,0,36.11,0,40.55
10,João Victor Castro Aguiar Gomes de Lima,Giulia Hoy,0,37.86,0,40.63
11,Luciana Diniz,Full Passion Hh Z,0,37.09,0,40.71
12,Eve Jobs,Key West,0,38.47,0,41.29
13,Luca Coata,Holly Del Rilate,0,37.42,0,42.55
14,Ismael Garcia Roque,Tirano,0,37.53,0,43.93
15,Carlos Lopez-Fanjul Tartiere,Chacthardo PS,1,39.05,0,43.39
16,Constant van Paesschen,Diaz du Thot,0,36.89,4,37.87
17,Marc Dilasser,Arioto du Gevres,4,35.53,0,38.24
18,Jack Whitaker,Skyfall OS,0,37.39,4,39.08
19,Jules Orsolini,Ibrahim,0,37.45,4,41.32
20,Yuri Mansur,Mister Jup,4,37.38,0,41.49
21,Paola Amilibia,Quinley,0,36.81,4,41.94
22,Emanuele Gaudiano,Chabrello PS,0,37.95,4,42.18
23,Sanne Thijssen,Farah Z,0,35.57,4,42.31
24,Iván Serrano Sáez,Corvara Blue PS,0,36.83,4,42.48
25,Janne Friederike Meyer-Zimmermann,Van Tastic,0,38.72,4,42.74
26,Christian Marini,Chelsy Boy,0,35.72,4,43.58
27,Jesus Garmendia Echevarria,Caramel Blue PS,0,36.36,4,44.00
28,Armando Trapote,Caept'N Hook,4,37.38,0,44.43
29,Simone Coata,Tokio Vg Z,4,38.90,0,47.52
30,David Simpson,Kolman Vdp,1,39.17,4,44.08
31,Lucia Fernandez Hidalgo,Byblos d'Elle,4,36.45,1,48.45
32,Tom Schewe,Congress Blue PS,4,38.72,1,48.96
33,Robert Whitaker,Strike A Pose,0,38.47,6,49.43
34,Emanuele Camilli,Casabea Blue PS,4,36.34,3,50.34
35,Millie Allen,Viarca PS,4,36.81,3,50.84
36,Penelope Leprevost,Fair Play Margot,0,37.03,8,41.01
37,Barbara Schnieper,Toronto Raptor,4,36.99,4,43.09
38,Luisa Horta Osorio,Feeling de La Houssiere,0,36.22,8,44.37
39,Luis Jesus Escobar,Edesa's Jento de Belle Vue,0,38.36,8,44.80
40,Eduardo Alvarez Aznar,Giovanni St Germain,4,36.33,4,44.87
41,José María (jr) Larocca,Chris,0,37.37,8,44.90
42,Abdullah Alsharbatly,Atome des Etisses,4,36.05,4,45.60
43,Finn Boerekamp,Just Penelope Jw van de Moerhoeve,8,36.23,0,47.91
44,Stefan Weemaes,Risque Tout,5,39.16,6,49.15
45,Pedro Veniss,Gershwin Dromelle,4,37.09,8,45.26
46,Pieter Clemens,Garfield,8,35.86,5,48.19
47,Dalma Malhas,Kinghill Koningshoeve,10,40.65,6,49.79
48,Luis Ortiz Agüera,Iolarzel Duverie Coco,12,38.03,4,51.74
,Julio Arias Cueva,Sienna de Brandegem,RET,,,
,Alexa Ferrer,Vitalhorse Fleur d'OZ,EL,,,
,Luis Fernandez Gil Fournier,Prio YM,RET,,,
