Posición,Jinete,Caballo,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Joana Schildknecht,Quonchita Van De Nachtegaele,0,66.03,0,36.21
2,Bernd Hofbauer,Jupiter,0,65.25,0,36.25
3,Simone Blum,Caja 52,0,67.04,0,36.31
4,Anna Duff,MC Crosskeys,0,67.23,0,37.39
5,Paula Fischer,Centenario P,0,69.26,0,38.43
6,Tom Sanders,Dsp Anthea,0,67.26,0,40.92
7,Theresa Pachler,Smart Chick Napoleon,0,70.46,0,41.90
8,Jennifer Jaritz-Gnaser,Mama Mia Van Overis Z,0,67.26,4,34.58
9,Felix Hassmann,Carrie Brad Shaw Mwz,0,65.61,4,36.52
10,Vince Jarmy,Kokenykisasszony,0,70.40,4,37.44
11,Jenny Rankin,Cool Motion,0,67.33,4,38.87
12,Bekzod Kurbanov,Matts V.g.,0,70.99,4,39.34
13,Ulrich Hensel,Europa H,0,67.81,4,40.11
14,Helmut Schönstetter,De Luxe De Plaisir,0,67.73,4,41.63
15,Niklas Betz,Million Dollar Baby,0,65.38,8,36.76
16,Michael Hornung,Voyager 7,0,67.75,8,41.86
17,Vivien Blandfort,Via Blue,0,71.61,8,43.79
18,Thomas O'Brien,Vario 7,0,68.07,32,36.68
19,Hans-Günther Blum,Titanium Ps,0,70.04,32,41.63
20,Axel Fromm,Casa De Cooper Fh,0,70.37,,
21,Angelina Krausse-Herröder,Nimarek,4,63.99,,
22,Maximilian Ertz,Diamond Blue,4,66.31,,
23,Marvin Jüngel,Claus CM,4,66.35,,
24,Leo Renner,Duc De L'impermeable Z,4,66.42,,
25,Benjamin Wulschner,Kilcannon Emerald,4,66.84,,
26,Jörg Oppermann,Olymp 58,4,67.33,,
27,Emely Karoline Paulsen,Deauraya Faswede Z,4,67.40,,
28,Wolfgang Puschak,Odense Z,4,67.57,,
29,Daniel Lahmann,Molleke,4,67.67,,
30,Daniel Böttcher,Catch Me 85,4,68.76,,
31,Basile Bettendorf,Poivre Bleu Du Gibet,8,66.56,,
32,Sophia Mitchell,Hakkato Du Prieure,8,67.36,,
33,Mick Haunhorst,Lily-rose Jt De La Limite Z,8,68.14,,
34,Hilke Wohlgemuth,Copy And Paste Gs,8,69.94,,
35,Felix Wassenberg,Diamaro 3,12,66.90,,
36,Oleg Sokolenko,Cinderella,12,67.49,,
37,Marie Flick,Da Vinci Sr Z,12,70.35,,
38,Anna Ortmann,Jimmy,14,77.96,,
39,Franz Josef Steiner,Joly M,16,68.65,,
,Felix Müller,Aquarela B,RET,,,
,Tina Deuerer,Bibi Pennylyn,RET,,,
,Michael Eichler,Clooney 133,RET,,,
,Selina Höger,Knight Rider,RET,,,
,Elisabeth Meyer,Let It Shine,RET,,,
,Tamara Schnyder,Oberstaig's Champs Elysees,RET,,,
,Mikka Roth,Rossmount Flamenco B,RET,,,
,Raissa Sokolenko,Uran - Nad Wigrami,RET,,,
