Posición,Jinete,Caballo,Puntos,Tiempo
1,Elisabeth Meyer,Let It Shine,0,63.32
2,Benjamin Wulschner,Wolf Of Wall Street 3,0,65.28
3,Joana Schildknecht,Quonchita Van De Nachtegaele,0,68.64
4,Selina Höger,Knight Rider,0,69.48
5,Mikka Roth,Fresno S.h,0,69.66
6,Maximilian Ertz,Diamond Blue,0,70.46
7,Jenny Rankin,Cool Motion,0,72.39
8,Theresa Pachler,Smart Chick Napoleon,0,72.74
9,Marie Flick,Da Vinci Sr Z,0,73.07
10,Jörg Oppermann,Jonage Lvp,0,75.24
11,Helmut Schönstetter,Coromont,0,76.00
12,Felix Wassenberg,Diamaro 3,0,76.56
13,Vivien Blandfort,Hickstead's Boy,1,77.16
14,Paula Fischer,Centenario P,3,79.29
15,Basile Bettendorf,Poivre Bleu Du Gibet,4,63.32
16,Niklas Betz,Million Dollar Baby,4,65.35
17,Oleg Sokolenko,Cinderella,4,66.17
18,Jennifer Jaritz-Gnaser,Mama Mia Van Overis Z,4,67.37
19,Mick Haunhorst,Lily-rose Jt De La Limite Z,4,68.18
20,Thomas O'Brien,Vario 7,4,68.22
21,Leo Renner,Ludwig 267,4,68.27
22,Felix Müller,Aquarela B,4,68.78
23,Anna Duff,MC Crosskeys,4,69.16
24,Wolfgang Puschak,Odense Z,4,69.18
25,Tina Deuerer,Bibi Pennylyn,4,69.40
26,Bernd Hofbauer,Jupiter,4,70.18
27,Daniel Lahmann,Molleke,4,71.07
28,Vince Jarmy,Kokenykisasszony,4,71.66
29,Michael Eichler,Clooney 133,4,72.28
30,Hilke Wohlgemuth,Copy And Paste Gs,4,73.44
31,Daniel Böttcher,Catch Me 85,4,73.80
32,Anna Ortmann,Jimmy,4,73.97
33,Angelina Krausse-Herröder,Nimarek,4,74.19
34,Maximilian Kögler,Chacforkee,4,75.63
35,Simone Blum,Caja 52,4,76.71
36,Clarissa Ingerl,Agassi 22,5,77.09
37,Emma Bachl,Obora's Adrian,5,77.12
38,Ulrich Hensel,Europa H,5,77.68
39,Felix Hassmann,Conthargo Ps,8,67.27
40,Raissa Sokolenko,Uran - Nad Wigrami,8,70.48
41,Magdalena Fischer,Sassou,8,73.50
42,Tamara Schnyder,Oberstaig's Champs Elysees,8,73.52
43,Emely Karoline Paulsen,Deauraya Faswede Z,8,76.87
44,Axel Fromm,Casa De Cooper Fh,9,77.01
45,Carola Wegener,Edgar Ps,10,82.16
46,Sophia Mitchell,Hakkato Du Prieure,12,69.31
47,Tom Sanders,Dsp Anthea,12,70.90
48,Michael Hornung,Voyager 7,12,71.79
49,Franz Josef Steiner,Joly M,12,72.27
50,Robert Conredel,Sixpack 11,12,73.39
51,Bekzod Kurbanov,Matts V.g.,12,76.68
52,Klara Fischer,It's Me,13,85.54
53,Marvin Jüngel,Claus CM,14,78.93
54,Lea Fries,Pliszka,14,78.98
55,Carl Maria Forstpointner,Focus On Pleasure,14,82.38
56,Philip Houston,Chaccsky Ps,14,82.77
57,Sven Ebert,Ilona II,15,83.35
58,Hans-Günther Blum,Tip Top Van De Zuuthoeve Z,16,67.74
59,Soenke Kohrock,Comme Il Cool,16,73.67
60,Max Schmidt,Coeur De Lion,16,75.64
61,Kei Okubo,Quick Casall,32,92.35
62,Patrik Eigenmann,Loreina,32,100.59
63,Ava Ferch,Tendresse De La Vie Z,34,102.88
,Ruven Simon,Gilles Vd Vosberg Z,EL,
,Anna-Sophia Schumacher,Conketo Blue,EL,
,Reinhard Sax,Chambery,RET,
,Simone Baur,Continental 14,RET,
