Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Christian Marini,C'Est Blue,0,34.87,0,27.12,0
2,Miguel Honrubia Alvariño,Delia Mouche,0,34.20,0,27.61,0
3,Rodrigo Giesteira Almeida,Calief Topfok,0,35.80,0,27.63,0
4,Pablo Valle Espinedo,Bazooka Semilly,0,34.93,0,27.67,0
5,Jaime Silvela Castañon,Makuru MQ,0,35.48,0,27.79,0
6,Javier Gonzalez Fraga,Queen Scs,0,35.85,0,28.10,0
7,Luis Mateos Bernaldez,Espoir de Chenee,0,33.87,0,28.36,0
8,Simone Coata,All Star Z,0,35.38,0,29.29,0
9,Olivia Alvarez García,Everest CR,0,35.11,0,29.55,0
10,Daniel Ocaña Sanchez,Dancing de l'Enclos,0,35.32,0,30.18,0
11,Chong-Hao Wang,Equine America Ivanhoe Gph,0,36.65,0,31.03,0
12,Nuno Tiago Gomes,Korado de Baudignies,0,36.89,0,31.36,0
13,Miguel Alvarez -Buylla Rodriguez,Roxanne V,0,35.43,0,31.93,0
14,Santiago Nuñez Riva,Valquiria de Capellan,0,33.68,0,32.00,0
15,Stanislas de Malet,Istambul,0,34.79,0,32.04,0
16,Luisa Horta Osorio,Ip Star de Rueire,0,32.72,0,32.27,0
17,Luca Coata,Bojangles 5,0,34.77,0,32.43,0
18,Barbara Schnieper,Galisto Vom Eigen CH,0,35.89,0,32.57,0
19,Maria Gil Diaz,Chicetchoc d'Orival Z,0,35.32,0,32.97,0
20,Juan Riva Gil,Fernhill Balou Beau,0,35.71,0,33.30,0
21,Lucia Fernandez Hidalgo,Ijancy de Kerglenn,0,36.58,0,34.10,0
22,Felipe Andres Sierra Trejo,Los Angeles 28D,0,34.88,0,34.61,0
23,Ricardo Jurado,Zamarano Z,0,33.53,0,35.92,0
24,Federica Fernandez,Davidoff,0,35.96,0,36.10,0
25,Elena Appendino,Guarana,0,35.97,0,36.81,0
26,Sloan Hopson,Hhs Tokyo,0,37.09,0,37.04,0
27,Pieter Clemens,Leuke Vrouw,0,36.77,0,38.42,0
28,Jules Orsolini,Kentucky 130,0,36.75,0,38.75,0
29,Carlos Lopez-Fanjul Tartiere,Bombay Z,0,38.25,0,41.38,0
30,Roi Calviño Rabon,Morris,0,40.37,1,42.81,1
31,Otti Verdu Vidal,Hope Casa Ballonga,0,35.38,4,29.76,4
32,Kevin Gonzalez De Zarate Fernandez,Ivettas Del Maset,0,35.57,4,33.49,4
33,Sanne Thijssen,Vosje,0,32.33,4,38.44,4
34,Carlota Castellvi Lopez,New Chance d'Hof-Ten-Bos,0,36.09,4,38.59,4
35,Javier Gutiérrez Rilo,Orient Express,0,35.24,12,34.63,12
36,Leonardo Medal Rionda,Parker de Gozon,0,34.47,12,35.17,12
37,Gonzalo Menendez Menendez,Fal'Bala d'Aury,12,45.22,8,37.19,20
,Saul Gutierrez Oti,Andy Star K Z,EL,,,,
,Mia Leal Treviño,Idefix St Georges,RET,,,,
,Juan Carlos Rodriguez Fernandez,Houlahop de Septon,EL,,,,
