Posición,Jinete,Caballo,Puntos,Tiempo
1,Miguel Honrubia Alvariño,Delia Mouche,65,47.75
2,Jairo Junquera Perera,Hades de Maeza,65,50.00
3,Leonardo Medal Rionda,Parker de Gozon,65,50.13
4,Luis Mateos Bernaldez,Espoir de Chenee,65,52.34
5,Otti Verdu Vidal,Hope Casa Ballonga,65,53.11
6,Javier Gonzalez Fraga,Queen Scs,65,53.15
7,Simone Coata,All Star Z,65,53.25
8,Barbara Schnieper,Galisto Vom Eigen CH,65,53.58
9,Santiago Nuñez Riva,Valquiria de Capellan,65,53.72
10,Javier Gutiérrez Rilo,Orient Express,65,55.94
11,Chong-Hao Wang,Diasandro Blue,65,56.41
12,Saul Gutierrez Oti,Andy Star K Z,65,56.53
13,Luca Coata,Bojangles 5,65,57.14
14,Elena Appendino,Guarana,65,57.47
15,Sloan Hopson,Hhs Tokyo,65,59.41
16,Daniel Ocaña Sanchez,Artemis du Gevaudan,65,60.63
17,Maria Gil Diaz,Chicetchoc d'Orival Z,65,61.87
18,Lucia Fernandez Hidalgo,Ijancy de Kerglenn,65,62.53
19,Ricardo Jurado,Tripeo JR,65,63.14
20,Carlos Lopez-Fanjul Tartiere,Bombay Z,65,65.66
21,Carlota Castellvi Lopez,New Chance d'Hof-Ten-Bos,65,66.84
22,José María (jr) Larocca,Chacca Khaan Z,65,70.44
23,Kevin Gonzalez De Zarate Fernandez,Ivettas Del Maset,62,59.76
24,Felipe Andres Sierra Trejo,Los Angeles 28D,59,57.54
25,Nuno Tiago Gomes,Korado de Baudignies,58,61.98
26,Miguel Alvarez -Buylla Rodriguez,Roxanne V,56,55.23
27,Christian Marini,C'Est Blue,50,57.31
28,Rodrigo Giesteira Almeida,Calief Topfok,25,46.61
29,Jaime Silvela Castañon,Makuru MQ,25,49.87
30,Pablo Valle Espinedo,Bazooka Semilly,25,51.96
31,Stanislas de Malet,Istambul,25,59.73
32,Roi Calviño Rabon,Morris,25,61.41
33,Olivia Alvarez García,Everest CR,24,107.79
34,Luisa Horta Osorio,Ip Star de Rueire,14,56.07
35,Gonzalo Menendez Menendez,Fal'Bala d'Aury,8,54.42
