Posición,Jinete,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Ali Hussain Alnowais,Etoile de La Roche,0,80.20,0,42.16
2,Ines van den Bosch,Scalibur,0,74.95,0,43.61
3,Thomás de Castro Gouvêa,Ciarah Van'T Welthof,0,75.75,0,44.25
4,Caroline de Laet,Diacartho Blue PS,0,81.87,0,52.34
5,Carla Illiano,Goldikova de Kreisker,0,72.00,4,42.24
6,Lente Dierickx,Utopia Van'T Keikelhof,0,80.53,4,47.77
7,Patricia Guery,Damoiselle Froufrou,0,78.64,4,49.48
8,Peter Mattos Botelho Greenlees,Lavanti V,0,79.48,4,52.39
9,Monique Becker,Laville Topfok,0,75.08,8,45.74
10,Devon Esrick,Ona van de Helle,0,79.59,12,46.58
11,Victor de Boitselier,Looks Good de Liebri Z,0,79.02,26,70.74
12,Luciana de Almeida Camargo,Touch Of Easy Van'T Paradijs,3,84.13,,
13,Lizanna Kiss,Million Rose,3,84.16,,
14,Fleur Beyne,Cipollini Second Life Z,3,84.58,,
15,Zelie Delestrez,Fairplais des Moulins,4,74.26,,
16,Astrid de Pauw,Etoile de Laubry Z,4,76.40,,
17,Martina Franco Stephan,Ecuador de Beaufour,4,77.27,,
18,Kirstin Robbins,Nova Aeg,4,77.76,,
19,Sofia Francois,Kaffino By Boris,4,78.38,,
20,Maxime Boelaert,Capri Sun 5,4,78.89,,
21,Nele Kortsch,Go Classico,4,79.17,,
22,Margot Devisscher,Parel Van'T Farsenhoven,4,79.43,,
23,Sierra Wilson,Quanta de l'Isle,4,81.21,,
24,Lara Ganoza Guerrero,Quintessential WF,4,81.27,,
25,Georgina Round,Billy Hustle,4,81.91,,
26,Rebecca Lindeblad,Con Dio,4,85.12,,
27,Valentine Auguin,Dandy de La Rose,5,82.15,,
28,Holly Smith,Conrad Quality Z,5,82.46,,
29,Valerie Blommaert,In Style Hst,6,83.13,,
30,Aisling Byrne,Real Ohlala,6,83.49,,
31,Louna Delestre,Callinda Denfer,6,83.62,,
32,Thibault Ternon,Estoy du Plessis,8,79.16,,
33,Stéphanie Saverys,Kigara d'Elnoa Z,8,79.35,,
34,Alisa Romanova,Kyamara,8,81.60,,
35,Yannan Dai,Toscane Z,9,82.38,,
36,Marielle Pauwels,O'Malley Mousse,9,86.14,,
37,Joris Lecoque,Apereau van de Broy Z,11,84.06,,
38,Ibrahim Khalid Al Kuwari,Mabelle de Villee,12,74.57,,
39,M Krishna Sahithi,Capri Sun 3,12,74.80,,
40,Karlien Fannes,Ti Amo DR,12,78.83,,
41,Xiang Shi,Qurado van het Molenhof,12,79.04,,
42,Amer Hamad Al Mansoori,Normamorka,12,80.60,,
43,Bade Duru Atesçiçegi,Coulibaly LV Diepenbroeck Z,16,79.62,,
44,Younes Mohamed Yakoub Ferradj,Instinct d'Argouges,17,90.95,,
45,Stephanie de Corte,Memphis van de Neerheide,18,83.18,,
46,Thomas Hermann,Popayan de l'Heribus,19,88.10,,
47,Maxime Hazebroek,Nashville Dh Z,20,85.39,,
48,Sebastien Kapel,Amiable Girl,39,100.04,,
49,Tian Xia,Quatta DK,52,121.57,,
,Charlotte Maccagnani,Hatzidee PR,EL,,,
,Lynn D'Have,Chique Z,EL,,,
,Ignace Dierickx,Romeo van het Heidehof,EL,,,
,Fleur Goorden,Maban II Van Beek Z,RET,,,
,Angela Gonzalez Muñoz,Piper Vd Heffinck,RET,,,
,Alex Atherton,Killer du Grand Moustier,EL,,,
,Kristina Zubac,Tuttifrutti Pommex Z,EL,,,
,Sehaj Singh Virk,Ucarena Wd Z,EL,,,
,Julie Thiry,Chilli Willi EW,RET,,,
,Louise Sadran,Je T'Adore,EL,,,
