Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II
1,Lieselot Kooremans,Lola-Jay ES,0,52.83,0,28.98
2,Paula de Boer-Schwarz,My Miss Marpel Old,0,49.62,0,29.85
3,Mathias Hazebroek,El Pachat 111 Z,0,57.06,0,31.44
4,Mohammad Saeed Al Ghurair,Ikaros,0,56.08,0,31.63
5,Dennis Johansson,Sibella Sts,0,56.30,0,32.14
6,Diego Ramos Maneiro,Grabuge,0,50.17,0,32.19
7,Logan Fiechter,Apphire H Z,0,53.65,0,32.37
8,Mauro Stas,Spiderman D' Asbo,0,52.95,0,33.00
9,Jonna Ekberg,Gracefield Apollo,0,54.19,0,33.42
10,Joe Clee,Astronomic vh Legita Hof Z,0,56.18,0,33.76
11,Elona Rousselle,Ilahtop du Thalie,0,52.17,0,33.97
12,Camille Biebuyck,Ladana vh Venushof Z,0,51.14,0,34.34
13,Dennis van den Brink,Night Star,0,56.34,0,34.47
14,Stijn Timmerman,Clarisse T Z,0,53.07,0,34.82
15,Oscar van den Berghe,Top Secret de Muze Z,0,54.26,0,35.06
16,Ludovica Camerlengo,Orlando LV,0,57.66,0,35.62
17,Jade Laderach,Naf Naf Dmc,0,54.46,0,35.63
18,Ibrahim Yousuf Al Mahmoud,Qataro van het Texelhof,0,55.53,0,35.84
19,Alice Wachman,Killarney,0,56.26,0,37.69
20,Kristina Klebanova,Diamanda 4,0,57.43,0,37.82
21,Elke Appeltans,Karamba Z de Poteau Z,0,54.44,0,37.86
22,Jules Denutte,Vanquish Z,0,55.45,0,38.20
23,Marie Eder Ferrero,Duc de Cavilly,0,54.57,0,38.76
24,Léa de Coulon,Goldfinger Z,0,51.06,4,29.60
25,Eliah Pieters,Owen van het Lindehof,0,53.01,4,31.57
26,Lucie Saliba,Quacino van de Diepebeek,0,54.87,4,32.96
27,Margarita D´Agostino Vargas,Cadira PS,0,54.88,4,33.45
28,Robin Vermeir,Magic Van'T Hulgenrode Z,0,52.51,4,33.55
29,Oona-Julia Roto,Parinoor vh Eegdeken,0,53.28,4,34.20
30,Vincent Bartin,Twitter Van'T Prinsenveld Z,0,54.12,4,34.86
31,Stephanie Janssens,Diam's de Sologne Z,0,54.95,4,35.79
32,Kiara Leroy - Homann,L-Ratallion My Z,0,53.73,4,37.19
33,Nadège Janssen,Marchella TW,0,53.67,4,37.34
34,Ali Al Khorafi,I,0,56.44,4,43.77
35,Lara Eggermont,Born To Win Ap Z,0,55.24,8,36.66
36,Morten Dahl,Csf Olympic Jewel,0,53.21,8,37.89
37,Tallulah Mackenzie Smith,Domsturmer,0,56.35,12,55.62
38,Stephanie D'Andrimont,Dardare Brimbelles Z,0,54.50,14,54.00
39,Anna Sushcheva,Diva du Temple,0,52.71,RET,
40,Alexandra Crown,Quick Nek EH,2,61.07,,
41,Maxime Boutron,Hembleme Montdesir,4,51.34,,
42,Sara Maria Hank Guerreiro,H5 Lacalito 2,4,52.26,,
43,Florence Schwizer-Seydoux,Real Star de Lorette,4,52.35,,
44,Felipe Coutinho Mendonca Nagata,Nektar de Vauxelles,4,52.38,,
45,Vic de Plecker,Ilypsho,4,52.83,,
46,Yashaan Zubin Khambatta,Inca's Big Think,4,53.22,,
47,Niharika Singhania,First To Cash Out,4,53.48,,
48,Ivana Zálešák Hron,Levista Dbh Z,4,53.51,,
49,Faris Saad A H Al Qahtani,Com du Rouet Z,4,53.54,,
50,Mathilda Hansson,Qurina van het Leliehof,4,53.98,,
51,Thibaud Ebinger,Calua Vd Withoeve Z,4,54.21,,
52,Leonardo Basola,Pomme Castanoo,4,54.57,,
53,Marta Elander Wisten,Declic de Fond de Ville Z,4,55.10,,
54,Saad Ahmed S A Al Saad,Costa Gavras,4,55.36,,
55,Jorik Vervoort,Brilliant Touch Z,4,55.89,,
56,Daan Bernaerts,l'Esmeralda Van 'T Meulenhof,4,56.29,,
57,Jérôme Denutte,Hector,4,56.99,,
58,Marthe Heudens,Super Star Van 'T Keikelhof,4,58.13,,
59,Aimee van Gerwen,Most Wanted,4,58.42,,
60,Louise Losfeld,Athina Louise Z,8,51.49,,
61,Vanessa Ingrid Pecina,Granada Lvp,8,53.82,,
62,Thibault Vermeulen,Porsche V,8,54.31,,
63,Cyril Cools,Jamaique DB,8,57.54,,
64,Sophie Maher,Amorinas Booomerang,8,59.28,,
65,Charlotte Berghmans,Blackonda,12,53.38,,
66,Sultan Salem Al Naemi,Gannan de La Luce,12,57.50,,
67,Amira Kettaneh,Clarige DC,34,85.69,,
