Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II,Total
1,Anthony Wellens,Cela Van Koekenhuyze,0,31.77,0,32.68,0
2,Antoine Ermann,Gamine d'Oscine,0,33.06,0,35.47,0
3,Yves Vanderhasselt,Merald Van 'T Zorgvliet,0,35.76,0,35.48,0
4,Camila Mazza De Benedicto,Barbarossa Dree Boeken,0,33.34,0,35.65,0
5,Alexis Lheureux,Lowtaxe du Seigneur,0,33.04,0,35.90,0
6,Odile Gierech,Addicted Z,0,34.05,0,36.15,0
7,Alberto Zorzi,Dukas,0,35.86,0,36.81,0
8,Jenny Krogsaeter,Sweet Niki,0,33.08,0,36.87,0
9,Sheikh Khalifa Al Thani,Zinano G,0,35.54,0,37.66,0
10,Lorenzo de Luca,Quaresma Van 'T Paradijs,0,34.51,0,37.91,0
11,Alix Ragot,If de Mars,0,35.49,0,37.99,0
11,Seppe Wouters,Libelle Asborne Z,0,35.68,0,37.99,0
13,Max Wachman,Gift des Lunes,0,34.31,0,38.05,0
14,Kim Emmen,Kaiser Dmh,0,37.23,0,38.27,0
15,Elize van de Mheen,Eldorado 45,0,35.16,0,38.38,0
16,Bruno Martins Costa,Hennessy du Soleil,0,32.40,0,38.47,0
17,Seppe Wouters,Honolulu des Forets,0,35.52,0,39.13,0
18,Neri Pieraccini,Morsyth,0,35.40,0,39.31,0
19,Bruno Martins Costa,Hermes Gem,0,34.55,0,39.32,0
20,Jeroen Appelen,Corsquetto,0,33.85,0,39.60,0
21,Claudia Michel,Kavango Sitte,0,35.78,0,40.16,0
22,Wilm Vermeir,Adelio,0,34.72,0,40.19,0
22,Jenny Krogsaeter,Quana Van Klapscheut,0,33.26,0,40.19,0
24,Alise Oken Crooks,Oraline Van Prinseveld,0,34.69,0,40.46,0
25,Lars Kersten,Charming Boy Sdw Z,0,38.82,0,40.49,0
26,Felipe Amaral,Armenteros Z,0,33.81,0,40.64,0
27,Harry Allen,Lukaku Vd Bisschop,0,37.30,0,40.69,0
28,Caroline Devos-Poels,Diabelle PS,0,34.95,0,40.71,0
29,Maria Michel,Night van de Kwakkelhoek,0,35.17,0,41.14,0
30,Lars Kersten,Dynamite Dillon Z,0,37.00,0,41.86,0
31,Tom Wachman,Genghis Khan,0,35.80,0,42.02,0
32,Romain Dreyfus,Comme Convenu,0,34.48,0,42.05,0
33,Sheikh Khalifa Al Thani,Kashmir Van d'Oude Pastory,0,36.49,0,42.07,0
34,Odile Gierech,Idyle Diamant Waloppe,0,34.67,0,42.19,0
35,Jeroen Appelen,Nech Z,0,36.00,0,42.68,0
36,Yves Vanderhasselt,Denzelnoor Z,0,36.78,0,43.01,0
36,Francis Derwin,Marble Arch,0,34.83,0,43.01,0
38,Mathieu Guery,Haida du Houx,0,34.90,0,43.02,0
39,Anthony Philippaerts,Impossible K.S,0,36.73,0,43.46,0
40,Emma Sophia Spanko,Duo du RU,0,35.76,0,43.61,0
41,Noora Von Bülow,Balinsky,0,37.99,0,43.74,0
42,Angelica Augustsson Zanotelli,Kings Rose Dree Boeken,0,36.31,0,44.28,0
43,Francis Derwin,Lambada Shake AG,0,36.78,3,47.17,3
44,Jan Vermeiren,Jarcel de Laloena,0,33.34,4,35.04,4
45,Sofia Westborg,Power Blue,0,33.64,4,36.65,4
46,Caroline Devos-Poels,Dagrama Z,0,33.41,4,38.38,4
47,Lorenzo Privitera,Ombre Van'T Zorgvliet,4,34.07,0,38.53,4
48,Claudia Michel,Camargue de Hus Z,0,33.33,4,38.62,4
49,Alise Oken Crooks,Christi,0,34.70,4,39.00,4
50,Chris Sorensen,Emperor Claudius,4,35.02,0,39.78,4
51,Kasper de Boeck,Entertainer 111 Z,4,34.62,0,39.98,4
52,Sofia Westborg,Lakoniek,0,36.42,4,41.00,4
53,Max Wachman,Lexington,4,35.26,0,41.26,4
54,Jan Vermeiren,Roxy van de Paardenhoeven,4,34.81,0,41.33,4
55,Felipe Amaral,H5 Madiba Ag Z,4,34.77,0,42.44,4
56,Viktor Daem,Ideal Ste Hermelle,4,37.11,0,43.34,4
57,Kamal Abdullah Bahamdan,Popeye Vd Bisschop,4,34.77,0,43.35,4
58,Gilles Thomas,Saladin 'S,4,36.49,0,43.58,4
59,Lorenzo de Luca,Golden du Breuil,0,36.40,4,44.26,4
60,Kamal Abdullah Bahamdan,Lovely Stassi PS,4,38.50,1,45.92,5
61,Evelyne Putters,Oberon Vdh,0,38.85,6,50.39,6
62,Wilm Vermeir,Top Invest 313 Z,8,35.95,0,39.44,8
63,Lorenzo Privitera,Pimpelmees van de Lentamel,0,37.00,8,39.50,8
64,Anthony Philippaerts,Kharley V,4,35.04,4,44.88,8
65,Alix Ragot,Serafina Dbh Z,4,35.60,8,42.58,12
,Viktor Daem,M Cortrella,EL,,,,
,Sofia Michel,Abril Hilcha Z,RET,,,,
,Romain Dreyfus,Channah Z,EL,,,,
